; Candidate 4684
; ADRP+ADD at VM 0xfffffff0087c2574 (fileoff 0x17be574): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c24f4: 49978252  mov	w9, #0x14ba
0xfffffff0087c24f8: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c24fc: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c2500: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c2504: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2508: 00403691  add	x0, x0, #0xd90
0xfffffff0087c250c: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2510: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2514: 02008052  mov	w2, #0
0xfffffff0087c2518: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c251c: 631c2f91  add	x3, x3, #0xbc7
0xfffffff0087c2520: 04c3ed97  bl	#0xfffffff008333130
0xfffffff0087c2524: 21010014  b	#0xfffffff0087c29a8
0xfffffff0087c2528: c9948752  mov	w9, #0x3ca6
0xfffffff0087c252c: 696a6938  ldrb	w9, [x19, x9]
0xfffffff0087c2530: a9010036  tbz	w9, #0, #0xfffffff0087c2564
0xfffffff0087c2534: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0087c2538: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c253c: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c2540: e80300f9  str	x8, [sp]
0xfffffff0087c2544: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2548: 00403691  add	x0, x0, #0xd90
0xfffffff0087c254c: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2550: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2554: 02008052  mov	w2, #0
0xfffffff0087c2558: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c255c: 635c2c91  add	x3, x3, #0xb17
0xfffffff0087c2560: f4c2ed97  bl	#0xfffffff008333130
0xfffffff0087c2564: 69968252  mov	w9, #0x14b3
0xfffffff0087c2568: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c256c: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c2570: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c2574: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2578: 00403691  add	x0, x0, #0xd90
0xfffffff0087c257c: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2580: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2584: 02008052  mov	w2, #0
0xfffffff0087c2588: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c258c: 63242d91  add	x3, x3, #0xb49
0xfffffff0087c2590: e8c2ed97  bl	#0xfffffff008333130
0xfffffff0087c2594: 05010014  b	#0xfffffff0087c29a8
0xfffffff0087c2598: e00313aa  mov	x0, x19
0xfffffff0087c259c: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c25a0: 21e82f91  add	x1, x1, #0xbfa
0xfffffff0087c25a4: 02028052  mov	w2, #0x10
0xfffffff0087c25a8: 46e3ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c25ac: 604a30b9  str	w0, [x19, #0x3048]
0xfffffff0087c25b0: 1f404071  cmp	w0, #0x10, lsl #12
0xfffffff0087c25b4: 031a0054  b.lo	#0xfffffff0087c28f4
0xfffffff0087c25b8: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c25bc: 081d2f91  add	x8, x8, #0xbc7
0xfffffff0087c25c0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c25c4: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c25c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c25cc: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c25d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c25d4: 02008052  mov	w2, #0
0xfffffff0087c25d8: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c25dc: 63d43b91  add	x3, x3, #0xef5
0xfffffff0087c25e0: d4c2ed97  bl	#0xfffffff008333130
0xfffffff0087c25e4: 37008052  mov	w23, #1
0xfffffff0087c25e8: ea0318aa  mov	x10, x24
0xfffffff0087c25ec: 41050014  b	#0xfffffff0087c3af0
0xfffffff0087c25f0: 30070051  sub	w16, w25, #1
