; Candidate 5880
; ADRP+ADD at VM 0xfffffff00880a61c (fileoff 0x180661c): page=0x1fea10000 add_imm=0xdcf

0xfffffff00880a59c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00880a5a0: ff030291  add	sp, sp, #0x80
0xfffffff00880a5a4: ff0f5fd6  retab	
0xfffffff00880a5a8: e00314aa  mov	x0, x20
0xfffffff00880a5ac: e10315aa  mov	x1, x21
0xfffffff00880a5b0: 2dfdff97  bl	#0xfffffff008809a64
0xfffffff00880a5b4: e0030034  cbz	w0, #0xfffffff00880a630
0xfffffff00880a5b8: f30300aa  mov	x19, x0
0xfffffff00880a5bc: 800e8052  mov	w0, #0x74
0xfffffff00880a5c0: 81008052  mov	w1, #4
0xfffffff00880a5c4: 83c40194  bl	#0xfffffff00887b7d0
0xfffffff00880a5c8: 40feff34  cbz	w0, #0xfffffff00880a590
0xfffffff00880a5cc: 800e8052  mov	w0, #0x74
0xfffffff00880a5d0: 92c40194  bl	#0xfffffff00887b818
0xfffffff00880a5d4: f60300aa  mov	x22, x0
0xfffffff00880a5d8: f5a60294  bl	#0xfffffff0088b41ac
0xfffffff00880a5dc: f50300aa  mov	x21, x0
0xfffffff00880a5e0: 80008052  mov	w0, #4
0xfffffff00880a5e4: 9bc40194  bl	#0xfffffff00887b850
0xfffffff00880a5e8: 560b0034  cbz	w22, #0xfffffff00880a750
0xfffffff00880a5ec: e80313aa  mov	x8, x19
0xfffffff00880a5f0: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff00880a5f4: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00880a5f8: f41b00f9  str	x20, [sp, #0x30]
0xfffffff00880a5fc: 2850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff00880a600: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880a604: 09a98052  mov	w9, #0x548
0xfffffff00880a608: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880a60c: 8850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff00880a610: 08513891  add	x8, x8, #0xe14
0xfffffff00880a614: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880a618: 880e8052  mov	w8, #0x74
0xfffffff00880a61c: 8050ff90  adrp	x0, #0xfffffff00721a000
0xfffffff00880a620: 003c3791  add	x0, x0, #0xdcf
0xfffffff00880a624: f52300a9  stp	x21, x8, [sp]
0xfffffff00880a628: 8eb3d697  bl	#0xfffffff007db7460
0xfffffff00880a62c: d9ffff17  b	#0xfffffff00880a590
0xfffffff00880a630: e00314aa  mov	x0, x20
0xfffffff00880a634: e10315aa  mov	x1, x21
0xfffffff00880a638: 76feff97  bl	#0xfffffff00880a010
0xfffffff00880a63c: f30300aa  mov	x19, x0
0xfffffff00880a640: 80faff34  cbz	w0, #0xfffffff00880a590
0xfffffff00880a644: 800e8052  mov	w0, #0x74
0xfffffff00880a648: 81008052  mov	w1, #4
0xfffffff00880a64c: 61c40194  bl	#0xfffffff00887b7d0
0xfffffff00880a650: 00faff34  cbz	w0, #0xfffffff00880a590
0xfffffff00880a654: 800e8052  mov	w0, #0x74
0xfffffff00880a658: 70c40194  bl	#0xfffffff00887b818
0xfffffff00880a65c: f60300aa  mov	x22, x0
0xfffffff00880a660: d3a60294  bl	#0xfffffff0088b41ac
0xfffffff00880a664: f50300aa  mov	x21, x0
0xfffffff00880a668: 80008052  mov	w0, #4
0xfffffff00880a66c: 79c40194  bl	#0xfffffff00887b850
0xfffffff00880a670: 960b0034  cbz	w22, #0xfffffff00880a7e0
0xfffffff00880a674: e80313aa  mov	x8, x19
0xfffffff00880a678: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff00880a67c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00880a680: 2850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff00880a684: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880a688: 89a98052  mov	w9, #0x54c
0xfffffff00880a68c: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00880a690: 8850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff00880a694: 08513891  add	x8, x8, #0xe14
0xfffffff00880a698: e8a701a9  stp	x8, x9, [sp, #0x18]
