; Candidate 14192
; ADRP+ADD at VM 0xfffffff00974bc7c (fileoff 0x2747c7c): page=0xc40000 add_imm=0xd58

0xfffffff00974bbfc: 06008052  mov	w6, #0
0xfffffff00974bc00: 070080d2  mov	x7, #0
0xfffffff00974bc04: abdffd97  bl	#0xfffffff0096c3ab0
0xfffffff00974bc08: f81b00b9  str	w24, [sp, #0x18]
0xfffffff00974bc0c: 60f2fe90  adrp	x0, #0xfffffff007597000
0xfffffff00974bc10: 00c83291  add	x0, x0, #0xcb2
0xfffffff00974bc14: e1630091  add	x1, sp, #0x18
0xfffffff00974bc18: 82008052  mov	w2, #4
0xfffffff00974bc1c: e784b497  bl	#0xfffffff00846cfb8
0xfffffff00974bc20: 200a0034  cbz	w0, #0xfffffff00974bd64
0xfffffff00974bc24: e81b40b9  ldr	w8, [sp, #0x18]
0xfffffff00974bc28: e8090034  cbz	w8, #0xfffffff00974bd64
0xfffffff00974bc2c: 60f2fe90  adrp	x0, #0xfffffff007597000
0xfffffff00974bc30: 00f03291  add	x0, x0, #0xcbc
0xfffffff00974bc34: a1138052  mov	w1, #0x9d
0xfffffff00974bc38: 02028052  mov	w2, #0x10
0xfffffff00974bc3c: 4084ff97  bl	#0xfffffff00972cd3c
0xfffffff00974bc40: 606600f9  str	x0, [x19, #0xc8]
0xfffffff00974bc44: 000900b4  cbz	x0, #0xfffffff00974bd64
0xfffffff00974bc48: 100040f9  ldr	x16, [x0]
0xfffffff00974bc4c: f10300aa  mov	x17, x0
0xfffffff00974bc50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bc54: 301ac1da  autda	x16, x17
0xfffffff00974bc58: 116c80d2  mov	x17, #0x360
0xfffffff00974bc5c: 1002118b  add	x16, x16, x17
0xfffffff00974bc60: 080240f9  ldr	x8, [x16]
0xfffffff00974bc64: e90310aa  mov	x9, x16
0xfffffff00974bc68: e10313aa  mov	x1, x19
0xfffffff00974bc6c: f10309aa  mov	x17, x9
0xfffffff00974bc70: 317df3f2  movk	x17, #0x9be9, lsl #48
0xfffffff00974bc74: 11093fd7  blraa	x8, x17
0xfffffff00974bc78: 3b000014  b	#0xfffffff00974bd64
0xfffffff00974bc7c: 00620090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974bc80: 00603591  add	x0, x0, #0xd58
0xfffffff00974bc84: 3563ae97  bl	#0xfffffff0082e4958
0xfffffff00974bc88: f60300aa  mov	x22, x0
0xfffffff00974bc8c: 700240f9  ldr	x16, [x19]
0xfffffff00974bc90: f10313aa  mov	x17, x19
0xfffffff00974bc94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bc98: 301ac1da  autda	x16, x17
0xfffffff00974bc9c: 116e80d2  mov	x17, #0x370
0xfffffff00974bca0: 1002118b  add	x16, x16, x17
0xfffffff00974bca4: 080240f9  ldr	x8, [x16]
0xfffffff00974bca8: e90310aa  mov	x9, x16
0xfffffff00974bcac: e00313aa  mov	x0, x19
0xfffffff00974bcb0: f10309aa  mov	x17, x9
0xfffffff00974bcb4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff00974bcb8: 11093fd7  blraa	x8, x17
0xfffffff00974bcbc: 400300b4  cbz	x0, #0xfffffff00974bd24
0xfffffff00974bcc0: 700240f9  ldr	x16, [x19]
0xfffffff00974bcc4: f10313aa  mov	x17, x19
0xfffffff00974bcc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bccc: 301ac1da  autda	x16, x17
0xfffffff00974bcd0: 116e80d2  mov	x17, #0x370
0xfffffff00974bcd4: 1002118b  add	x16, x16, x17
0xfffffff00974bcd8: 080240f9  ldr	x8, [x16]
0xfffffff00974bcdc: e90310aa  mov	x9, x16
0xfffffff00974bce0: e00313aa  mov	x0, x19
0xfffffff00974bce4: f10309aa  mov	x17, x9
0xfffffff00974bce8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff00974bcec: 11093fd7  blraa	x8, x17
0xfffffff00974bcf0: 100040f9  ldr	x16, [x0]
0xfffffff00974bcf4: f10300aa  mov	x17, x0
0xfffffff00974bcf8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
