; Candidate 13652
; ADRP+ADD at VM 0xfffffff0093b8c60 (fileoff 0x23b4c60): page=0xfc8000 add_imm=0xd50

0xfffffff0093b8be0: 0040833d  str	q0, [x0, #0xd00]
0xfffffff0093b8be4: 0044833d  str	q0, [x0, #0xd10]
0xfffffff0093b8be8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0093b8bec: ff0f5fd6  retab	
0xfffffff0093b8bf0: 5f2403d5  bti	c
0xfffffff0093b8bf4: 3c861814  b	#0xfffffff0099da4e4
0xfffffff0093b8bf8: 5f2403d5  bti	c
0xfffffff0093b8bfc: 3a861814  b	#0xfffffff0099da4e4
0xfffffff0093b8c00: 7f2303d5  pacibsp	
0xfffffff0093b8c04: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0093b8c08: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0093b8c0c: fd430091  add	x29, sp, #0x10
0xfffffff0093b8c10: f30300aa  mov	x19, x0
0xfffffff0093b8c14: 34861894  bl	#0xfffffff0099da4e4
0xfffffff0093b8c18: a040ffb0  adrp	x0, #0xfffffff007bcd000
0xfffffff0093b8c1c: 00200e91  add	x0, x0, #0x388
0xfffffff0093b8c20: e10313aa  mov	x1, x19
0xfffffff0093b8c24: 02ae8152  mov	w2, #0xd70
0xfffffff0093b8c28: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0093b8c2c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0093b8c30: ff2303d5  autibsp	
0xfffffff0093b8c34: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0093b8c38: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0093b8c40
0xfffffff0093b8c3c: 208e38d4  brk	#0xc471
0xfffffff0093b8c40: 97babc17  b	#0xfffffff0082e769c
0xfffffff0093b8c44: 5f2403d5  bti	c
0xfffffff0093b8c48: e20301aa  mov	x2, x1
0xfffffff0093b8c4c: e10300aa  mov	x1, x0
0xfffffff0093b8c50: a040ffb0  adrp	x0, #0xfffffff007bcd000
0xfffffff0093b8c54: 00200e91  add	x0, x0, #0x388
0xfffffff0093b8c58: 91babc17  b	#0xfffffff0082e769c
0xfffffff0093b8c5c: 5f2403d5  bti	c
0xfffffff0093b8c60: 407e0090  adrp	x0, #0xfffffff00a380000
0xfffffff0093b8c64: 00403591  add	x0, x0, #0xd50
0xfffffff0093b8c68: c0035fd6  ret	
0xfffffff0093b8c6c: 7f2303d5  pacibsp	
0xfffffff0093b8c70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0093b8c74: fd030091  mov	x29, sp
0xfffffff0093b8c78: 610afff0  adrp	x1, #0xfffffff007507000
0xfffffff0093b8c7c: 21200c91  add	x1, x1, #0x308
0xfffffff0093b8c80: a240ff90  adrp	x2, #0xfffffff007bcc000
0xfffffff0093b8c84: 42e041f9  ldr	x2, [x2, #0x3c0]
0xfffffff0093b8c88: 03ae8152  mov	w3, #0xd70
0xfffffff0093b8c8c: ababbc97  bl	#0xfffffff0082e3b38
0xfffffff0093b8c90: b040ff90  adrp	x16, #0xfffffff007bcc000
0xfffffff0093b8c94: 10a23191  add	x16, x16, #0xc68
0xfffffff0093b8c98: 10420091  add	x16, x16, #0x10
0xfffffff0093b8c9c: f10300aa  mov	x17, x0
0xfffffff0093b8ca0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b8ca4: 300ac1da  pacda	x16, x17
0xfffffff0093b8ca8: 100000f9  str	x16, [x0]
0xfffffff0093b8cac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0093b8cb0: ff0f5fd6  retab	
0xfffffff0093b8cb4: 7f2303d5  pacibsp	
0xfffffff0093b8cb8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0093b8cbc: fd030091  mov	x29, sp
0xfffffff0093b8cc0: a040ffb0  adrp	x0, #0xfffffff007bcd000
0xfffffff0093b8cc4: 00200e91  add	x0, x0, #0x388
0xfffffff0093b8cc8: 01ae8152  mov	w1, #0xd70
0xfffffff0093b8ccc: 5bbabc97  bl	#0xfffffff0082e7638
0xfffffff0093b8cd0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0093b8cd4: ff2303d5  autibsp	
0xfffffff0093b8cd8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0093b8cdc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0093b8ce4
