; Candidate 9098
; ADRP+ADD at VM 0xfffffff0089f480c (fileoff 0x19f080c): page=0x1fe8a0000 add_imm=0xdf4

0xfffffff0089f478c: e90310aa  mov	x9, x16
0xfffffff0089f4790: e00315aa  mov	x0, x21
0xfffffff0089f4794: f10309aa  mov	x17, x9
0xfffffff0089f4798: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089f479c: 11093fd7  blraa	x8, x17
0xfffffff0089f47a0: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff0089f47a4: 8982fff0  adrp	x9, #0xfffffff007a47000
0xfffffff0089f47a8: 293d47f9  ldr	x9, [x9, #0xe78]
0xfffffff0089f47ac: 290140f9  ldr	x9, [x9]
0xfffffff0089f47b0: 3f0108eb  cmp	x9, x8
0xfffffff0089f47b4: c10b0054  b.ne	#0xfffffff0089f492c
0xfffffff0089f47b8: e00317aa  mov	x0, x23
0xfffffff0089f47bc: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0089f47c0: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0089f47c4: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0089f47c8: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0089f47cc: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0089f47d0: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0089f47d4: ff030391  add	sp, sp, #0xc0
0xfffffff0089f47d8: ff0f5fd6  retab	
0xfffffff0089f47dc: 57588052  mov	w23, #0x2c2
0xfffffff0089f47e0: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff0089f47e4: 0845ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f47e8: 08650b91  add	x8, x8, #0x2d9
0xfffffff0089f47ec: 491c8052  mov	w9, #0xe2
0xfffffff0089f47f0: 0a45ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f47f4: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f47f8: 0b45ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f47fc: 6b9d0f91  add	x11, x11, #0x3e7
0xfffffff0089f4800: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f4804: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f4808: eb0300f9  str	x11, [sp]
0xfffffff0089f480c: 0045ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f4810: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f4814: 130bcf97  bl	#0xfffffff007db7460
0xfffffff0089f4818: f80319aa  mov	x24, x25
0xfffffff0089f481c: aaffff17  b	#0xfffffff0089f46c4
0xfffffff0089f4820: 0845ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f4824: 08650b91  add	x8, x8, #0x2d9
0xfffffff0089f4828: e9198052  mov	w9, #0xcf
0xfffffff0089f482c: 0a45ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f4830: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f4834: 0b45ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f4838: 6bd10d91  add	x11, x11, #0x374
0xfffffff0089f483c: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f4840: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f4844: eb0300f9  str	x11, [sp]
0xfffffff0089f4848: 0045ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f484c: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f4850: 040bcf97  bl	#0xfffffff007db7460
0xfffffff0089f4854: 150080d2  mov	x21, #0
0xfffffff0089f4858: 140080d2  mov	x20, #0
0xfffffff0089f485c: 2f000014  b	#0xfffffff0089f4918
0xfffffff0089f4860: 0845ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f4864: 08650b91  add	x8, x8, #0x2d9
0xfffffff0089f4868: 291a8052  mov	w9, #0xd1
0xfffffff0089f486c: 0a45ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f4870: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f4874: 0b45ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f4878: 6b2d0e91  add	x11, x11, #0x38b
0xfffffff0089f487c: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f4880: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f4884: eb0300f9  str	x11, [sp]
0xfffffff0089f4888: 0045ff90  adrp	x0, #0xfffffff007294000
