; Candidate 5065
; ADRP+ADD at VM 0xfffffff0087d5b80 (fileoff 0x17d1b80): page=0x1fea3c000 add_imm=0xd15

0xfffffff0087d5b00: 180440f9  ldr	x24, [x0, #8]
0xfffffff0087d5b04: 980700b4  cbz	x24, #0xfffffff0087d5bf4
0xfffffff0087d5b08: f40301aa  mov	x20, x1
0xfffffff0087d5b0c: a80240b9  ldr	w8, [x21]
0xfffffff0087d5b10: 2908c81a  udiv	w9, w1, w8
0xfffffff0087d5b14: 3985081b  msub	w25, w9, w8, w1
0xfffffff0087d5b18: 08c68052  mov	w8, #0x630
0xfffffff0087d5b1c: 2800a072  movk	w8, #1, lsl #16
0xfffffff0087d5b20: 3363a89b  umaddl	x19, w25, w8, x24
0xfffffff0087d5b24: 60088052  mov	w0, #0x43
0xfffffff0087d5b28: e1008052  mov	w1, #7
0xfffffff0087d5b2c: 29970294  bl	#0xfffffff00887b7d0
0xfffffff0087d5b30: 40090034  cbz	w0, #0xfffffff0087d5c58
0xfffffff0087d5b34: 60088052  mov	w0, #0x43
0xfffffff0087d5b38: 38970294  bl	#0xfffffff00887b818
0xfffffff0087d5b3c: f70300aa  mov	x23, x0
0xfffffff0087d5b40: 9b790394  bl	#0xfffffff0088b41ac
0xfffffff0087d5b44: f60300aa  mov	x22, x0
0xfffffff0087d5b48: e0008052  mov	w0, #7
0xfffffff0087d5b4c: 41970294  bl	#0xfffffff00887b850
0xfffffff0087d5b50: 57090034  cbz	w23, #0xfffffff0087d5c78
0xfffffff0087d5b54: a80240b9  ldr	w8, [x21]
0xfffffff0087d5b58: 890ac81a  udiv	w9, w20, w8
0xfffffff0087d5b5c: 28d1081b  msub	w8, w9, w8, w20
0xfffffff0087d5b60: 09c68052  mov	w9, #0x630
0xfffffff0087d5b64: 2900a072  movk	w9, #1, lsl #16
0xfffffff0087d5b68: 2963099b  madd	x9, x25, x9, x24
0xfffffff0087d5b6c: 2a255829  ldp	w10, w9, [x9, #0xc0]
0xfffffff0087d5b70: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff0087d5b74: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff0087d5b78: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d5b7c: 68088052  mov	w8, #0x43
0xfffffff0087d5b80: e051ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087d5b84: 00543491  add	x0, x0, #0xd15
0xfffffff0087d5b88: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d5b8c: 3586d797  bl	#0xfffffff007db7460
0xfffffff0087d5b90: 32000014  b	#0xfffffff0087d5c58
0xfffffff0087d5b94: 60008052  mov	w0, #3
0xfffffff0087d5b98: 81008052  mov	w1, #4
0xfffffff0087d5b9c: 0d970294  bl	#0xfffffff00887b7d0
0xfffffff0087d5ba0: a0050034  cbz	w0, #0xfffffff0087d5c54
0xfffffff0087d5ba4: 60008052  mov	w0, #3
0xfffffff0087d5ba8: 1c970294  bl	#0xfffffff00887b818
0xfffffff0087d5bac: f40300aa  mov	x20, x0
0xfffffff0087d5bb0: 7f790394  bl	#0xfffffff0088b41ac
0xfffffff0087d5bb4: f30300aa  mov	x19, x0
0xfffffff0087d5bb8: 80008052  mov	w0, #4
0xfffffff0087d5bbc: 25970294  bl	#0xfffffff00887b850
0xfffffff0087d5bc0: f4080034  cbz	w20, #0xfffffff0087d5cdc
0xfffffff0087d5bc4: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5bc8: 089d3291  add	x8, x8, #0xca7
0xfffffff0087d5bcc: 89058052  mov	w9, #0x2c
0xfffffff0087d5bd0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d5bd4: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5bd8: 08593291  add	x8, x8, #0xc96
0xfffffff0087d5bdc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d5be0: 68008052  mov	w8, #3
0xfffffff0087d5be4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d5be8: e051ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087d5bec: 00043191  add	x0, x0, #0xc41
0xfffffff0087d5bf0: 18000014  b	#0xfffffff0087d5c50
0xfffffff0087d5bf4: 60008052  mov	w0, #3
0xfffffff0087d5bf8: 81008052  mov	w1, #4
0xfffffff0087d5bfc: f5960294  bl	#0xfffffff00887b7d0
