; Candidate 1039
; ADRP+ADD at VM 0xfffffff0081b2c44 (fileoff 0x11aec44): page=0x1ff7be000 add_imm=0xd70

0xfffffff0081b2bc4: e34740f9  ldr	x3, [sp, #0x88]
0xfffffff0081b2bc8: 610000b9  str	w1, [x3]
0xfffffff0081b2bcc: 62200091  add	x2, x3, #8
0xfffffff0081b2bd0: 764c00b8  str	w22, [x3, #4]!
0xfffffff0081b2bd4: e00315aa  mov	x0, x21
0xfffffff0081b2bd8: 24008052  mov	w4, #1
0xfffffff0081b2bdc: 48e7f097  bl	#0xfffffff007dec8fc
0xfffffff0081b2be0: 60f9ff34  cbz	w0, #0xfffffff0081b2b0c
0xfffffff0081b2be4: f60300aa  mov	x22, x0
0xfffffff0081b2be8: e04740f9  ldr	x0, [sp, #0x88]
0xfffffff0081b2bec: e10314aa  mov	x1, x20
0xfffffff0081b2bf0: d467ee97  bl	#0xfffffff007d4cb40
0xfffffff0081b2bf4: df960071  cmp	w22, #0x25
0xfffffff0081b2bf8: a1f8ff54  b.ne	#0xfffffff0081b2b0c
0xfffffff0081b2bfc: e89b40b9  ldr	w8, [sp, #0x98]
0xfffffff0081b2c00: 08011e32  orr	w8, w8, #4
0xfffffff0081b2c04: e89b00b9  str	w8, [sp, #0x98]
0xfffffff0081b2c08: c1ffff17  b	#0xfffffff0081b2b0c
0xfffffff0081b2c0c: e14740f9  ldr	x1, [sp, #0x88]
0xfffffff0081b2c10: e00314aa  mov	x0, x20
0xfffffff0081b2c14: e20316aa  mov	x2, x22
0xfffffff0081b2c18: d83af497  bl	#0xfffffff007ec1778
0xfffffff0081b2c1c: 20f4ff34  cbz	w0, #0xfffffff0081b2aa0
0xfffffff0081b2c20: e0031baa  mov	x0, x27
0xfffffff0081b2c24: 399ff097  bl	#0xfffffff007dda908
0xfffffff0081b2c28: e00315aa  mov	x0, x21
0xfffffff0081b2c2c: 3b10f197  bl	#0xfffffff007df6d18
0xfffffff0081b2c30: e0bdffb0  adrp	x0, #0xfffffff00796f000
0xfffffff0081b2c34: 00201a91  add	x0, x0, #0x688
0xfffffff0081b2c38: e10740f9  ldr	x1, [sp, #8]
0xfffffff0081b2c3c: 02008a52  mov	w2, #0x5000
0xfffffff0081b2c40: 8bcfef97  bl	#0xfffffff007da6a6c
0xfffffff0081b2c44: e0bdffd0  adrp	x0, #0xfffffff007970000
0xfffffff0081b2c48: 00c03591  add	x0, x0, #0xd70
0xfffffff0081b2c4c: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff0081b2c50: ef5bf197  bl	#0xfffffff007e09c0c
0xfffffff0081b2c54: 40018052  mov	w0, #0xa
0xfffffff0081b2c58: d3feff17  b	#0xfffffff0081b27a4
0xfffffff0081b2c5c: 08008052  mov	w8, #0
0xfffffff0081b2c60: e8c300b9  str	w8, [sp, #0xc0]
0xfffffff0081b2c64: e14740f9  ldr	x1, [sp, #0x88]
0xfffffff0081b2c68: e2030391  add	x2, sp, #0xc0
0xfffffff0081b2c6c: e00318aa  mov	x0, x24
0xfffffff0081b2c70: 83008052  mov	w3, #4
0xfffffff0081b2c74: 309ff197  bl	#0xfffffff007e1a934
0xfffffff0081b2c78: e4230291  add	x4, sp, #0x88
0xfffffff0081b2c7c: e00318aa  mov	x0, x24
0xfffffff0081b2c80: 41408152  mov	w1, #0xa02
0xfffffff0081b2c84: 82008052  mov	w2, #4
0xfffffff0081b2c88: 83118052  mov	w3, #0x8c
0xfffffff0081b2c8c: 629cf197  bl	#0xfffffff007e19e14
0xfffffff0081b2c90: c0000035  cbnz	w0, #0xfffffff0081b2ca8
0xfffffff0081b2c94: e14740f9  ldr	x1, [sp, #0x88]
0xfffffff0081b2c98: 22830091  add	x2, x25, #0x20
0xfffffff0081b2c9c: e00318aa  mov	x0, x24
0xfffffff0081b2ca0: 83008052  mov	w3, #4
0xfffffff0081b2ca4: 249ff197  bl	#0xfffffff007e1a934
0xfffffff0081b2ca8: e4230291  add	x4, sp, #0x88
0xfffffff0081b2cac: e00318aa  mov	x0, x24
0xfffffff0081b2cb0: 61408152  mov	w1, #0xa03
0xfffffff0081b2cb4: 22028052  mov	w2, #0x11
0xfffffff0081b2cb8: e3118052  mov	w3, #0x8f
0xfffffff0081b2cbc: 569cf197  bl	#0xfffffff007e19e14
0xfffffff0081b2cc0: c0000035  cbnz	w0, #0xfffffff0081b2cd8
