; Candidate 2649
; ADRP+ADD at VM 0xfffffff0086d6cbc (fileoff 0x16d2cbc): page=0x1fea5b000 add_imm=0xd90

0xfffffff0086d6c3c: 282440b9  ldr	w8, [x1, #0x24]
0xfffffff0086d6c40: 09050051  sub	w9, w8, #1
0xfffffff0086d6c44: 292400b9  str	w9, [x1, #0x24]
0xfffffff0086d6c48: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff0086d6c4c: a80000b4  cbz	x8, #0xfffffff0086d6c60
0xfffffff0086d6c50: 100d40f9  ldr	x16, [x8, #0x18]
0xfffffff0086d6c54: 1f0200f1  cmp	x16, #0
0xfffffff0086d6c58: 2019407a  ccmp	w9, #0, #0, ne
0xfffffff0086d6c5c: 40000054  b.eq	#0xfffffff0086d6c64
0xfffffff0086d6c60: c0035fd6  ret	
0xfffffff0086d6c64: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0086d6c68: e00301aa  mov	x0, x1
0xfffffff0086d6c6c: e10308aa  mov	x1, x8
0xfffffff0086d6c70: 117b8ed2  mov	x17, #0x73d8
0xfffffff0086d6c74: 110a1fd7  braa	x16, x17
0xfffffff0086d6c78: 7f2303d5  pacibsp	
0xfffffff0086d6c7c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0086d6c80: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0086d6c84: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0086d6c88: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0086d6c8c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0086d6c90: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0086d6c94: fd430191  add	x29, sp, #0x50
0xfffffff0086d6c98: f30300aa  mov	x19, x0
0xfffffff0086d6c9c: 57008052  mov	w23, #2
0xfffffff0086d6ca0: 9700a072  movk	w23, #4, lsl #16
0xfffffff0086d6ca4: 080840b9  ldr	w8, [x0, #8]
0xfffffff0086d6ca8: d853ffb0  adrp	x24, #0xfffffff00714f000
0xfffffff0086d6cac: 18030691  add	x24, x24, #0x180
0xfffffff0086d6cb0: 1f01176a  tst	w8, w23
0xfffffff0086d6cb4: 40010054  b.eq	#0xfffffff0086d6cdc
0xfffffff0086d6cb8: f80300f9  str	x24, [sp]
0xfffffff0086d6cbc: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d6cc0: 00403691  add	x0, x0, #0xd90
0xfffffff0086d6cc4: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d6cc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d6ccc: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d6cd0: 63683c91  add	x3, x3, #0xf1a
0xfffffff0086d6cd4: 02008052  mov	w2, #0
0xfffffff0086d6cd8: 1671f197  bl	#0xfffffff008333130
0xfffffff0086d6cdc: 190080d2  mov	x25, #0
0xfffffff0086d6ce0: 7ac20091  add	x26, x19, #0x30
0xfffffff0086d6ce4: d452fff0  adrp	x20, #0xfffffff007131000
0xfffffff0086d6ce8: 94423691  add	x20, x20, #0xd90
0xfffffff0086d6cec: 3599fff0  adrp	x21, #0xfffffff0079fd000
0xfffffff0086d6cf0: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff0086d6cf4: f652ff90  adrp	x22, #0xfffffff007132000
0xfffffff0086d6cf8: d6de3c91  add	x22, x22, #0xf37
0xfffffff0086d6cfc: 680a40b9  ldr	w8, [x19, #8]
0xfffffff0086d6d00: 1f01176a  tst	w8, w23
0xfffffff0086d6d04: 00010054  b.eq	#0xfffffff0086d6d24
0xfffffff0086d6d08: 486b79b8  ldr	w8, [x26, x25]
0xfffffff0086d6d0c: e80300f9  str	x8, [sp]
0xfffffff0086d6d10: e00314aa  mov	x0, x20
0xfffffff0086d6d14: e10315aa  mov	x1, x21
0xfffffff0086d6d18: 02008052  mov	w2, #0
0xfffffff0086d6d1c: e30316aa  mov	x3, x22
0xfffffff0086d6d20: 0471f197  bl	#0xfffffff008333130
0xfffffff0086d6d24: 39130091  add	x25, x25, #4
0xfffffff0086d6d28: 3f8300f1  cmp	x25, #0x20
0xfffffff0086d6d2c: 81feff54  b.ne	#0xfffffff0086d6cfc
0xfffffff0086d6d30: 680a40b9  ldr	w8, [x19, #8]
0xfffffff0086d6d34: 1f01176a  tst	w8, w23
0xfffffff0086d6d38: a0020054  b.eq	#0xfffffff0086d6d8c
