; Candidate 2665
; ADRP+ADD at VM 0xfffffff0086d93a4 (fileoff 0x16d53a4): page=0x1fea58000 add_imm=0xd90

0xfffffff0086d9324: 8b011633  bfi	w11, w12, #0xa, #1
0xfffffff0086d9328: 0b2d00b9  str	w11, [x8, #0x2c]
0xfffffff0086d932c: 4a595e39  ldrb	w10, [x10, #0x796]
0xfffffff0086d9330: 6b791412  and	w11, w11, #0xfffff7ff
0xfffffff0086d9334: 6a2d0a2a  orr	w10, w11, w10, lsl #11
0xfffffff0086d9338: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0086d933c: 2b3d40b9  ldr	w11, [x9, #0x3c]
0xfffffff0086d9340: 6a0d1133  bfi	w10, w11, #0xf, #4
0xfffffff0086d9344: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0086d9348: 2b3940b9  ldr	w11, [x9, #0x38]
0xfffffff0086d934c: 6a0d0d33  bfi	w10, w11, #0x13, #4
0xfffffff0086d9350: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0086d9354: 291d40b9  ldr	w9, [x9, #0x1c]
0xfffffff0086d9358: 2a050833  bfi	w10, w9, #0x18, #2
0xfffffff0086d935c: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0086d9360: 00008052  mov	w0, #0
0xfffffff0086d9364: c0035fd6  ret	
0xfffffff0086d9368: 5f2403d5  bti	c
0xfffffff0086d936c: e2000034  cbz	w2, #0xfffffff0086d9388
0xfffffff0086d9370: 5f000071  cmp	w2, #0
0xfffffff0086d9374: 48a4821a  cinc	w8, w2, lt
0xfffffff0086d9378: 087d0113  asr	w8, w8, #1
0xfffffff0086d937c: 0839010b  add	w8, w8, w1, lsl #14
0xfffffff0086d9380: 000dc21a  sdiv	w0, w8, w2
0xfffffff0086d9384: c0035fd6  ret	
0xfffffff0086d9388: 7f2303d5  pacibsp	
0xfffffff0086d938c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d9390: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086d9394: fd430091  add	x29, sp, #0x10
0xfffffff0086d9398: a853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d939c: 08250791  add	x8, x8, #0x1c9
0xfffffff0086d93a0: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0086d93a4: c052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d93a8: 00403691  add	x0, x0, #0xd90
0xfffffff0086d93ac: 2199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d93b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d93b4: c352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086d93b8: 632c0491  add	x3, x3, #0x10b
0xfffffff0086d93bc: 5d67f197  bl	#0xfffffff008333130
0xfffffff0086d93c0: 00008012  mov	w0, #-1
0xfffffff0086d93c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086d93c8: ff830091  add	sp, sp, #0x20
0xfffffff0086d93cc: ff2303d5  autibsp	
0xfffffff0086d93d0: c0035fd6  ret	
0xfffffff0086d93d4: 5f2403d5  bti	c
0xfffffff0086d93d8: e2010034  cbz	w2, #0xfffffff0086d9414
0xfffffff0086d93dc: 687c021b  mul	w8, w3, w2
0xfffffff0086d93e0: 0839014b  sub	w8, w8, w1, lsl #14
0xfffffff0086d93e4: 2900024b  sub	w9, w1, w2
0xfffffff0086d93e8: 29491353  lsl	w9, w9, #0xd
0xfffffff0086d93ec: 5f000071  cmp	w2, #0
0xfffffff0086d93f0: 4aa4821a  cinc	w10, w2, lt
0xfffffff0086d93f4: 29058a0b  add	w9, w9, w10, asr #1
0xfffffff0086d93f8: 290dc21a  sdiv	w9, w9, w2
0xfffffff0086d93fc: 1f010071  cmp	w8, #0
0xfffffff0086d9400: 08a5881a  cinc	w8, w8, lt
0xfffffff0086d9404: 2805484b  sub	w8, w9, w8, lsr #1
0xfffffff0086d9408: 08010211  add	w8, w8, #0x80
0xfffffff0086d940c: 00350012  and	w0, w8, #0x3fff
0xfffffff0086d9410: c0035fd6  ret	
0xfffffff0086d9414: 7f2303d5  pacibsp	
0xfffffff0086d9418: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d941c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086d9420: fd430091  add	x29, sp, #0x10
