; Candidate 16612
; ADRP+ADD at VM 0xfffffff009f01420 (fileoff 0x2efd420): page=0x1fd94e000 add_imm=0xde6

0xfffffff009f013a0: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009f013a4: eb0313aa  mov	x11, x19
0xfffffff009f013a8: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009f013ac: f6a701a9  stp	x22, x9, [sp, #0x18]
0xfffffff009f013b0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f013b4: 68cafed0  adrp	x8, #0xfffffff00784f000
0xfffffff009f013b8: 08713291  add	x8, x8, #0xc9c
0xfffffff009f013bc: 29618f52  mov	w9, #0x7b09
0xfffffff009f013c0: 60cafed0  adrp	x0, #0xfffffff00784f000
0xfffffff009f013c4: 00e03291  add	x0, x0, #0xcb8
0xfffffff009f013c8: e82700a9  stp	x8, x9, [sp]
0xfffffff009f013cc: 3ef9fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f013d0: 22000014  b	#0xfffffff009f01458
0xfffffff009f013d4: 180080d2  mov	x24, #0
0xfffffff009f013d8: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009f013dc: 087d169b  mul	x8, x8, x22
0xfffffff009f013e0: 1f0308eb  cmp	x24, x8
0xfffffff009f013e4: 40020054  b.eq	#0xfffffff009f0142c
0xfffffff009f013e8: 882600f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f013ec: 081d4ab9  ldr	w8, [x8, #0xa1c]
0xfffffff009f013f0: 69008052  mov	w9, #3
0xfffffff009f013f4: 3f01286a  bics	wzr, w9, w8
0xfffffff009f013f8: 60080054  b.eq	#0xfffffff009f01504
0xfffffff009f013fc: 083e8452  mov	w8, #0x21f0
0xfffffff009f01400: 8802088b  add	x8, x20, x8
0xfffffff009f01404: 290740f9  ldr	x9, [x25, #8]
0xfffffff009f01408: e95b02a9  stp	x9, x22, [sp, #0x20]
0xfffffff009f0140c: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff009f01410: 68cafed0  adrp	x8, #0xfffffff00784f000
0xfffffff009f01414: 08713291  add	x8, x8, #0xc9c
0xfffffff009f01418: 69678f52  mov	w9, #0x7b3b
0xfffffff009f0141c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f01420: 60cafed0  adrp	x0, #0xfffffff00784f000
0xfffffff009f01424: 00983791  add	x0, x0, #0xde6
0xfffffff009f01428: 27f9fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0142c: 882600f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f01430: 08716839  ldrb	w8, [x8, #0xa1c]
0xfffffff009f01434: f7d744a9  ldp	x23, x21, [sp, #0x48]
0xfffffff009f01438: f82340f9  ldr	x24, [sp, #0x40]
0xfffffff009f0143c: e8000036  tbz	w8, #0, #0xfffffff009f01458
0xfffffff009f01440: 62cafed0  adrp	x2, #0xfffffff00784f000
0xfffffff009f01444: 42703291  add	x2, x2, #0xc9c
0xfffffff009f01448: e00314aa  mov	x0, x20
0xfffffff009f0144c: e10319aa  mov	x1, x25
0xfffffff009f01450: c3678f52  mov	w3, #0x7b3e
0xfffffff009f01454: d3cbfc97  bl	#0xfffffff009e343a0
0xfffffff009f01458: e00314aa  mov	x0, x20
0xfffffff009f0145c: 81008052  mov	w1, #4
0xfffffff009f01460: e20317aa  mov	x2, x23
0xfffffff009f01464: e30315aa  mov	x3, x21
0xfffffff009f01468: e40318aa  mov	x4, x24
0xfffffff009f0146c: 05008052  mov	w5, #0
0xfffffff009f01470: e1c4ff97  bl	#0xfffffff009ef27f4
0xfffffff009f01474: e00313aa  mov	x0, x19
0xfffffff009f01478: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff009f0147c: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff009f01480: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff009f01484: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff009f01488: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff009f0148c: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff009f01490: ff830391  add	sp, sp, #0xe0
0xfffffff009f01494: ff0f5fd6  retab	
0xfffffff009f01498: 88638f52  mov	w8, #0x7b1c
0xfffffff009f0149c: 49cafeb0  adrp	x9, #0xfffffff00784a000
