; Candidate 2969
; ADRP+ADD at VM 0xfffffff0086f90b8 (fileoff 0x16f50b8): page=0x1fea38000 add_imm=0xd90

0xfffffff0086f9038: e85b00a9  stp	x8, x22, [sp]
0xfffffff0086f903c: c051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086f9040: 00403691  add	x0, x0, #0xd90
0xfffffff0086f9044: 2198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f9048: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f904c: e351ff90  adrp	x3, #0xfffffff007135000
0xfffffff0086f9050: 63a83891  add	x3, x3, #0xe2a
0xfffffff0086f9054: 02008052  mov	w2, #0
0xfffffff0086f9058: 36e8f097  bl	#0xfffffff008333130
0xfffffff0086f905c: 7dfdff17  b	#0xfffffff0086f8650
0xfffffff0086f9060: 81f259f9  ldr	x1, [x20, #0x33e0]
0xfffffff0086f9064: 288c47b9  ldr	w8, [x1, #0x78c]
0xfffffff0086f9068: 68000035  cbnz	w8, #0xfffffff0086f9074
0xfffffff0086f906c: 299047b9  ldr	w9, [x1, #0x790]
0xfffffff0086f9070: e9030034  cbz	w9, #0xfffffff0086f90ec
0xfffffff0086f9074: 49934339  ldrb	w9, [x26, #0xe4]
0xfffffff0086f9078: c9000034  cbz	w9, #0xfffffff0086f9090
0xfffffff0086f907c: 8a2e76b9  ldr	w10, [x20, #0x362c]
0xfffffff0086f9080: 290050b9  ldr	w9, [x1, #0x1000]
0xfffffff0086f9084: 5f01096b  cmp	w10, w9
0xfffffff0086f9088: 61000054  b.ne	#0xfffffff0086f9094
0xfffffff0086f908c: 18000014  b	#0xfffffff0086f90ec
0xfffffff0086f9090: 290050b9  ldr	w9, [x1, #0x1000]
0xfffffff0086f9094: 2a444239  ldrb	w10, [x1, #0x91]
0xfffffff0086f9098: eb0318aa  mov	x11, x24
0xfffffff0086f909c: 2c9047b9  ldr	w12, [x1, #0x790]
0xfffffff0086f90a0: e9af02a9  stp	x9, x11, [sp, #0x28]
0xfffffff0086f90a4: f3ab01a9  stp	x19, x10, [sp, #0x18]
0xfffffff0086f90a8: e8b300a9  stp	x8, x12, [sp, #8]
0xfffffff0086f90ac: c952ff90  adrp	x9, #0xfffffff007151000
0xfffffff0086f90b0: 29491591  add	x9, x9, #0x552
0xfffffff0086f90b4: e90300f9  str	x9, [sp]
0xfffffff0086f90b8: c051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086f90bc: 00403691  add	x0, x0, #0xd90
0xfffffff0086f90c0: 2198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f90c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f90c8: e351ff90  adrp	x3, #0xfffffff007135000
0xfffffff0086f90cc: 635c3991  add	x3, x3, #0xe57
0xfffffff0086f90d0: 02008052  mov	w2, #0
0xfffffff0086f90d4: 17e8f097  bl	#0xfffffff008333130
0xfffffff0086f90d8: 28008052  mov	w8, #1
0xfffffff0086f90dc: 48930339  strb	w8, [x26, #0xe4]
0xfffffff0086f90e0: 81f259f9  ldr	x1, [x20, #0x33e0]
0xfffffff0086f90e4: 280050b9  ldr	w8, [x1, #0x1000]
0xfffffff0086f90e8: 882e36b9  str	w8, [x20, #0x362c]
0xfffffff0086f90ec: 7f0a0071  cmp	w19, #2
0xfffffff0086f90f0: 200b0054  b.eq	#0xfffffff0086f9254
0xfffffff0086f90f4: 28444239  ldrb	w8, [x1, #0x91]
0xfffffff0086f90f8: e80a0034  cbz	w8, #0xfffffff0086f9254
0xfffffff0086f90fc: 280050b9  ldr	w8, [x1, #0x1000]
0xfffffff0086f9100: 1f050071  cmp	w8, #1
0xfffffff0086f9104: 810a0054  b.ne	#0xfffffff0086f9254
0xfffffff0086f9108: 288c47b9  ldr	w8, [x1, #0x78c]
0xfffffff0086f910c: a8000035  cbnz	w8, #0xfffffff0086f9120
0xfffffff0086f9110: 280847b9  ldr	w8, [x1, #0x708]
0xfffffff0086f9114: 68000035  cbnz	w8, #0xfffffff0086f9120
0xfffffff0086f9118: 289047b9  ldr	w8, [x1, #0x790]
0xfffffff0086f911c: c8090034  cbz	w8, #0xfffffff0086f9254
0xfffffff0086f9120: e8830291  add	x8, sp, #0xa0
0xfffffff0086f9124: ff4301b9  str	wzr, [sp, #0x140]
0xfffffff0086f9128: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086f912c: 000104ad  stp	q0, q0, [x8, #0x80]
0xfffffff0086f9130: e00308ad  stp	q0, q0, [sp, #0x100]
0xfffffff0086f9134: e00307ad  stp	q0, q0, [sp, #0xe0]
