; Candidate 2172
; ADRP+ADD at VM 0xfffffff008597438 (fileoff 0x1593438): page=0x1feb55000 add_imm=0xd28

0xfffffff0085973b8: 100000f9  str	x16, [x0]
0xfffffff0085973bc: b0a0ff90  adrp	x16, #0xfffffff0079ab000
0xfffffff0085973c0: 10020391  add	x16, x16, #0xc0
0xfffffff0085973c4: 10821a91  add	x16, x16, #0x6a0
0xfffffff0085973c8: f10308aa  mov	x17, x8
0xfffffff0085973cc: 914df4f2  movk	x17, #0xa26c, lsl #48
0xfffffff0085973d0: 300ac1da  pacda	x16, x17
0xfffffff0085973d4: 106800f9  str	x16, [x0, #0xd0]
0xfffffff0085973d8: e00314aa  mov	x0, x20
0xfffffff0085973dc: 5637f597  bl	#0xfffffff0082e5134
0xfffffff0085973e0: e00313aa  mov	x0, x19
0xfffffff0085973e4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085973e8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085973ec: ff0f5fd6  retab	
0xfffffff0085973f0: 7f2303d5  pacibsp	
0xfffffff0085973f4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085973f8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085973fc: fd430091  add	x29, sp, #0x10
0xfffffff008597400: f30300aa  mov	x19, x0
0xfffffff008597404: 88a0fff0  adrp	x8, #0xfffffff0079aa000
0xfffffff008597408: 08ed40f9  ldr	x8, [x8, #0x1d8]
0xfffffff00859740c: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff008597410: 010080d2  mov	x1, #0
0xfffffff008597414: f10308aa  mov	x17, x8
0xfffffff008597418: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00859741c: 31093fd7  blraa	x9, x17
0xfffffff008597420: 80030034  cbz	w0, #0xfffffff008597490
0xfffffff008597424: 00038052  mov	w0, #0x18
0xfffffff008597428: 38060094  bl	#0xfffffff008598d08
0xfffffff00859742c: f40300aa  mov	x20, x0
0xfffffff008597430: 3b060094  bl	#0xfffffff008598d1c
0xfffffff008597434: c00200b4  cbz	x0, #0xfffffff00859748c
0xfffffff008597438: a05affb0  adrp	x0, #0xfffffff0070ec000
0xfffffff00859743c: 00a03491  add	x0, x0, #0xd28
0xfffffff008597440: a15affd0  adrp	x1, #0xfffffff0070ed000
0xfffffff008597444: 214c0791  add	x1, x1, #0x1d3
0xfffffff008597448: 366ff697  bl	#0xfffffff008333120
0xfffffff00859744c: 800a00f9  str	x0, [x20, #0x10]
0xfffffff008597450: 600000b4  cbz	x0, #0xfffffff00859745c
0xfffffff008597454: 20008052  mov	w0, #1
0xfffffff008597458: 0d000014  b	#0xfffffff00859748c
0xfffffff00859745c: 900240f9  ldr	x16, [x20]
0xfffffff008597460: f10314aa  mov	x17, x20
0xfffffff008597464: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008597468: 301ac1da  autda	x16, x17
0xfffffff00859746c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008597470: e90310aa  mov	x9, x16
0xfffffff008597474: e00314aa  mov	x0, x20
0xfffffff008597478: f10309aa  mov	x17, x9
0xfffffff00859747c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008597480: 11093fd7  blraa	x8, x17
0xfffffff008597484: 140080d2  mov	x20, #0
0xfffffff008597488: 00008052  mov	w0, #0
0xfffffff00859748c: 747600f9  str	x20, [x19, #0xe8]
0xfffffff008597490: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008597494: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008597498: ff0f5fd6  retab	
0xfffffff00859749c: 7f2303d5  pacibsp	
0xfffffff0085974a0: ff0301d1  sub	sp, sp, #0x40
0xfffffff0085974a4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0085974a8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0085974ac: fdc30091  add	x29, sp, #0x30
0xfffffff0085974b0: f40301aa  mov	x20, x1
0xfffffff0085974b4: f30300aa  mov	x19, x0
