; Candidate 8150
; ADRP+ADD at VM 0xfffffff008897eec (fileoff 0x1893eec): page=0x1fe952000 add_imm=0xe80

0xfffffff008897e6c: 08192c91  add	x8, x8, #0xb06
0xfffffff008897e70: f35f04a9  stp	x19, x23, [sp, #0x40]
0xfffffff008897e74: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff008897e78: a8278052  mov	w8, #0x13d
0xfffffff008897e7c: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff008897e80: 29352491  add	x9, x9, #0x90d
0xfffffff008897e84: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008897e88: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff008897e8c: 08493991  add	x8, x8, #0xe52
0xfffffff008897e90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008897e94: 280e8052  mov	w8, #0x71
0xfffffff008897e98: c04cff90  adrp	x0, #0xfffffff00722f000
0xfffffff008897e9c: 00ec2a91  add	x0, x0, #0xabb
0xfffffff008897ea0: 74ffff17  b	#0xfffffff008897c70
0xfffffff008897ea4: c2700094  bl	#0xfffffff0088b41ac
0xfffffff008897ea8: f60300aa  mov	x22, x0
0xfffffff008897eac: 80008052  mov	w0, #4
0xfffffff008897eb0: 688eff97  bl	#0xfffffff00887b850
0xfffffff008897eb4: e80314aa  mov	x8, x20
0xfffffff008897eb8: f32304a9  stp	x19, x8, [sp, #0x40]
0xfffffff008897ebc: c84bffb0  adrp	x8, #0xfffffff007210000
0xfffffff008897ec0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008897ec4: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff008897ec8: 48258052  mov	w8, #0x12a
0xfffffff008897ecc: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff008897ed0: 29352491  add	x9, x9, #0x90d
0xfffffff008897ed4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008897ed8: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff008897edc: 08493991  add	x8, x8, #0xe52
0xfffffff008897ee0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008897ee4: 280e8052  mov	w8, #0x71
0xfffffff008897ee8: f62300a9  stp	x22, x8, [sp]
0xfffffff008897eec: 804affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008897ef0: 00003a91  add	x0, x0, #0xe80
0xfffffff008897ef4: 818bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008897ef8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008897efc: 434eff90  adrp	x3, #0xfffffff00725f000
0xfffffff008897f00: 63e02c91  add	x3, x3, #0xb38
0xfffffff008897f04: 02008052  mov	w2, #0
0xfffffff008897f08: 8a6cea97  bl	#0xfffffff008333130
0xfffffff008897f0c: 6f000014  b	#0xfffffff0088980c8
0xfffffff008897f10: a7700094  bl	#0xfffffff0088b41ac
0xfffffff008897f14: f60300aa  mov	x22, x0
0xfffffff008897f18: 80008052  mov	w0, #4
0xfffffff008897f1c: 4d8eff97  bl	#0xfffffff00887b850
0xfffffff008897f20: e80314aa  mov	x8, x20
0xfffffff008897f24: f32304a9  stp	x19, x8, [sp, #0x40]
0xfffffff008897f28: c84bffb0  adrp	x8, #0xfffffff007210000
0xfffffff008897f2c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008897f30: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff008897f34: a8248052  mov	w8, #0x125
0xfffffff008897f38: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff008897f3c: 29352491  add	x9, x9, #0x90d
0xfffffff008897f40: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008897f44: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff008897f48: 08493991  add	x8, x8, #0xe52
0xfffffff008897f4c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008897f50: 280e8052  mov	w8, #0x71
0xfffffff008897f54: f62300a9  stp	x22, x8, [sp]
0xfffffff008897f58: 804affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008897f5c: 00003a91  add	x0, x0, #0xe80
0xfffffff008897f60: 818bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008897f64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008897f68: 434eff90  adrp	x3, #0xfffffff00725f000
