; Candidate 11200
; ADRP+ADD at VM 0xfffffff008eaa984 (fileoff 0x1ea6984): page=0x1fec65000 add_imm=0xd40

0xfffffff008eaa904: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008eaa908: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008eaa90c: fdc30091  add	x29, sp, #0x30
0xfffffff008eaa910: f40302aa  mov	x20, x2
0xfffffff008eaa914: f50301aa  mov	x21, x1
0xfffffff008eaa918: f30300aa  mov	x19, x0
0xfffffff008eaa91c: f062ffb0  adrp	x16, #0xfffffff007b07000
0xfffffff008eaa920: 10c21f91  add	x16, x16, #0x7f0
0xfffffff008eaa924: 10420091  add	x16, x16, #0x10
0xfffffff008eaa928: f10300aa  mov	x17, x0
0xfffffff008eaa92c: d1c1f5f2  movk	x17, #0xae0e, lsl #48
0xfffffff008eaa930: 300ac1da  pacda	x16, x17
0xfffffff008eaa934: 100000f9  str	x16, [x0]
0xfffffff008eaa938: 1f380079  strh	wzr, [x0, #0x1c]
0xfffffff008eaa93c: 017c02a9  stp	x1, xzr, [x0, #0x20]
0xfffffff008eaa940: a82afff0  adrp	x8, #0xfffffff007401000
0xfffffff008eaa944: 08012a91  add	x8, x8, #0xa80
0xfffffff008eaa948: 09f0a7d2  mov	x9, #0x3f800000
0xfffffff008eaa94c: 2901c0f2  movk	x9, #9, lsl #32
0xfffffff008eaa950: 1f2004a9  stp	xzr, x8, [x0, #0x40]
0xfffffff008eaa954: a82afff0  adrp	x8, #0xfffffff007401000
0xfffffff008eaa958: 002945fd  ldr	d0, [x8, #0xa50]
0xfffffff008eaa95c: 002800fd  str	d0, [x0, #0x50]
0xfffffff008eaa960: 48018052  mov	w8, #0xa
0xfffffff008eaa964: 085800b9  str	w8, [x0, #0x58]
0xfffffff008eaa968: a82afff0  adrp	x8, #0xfffffff007401000
0xfffffff008eaa96c: 08912a91  add	x8, x8, #0xaa4
0xfffffff008eaa970: 092003a9  stp	x9, x8, [x0, #0x30]
0xfffffff008eaa974: a82afff0  adrp	x8, #0xfffffff007401000
0xfffffff008eaa978: 08a12f91  add	x8, x8, #0xbe8
0xfffffff008eaa97c: 087c06a9  stp	x8, xzr, [x0, #0x60]
0xfffffff008eaa980: 1f7c07a9  stp	xzr, xzr, [x0, #0x70]
0xfffffff008eaa984: 2063ffb0  adrp	x0, #0xfffffff007b0f000
0xfffffff008eaa988: 00003591  add	x0, x0, #0xd40
0xfffffff008eaa98c: daaed297  bl	#0xfffffff0083564f4
0xfffffff008eaa990: f60300aa  mov	x22, x0
0xfffffff008eaa994: 13fc00a9  stp	x19, xzr, [x0, #8]
0xfffffff008eaa998: 08088052  mov	w8, #0x40
0xfffffff008eaa99c: 08600039  strb	w8, [x0, #0x18]
0xfffffff008eaa9a0: 1f7c02a9  stp	xzr, xzr, [x0, #0x20]
0xfffffff008eaa9a4: 1fc00039  strb	wzr, [x0, #0x30]
0xfffffff008eaa9a8: 1f1c00f9  str	xzr, [x0, #0x38]
0xfffffff008eaa9ac: f062ffb0  adrp	x16, #0xfffffff007b07000
0xfffffff008eaa9b0: 10a22191  add	x16, x16, #0x868
0xfffffff008eaa9b4: 10420091  add	x16, x16, #0x10
0xfffffff008eaa9b8: f10300aa  mov	x17, x0
0xfffffff008eaa9bc: 116bfff2  movk	x17, #0xfb58, lsl #48
0xfffffff008eaa9c0: 300ac1da  pacda	x16, x17
0xfffffff008eaa9c4: 100000f9  str	x16, [x0]
0xfffffff008eaa9c8: 1f4000b9  str	wzr, [x0, #0x40]
0xfffffff008eaa9cc: 100000b0  adrp	x16, #0xfffffff008eab000
0xfffffff008eaa9d0: 10823b91  add	x16, x16, #0xee0
0xfffffff008eaa9d4: 91b790d2  mov	x17, #0x85bc
0xfffffff008eaa9d8: 3002c1da  pacia	x16, x17
0xfffffff008eaa9dc: 102400f9  str	x16, [x0, #0x48]
0xfffffff008eaa9e0: 00088052  mov	w0, #0x40
0xfffffff008eaa9e4: 24ac2a94  bl	#0xfffffff009955a74
0xfffffff008eaa9e8: 1f080071  cmp	w0, #2
0xfffffff008eaa9ec: 20010054  b.eq	#0xfffffff008eaaa10
0xfffffff008eaa9f0: 00088052  mov	w0, #0x40
0xfffffff008eaa9f4: 4eb32a94  bl	#0xfffffff00995772c
0xfffffff008eaa9f8: a829ff90  adrp	x8, #0xfffffff0073de000
0xfffffff008eaa9fc: 08ad2991  add	x8, x8, #0xa6b
0xfffffff008eaaa00: e80300a9  stp	x8, x0, [sp]
