; Candidate 3730
; ADRP+ADD at VM 0xfffffff008755368 (fileoff 0x1751368): page=0x1fe9dc000 add_imm=0xd90

0xfffffff0087552e8: 145940f9  ldr	x20, [x8, #0xb0]
0xfffffff0087552ec: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff0087552f0: 08014291  add	x8, x8, #0x80, lsl #12
0xfffffff0087552f4: 09fd64d3  lsr	x9, x8, #0x24
0xfffffff0087552f8: 1550ff90  adrp	x21, #0xfffffff007155000
0xfffffff0087552fc: b5ae2a91  add	x21, x21, #0xaab
0xfffffff008755300: a90100b4  cbz	x9, #0xfffffff008755334
0xfffffff008755304: a8128052  mov	w8, #0x95
0xfffffff008755308: f52300a9  stp	x21, x8, [sp]
0xfffffff00875530c: e04eff90  adrp	x0, #0xfffffff007131000
0xfffffff008755310: 00403691  add	x0, x0, #0xd90
0xfffffff008755314: 4195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008755318: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875531c: 634fff90  adrp	x3, #0xfffffff007141000
0xfffffff008755320: 63000a91  add	x3, x3, #0x280
0xfffffff008755324: 02008052  mov	w2, #0
0xfffffff008755328: 8277ef97  bl	#0xfffffff008333130
0xfffffff00875532c: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff008755330: 08014291  add	x8, x8, #0x80, lsl #12
0xfffffff008755334: 16048052  mov	w22, #0x20
0xfffffff008755338: f600a072  movk	w22, #7, lsl #16
0xfffffff00875533c: 02fd44d3  lsr	x2, x8, #4
0xfffffff008755340: e00313aa  mov	x0, x19
0xfffffff008755344: 01048052  mov	w1, #0x20
0xfffffff008755348: e100a072  movk	w1, #7, lsl #16
0xfffffff00875534c: 228eff97  bl	#0xfffffff008738bd4
0xfffffff008755350: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff008755354: 08014491  add	x8, x8, #0x100, lsl #12
0xfffffff008755358: 09fd64d3  lsr	x9, x8, #0x24
0xfffffff00875535c: a90100b4  cbz	x9, #0xfffffff008755390
0xfffffff008755360: c8128052  mov	w8, #0x96
0xfffffff008755364: f52300a9  stp	x21, x8, [sp]
0xfffffff008755368: e04eff90  adrp	x0, #0xfffffff007131000
0xfffffff00875536c: 00403691  add	x0, x0, #0xd90
0xfffffff008755370: 4195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008755374: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008755378: 634fff90  adrp	x3, #0xfffffff007141000
0xfffffff00875537c: 63d00a91  add	x3, x3, #0x2b4
0xfffffff008755380: 02008052  mov	w2, #0
0xfffffff008755384: 6b77ef97  bl	#0xfffffff008333130
0xfffffff008755388: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff00875538c: 08014491  add	x8, x8, #0x100, lsl #12
0xfffffff008755390: 02fd44d3  lsr	x2, x8, #4
0xfffffff008755394: c1120011  add	w1, w22, #4
0xfffffff008755398: e00313aa  mov	x0, x19
0xfffffff00875539c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087553a0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087553a4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087553a8: ff030191  add	sp, sp, #0x40
0xfffffff0087553ac: ff2303d5  autibsp	
0xfffffff0087553b0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0087553b4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087553bc
0xfffffff0087553b8: 208e38d4  brk	#0xc471
0xfffffff0087553bc: 068eff17  b	#0xfffffff008738bd4
0xfffffff0087553c0: 7f2303d5  pacibsp	
0xfffffff0087553c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0087553c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087553cc: fd430091  add	x29, sp, #0x10
0xfffffff0087553d0: e20301aa  mov	x2, x1
0xfffffff0087553d4: f30300aa  mov	x19, x0
0xfffffff0087553d8: 81ad9352  mov	w1, #0x9d6c
0xfffffff0087553dc: 4101a072  movk	w1, #0xa, lsl #16
0xfffffff0087553e0: 83028052  mov	w3, #0x14
0xfffffff0087553e4: 208eff97  bl	#0xfffffff008738c64
