; Candidate 12281
; ADRP+ADD at VM 0xfffffff0090822c8 (fileoff 0x207e2c8): page=0x1fe3d7000 add_imm=0xe24

0xfffffff009082248: fd430191  add	x29, sp, #0x50
0xfffffff00908224c: f30300aa  mov	x19, x0
0xfffffff009082250: 769400f0  adrp	x22, #0xfffffff00a311000
0xfffffff009082254: d6a20391  add	x22, x22, #0xe8
0xfffffff009082258: c8024039  ldrb	w8, [x22]
0xfffffff00908225c: d41effb0  adrp	x20, #0xfffffff00745b000
0xfffffff009082260: 94d21091  add	x20, x20, #0x434
0xfffffff009082264: b51efff0  adrp	x21, #0xfffffff007459000
0xfffffff009082268: b52e3f91  add	x21, x21, #0xfcb
0xfffffff00908226c: 1f290071  cmp	w8, #0xa
0xfffffff009082270: c8000054  b.hi	#0xfffffff009082288
0xfffffff009082274: f55300a9  stp	x21, x20, [sp]
0xfffffff009082278: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908227c: 00583191  add	x0, x0, #0xc56
0xfffffff009082280: 6853cb97  bl	#0xfffffff008357020
0xfffffff009082284: c8024039  ldrb	w8, [x22]
0xfffffff009082288: 1fa10071  cmp	w8, #0x28
0xfffffff00908228c: a8000054  b.hi	#0xfffffff0090822a0
0xfffffff009082290: f55300a9  stp	x21, x20, [sp]
0xfffffff009082294: c01effb0  adrp	x0, #0xfffffff00745b000
0xfffffff009082298: 00201191  add	x0, x0, #0x448
0xfffffff00908229c: 6153cb97  bl	#0xfffffff008357020
0xfffffff0090822a0: e00313aa  mov	x0, x19
0xfffffff0090822a4: 95150094  bl	#0xfffffff0090878f8
0xfffffff0090822a8: 137c4093  sxtw	x19, w0
0xfffffff0090822ac: 00020035  cbnz	w0, #0xfffffff0090822ec
0xfffffff0090822b0: 48018052  mov	w8, #0xa
0xfffffff0090822b4: c9024039  ldrb	w9, [x22]
0xfffffff0090822b8: 1f01096b  cmp	w8, w9
0xfffffff0090822bc: c3000054  b.lo	#0xfffffff0090822d4
0xfffffff0090822c0: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff0090822c4: f50300f9  str	x21, [sp]
0xfffffff0090822c8: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff0090822cc: 00903891  add	x0, x0, #0xe24
0xfffffff0090822d0: 5453cb97  bl	#0xfffffff008357020
0xfffffff0090822d4: e00313aa  mov	x0, x19
0xfffffff0090822d8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090822dc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090822e0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090822e4: ff830191  add	sp, sp, #0x60
0xfffffff0090822e8: ff0f5fd6  retab	
0xfffffff0090822ec: 08038152  mov	w8, #0x818
0xfffffff0090822f0: a91efff0  adrp	x9, #0xfffffff007459000
0xfffffff0090822f4: 29493f91  add	x9, x9, #0xfd2
0xfffffff0090822f8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090822fc: a81efff0  adrp	x8, #0xfffffff007459000
0xfffffff009082300: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009082304: ca1eff90  adrp	x10, #0xfffffff00745a000
0xfffffff009082308: 4a290291  add	x10, x10, #0x8a
0xfffffff00908230c: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff009082310: ea0300f9  str	x10, [sp]
0xfffffff009082314: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff009082318: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908231c: 4153cb97  bl	#0xfffffff008357020
0xfffffff009082320: c8088052  mov	w8, #0x46
0xfffffff009082324: e4ffff17  b	#0xfffffff0090822b4
0xfffffff009082328: 7f2303d5  pacibsp	
0xfffffff00908232c: ffc301d1  sub	sp, sp, #0x70
0xfffffff009082330: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009082334: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009082338: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00908233c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009082340: fd830191  add	x29, sp, #0x60
0xfffffff009082344: f30302aa  mov	x19, x2
