; Candidate 8869
; ADRP+ADD at VM 0xfffffff0088e7c84 (fileoff 0x18e3c84): page=0x1ff12f000 add_imm=0xe18

0xfffffff0088e7c04: 10e20791  add	x16, x16, #0x1f8
0xfffffff0088e7c08: 10420091  add	x16, x16, #0x10
0xfffffff0088e7c0c: f10300aa  mov	x17, x0
0xfffffff0088e7c10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088e7c14: 300ac1da  pacda	x16, x17
0xfffffff0088e7c18: 100000f9  str	x16, [x0]
0xfffffff0088e7c1c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088e7c20: ff0f5fd6  retab	
0xfffffff0088e7c24: 5f2403d5  bti	c
0xfffffff0088e7c28: 5edbff17  b	#0xfffffff0088de9a0
0xfffffff0088e7c2c: 5f2403d5  bti	c
0xfffffff0088e7c30: 5cdbff17  b	#0xfffffff0088de9a0
0xfffffff0088e7c34: 7f2303d5  pacibsp	
0xfffffff0088e7c38: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088e7c3c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088e7c40: fd430091  add	x29, sp, #0x10
0xfffffff0088e7c44: f30300aa  mov	x19, x0
0xfffffff0088e7c48: 56dbff97  bl	#0xfffffff0088de9a0
0xfffffff0088e7c4c: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e7c50: 00603891  add	x0, x0, #0xe18
0xfffffff0088e7c54: e10313aa  mov	x1, x19
0xfffffff0088e7c58: 021b8052  mov	w2, #0xd8
0xfffffff0088e7c5c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088e7c60: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088e7c64: ff2303d5  autibsp	
0xfffffff0088e7c68: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088e7c6c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088e7c74
0xfffffff0088e7c70: 208e38d4  brk	#0xc471
0xfffffff0088e7c74: 8afee717  b	#0xfffffff0082e769c
0xfffffff0088e7c78: 5f2403d5  bti	c
0xfffffff0088e7c7c: e20301aa  mov	x2, x1
0xfffffff0088e7c80: e10300aa  mov	x1, x0
0xfffffff0088e7c84: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e7c88: 00603891  add	x0, x0, #0xe18
0xfffffff0088e7c8c: 84fee717  b	#0xfffffff0082e769c
0xfffffff0088e7c90: 5f2403d5  bti	c
0xfffffff0088e7c94: a0cf0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088e7c98: 00802491  add	x0, x0, #0x920
0xfffffff0088e7c9c: c0035fd6  ret	
0xfffffff0088e7ca0: 7f2303d5  pacibsp	
0xfffffff0088e7ca4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088e7ca8: fd030091  mov	x29, sp
0xfffffff0088e7cac: 214cffb0  adrp	x1, #0xfffffff00726c000
0xfffffff0088e7cb0: 21e81a91  add	x1, x1, #0x6ba
0xfffffff0088e7cb4: a2cf0090  adrp	x2, #0xfffffff00a2db000
0xfffffff0088e7cb8: 42c02091  add	x2, x2, #0x830
0xfffffff0088e7cbc: 031b8052  mov	w3, #0xd8
0xfffffff0088e7cc0: 9eefe797  bl	#0xfffffff0082e3b38
0xfffffff0088e7cc4: 7089fff0  adrp	x16, #0xfffffff007a16000
0xfffffff0088e7cc8: 10021f91  add	x16, x16, #0x7c0
0xfffffff0088e7ccc: 10420091  add	x16, x16, #0x10
0xfffffff0088e7cd0: f10300aa  mov	x17, x0
0xfffffff0088e7cd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088e7cd8: 300ac1da  pacda	x16, x17
0xfffffff0088e7cdc: 100000f9  str	x16, [x0]
0xfffffff0088e7ce0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088e7ce4: ff0f5fd6  retab	
0xfffffff0088e7ce8: 7f2303d5  pacibsp	
0xfffffff0088e7cec: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088e7cf0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088e7cf4: fd430091  add	x29, sp, #0x10
0xfffffff0088e7cf8: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e7cfc: 00603891  add	x0, x0, #0xe18
0xfffffff0088e7d00: 011b8052  mov	w1, #0xd8
