; Candidate 10003
; ADRP+ADD at VM 0xfffffff008c4d934 (fileoff 0x1c49934): page=0x1fe6f7000 add_imm=0xd94

0xfffffff008c4d8b4: 00008052  mov	w0, #0
0xfffffff008c4d8b8: c0035fd6  ret	
0xfffffff008c4d8bc: 5f2403d5  bti	c
0xfffffff008c4d8c0: 005841b9  ldr	w0, [x0, #0x158]
0xfffffff008c4d8c4: c0035fd6  ret	
0xfffffff008c4d8c8: 5f2403d5  bti	c
0xfffffff008c4d8cc: 087040f9  ldr	x8, [x0, #0xe0]
0xfffffff008c4d8d0: 1f0100f1  cmp	x8, #0
0xfffffff008c4d8d4: e0179f1a  cset	w0, eq
0xfffffff008c4d8d8: c0035fd6  ret	
0xfffffff008c4d8dc: 5f2403d5  bti	c
0xfffffff008c4d8e0: 000c41b9  ldr	w0, [x0, #0x10c]
0xfffffff008c4d8e4: c0035fd6  ret	
0xfffffff008c4d8e8: 5f2403d5  bti	c
0xfffffff008c4d8ec: c0035fd6  ret	
0xfffffff008c4d8f0: 5f2403d5  bti	c
0xfffffff008c4d8f4: e10300aa  mov	x1, x0
0xfffffff008c4d8f8: c072ffd0  adrp	x0, #0xfffffff007aa7000
0xfffffff008c4d8fc: 00e00191  add	x0, x0, #0x78
0xfffffff008c4d900: 8323dc17  b	#0xfffffff00835670c
0xfffffff008c4d904: 5f2403d5  bti	c
0xfffffff008c4d908: 00008012  mov	w0, #-1
0xfffffff008c4d90c: c0035fd6  ret	
0xfffffff008c4d910: 7f2303d5  pacibsp	
0xfffffff008c4d914: ffc300d1  sub	sp, sp, #0x30
0xfffffff008c4d918: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008c4d91c: fd830091  add	x29, sp, #0x20
0xfffffff008c4d920: a8068052  mov	w8, #0x35
0xfffffff008c4d924: a937fff0  adrp	x9, #0xfffffff007344000
0xfffffff008c4d928: 29813691  add	x9, x9, #0xda0
0xfffffff008c4d92c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008c4d930: e00300f9  str	x0, [sp]
0xfffffff008c4d934: a037fff0  adrp	x0, #0xfffffff007344000
0xfffffff008c4d938: 00503691  add	x0, x0, #0xd94
0xfffffff008c4d93c: f41ae197  bl	#0xfffffff00849450c
0xfffffff008c4d940: 7f2303d5  pacibsp	
0xfffffff008c4d944: ffc301d1  sub	sp, sp, #0x70
0xfffffff008c4d948: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008c4d94c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008c4d950: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008c4d954: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008c4d958: fd830191  add	x29, sp, #0x60
0xfffffff008c4d95c: f30303aa  mov	x19, x3
0xfffffff008c4d960: f60302aa  mov	x22, x2
0xfffffff008c4d964: f40300aa  mov	x20, x0
0xfffffff008c4d968: 300040f9  ldr	x16, [x1]
0xfffffff008c4d96c: f10301aa  mov	x17, x1
0xfffffff008c4d970: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c4d974: 301ac1da  autda	x16, x17
0xfffffff008c4d978: 112780d2  mov	x17, #0x138
0xfffffff008c4d97c: 1002118b  add	x16, x16, x17
0xfffffff008c4d980: 080240f9  ldr	x8, [x16]
0xfffffff008c4d984: e90310aa  mov	x9, x16
0xfffffff008c4d988: e00301aa  mov	x0, x1
0xfffffff008c4d98c: e10303aa  mov	x1, x3
0xfffffff008c4d990: f10309aa  mov	x17, x9
0xfffffff008c4d994: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff008c4d998: 11093fd7  blraa	x8, x17
0xfffffff008c4d99c: a872ffd0  adrp	x8, #0xfffffff007aa3000
0xfffffff008c4d9a0: 082146f9  ldr	x8, [x8, #0xc40]
0xfffffff008c4d9a4: 010140f9  ldr	x1, [x8]
0xfffffff008c4d9a8: d358da97  bl	#0xfffffff0082e3cf4
0xfffffff008c4d9ac: 200800b4  cbz	x0, #0xfffffff008c4dab0
0xfffffff008c4d9b0: f50300aa  mov	x21, x0
