; Candidate 3011
; ADRP+ADD at VM 0xfffffff008705044 (fileoff 0x1701044): page=0x1fea2c000 add_imm=0xd90

0xfffffff008704fc4: 1c0940f9  ldr	x28, [x8, #0x10]
0xfffffff008704fc8: b90100b4  cbz	x25, #0xfffffff008704ffc
0xfffffff008704fcc: a89a8052  mov	w8, #0x4d5
0xfffffff008704fd0: 4952fff0  adrp	x9, #0xfffffff00714f000
0xfffffff008704fd4: 29bd1991  add	x9, x9, #0x66f
0xfffffff008704fd8: e92300a9  stp	x9, x8, [sp]
0xfffffff008704fdc: 6051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008704fe0: 00403691  add	x0, x0, #0xd90
0xfffffff008704fe4: c197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008704fe8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008704fec: 8351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008704ff0: 633c2891  add	x3, x3, #0xa0f
0xfffffff008704ff4: 02008052  mov	w2, #0
0xfffffff008704ff8: 4eb8f097  bl	#0xfffffff008333130
0xfffffff008704ffc: 88031bab  adds	x8, x28, x27
0xfffffff008705000: 82d3ff54  b.hs	#0xfffffff008704a70
0xfffffff008705004: 9402158b  add	x20, x20, x21
0xfffffff008705008: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00870500c: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008705010: 2ae943b9  ldr	w10, [x9, #0x3e8]
0xfffffff008705014: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008705018: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff00870501c: 28e903b9  str	w8, [x9, #0x3e8]
0xfffffff008705020: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008705024: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff008705028: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00870502c: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff008705030: b50100b4  cbz	x21, #0xfffffff008705064
0xfffffff008705034: 089b8052  mov	w8, #0x4d8
0xfffffff008705038: 4952ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff00870503c: 29bd1991  add	x9, x9, #0x66f
0xfffffff008705040: e92300a9  stp	x9, x8, [sp]
0xfffffff008705044: 6051ff90  adrp	x0, #0xfffffff007131000
0xfffffff008705048: 00403691  add	x0, x0, #0xd90
0xfffffff00870504c: c197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008705050: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008705054: 8351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff008705058: 630c2991  add	x3, x3, #0xa43
0xfffffff00870505c: 02008052  mov	w2, #0
0xfffffff008705060: 34b8f097  bl	#0xfffffff008333130
0xfffffff008705064: 284334ab  adds	x8, x25, w20, uxtw
0xfffffff008705068: 42d0ff54  b.hs	#0xfffffff008704a70
0xfffffff00870506c: 947e4092  and	x20, x20, #0xffffffff
0xfffffff008705070: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008705074: 2a5d42b9  ldr	w10, [x9, #0x25c]
0xfffffff008705078: 48150033  bfxil	w8, w10, #0, #6
0xfffffff00870507c: 285d02b9  str	w8, [x9, #0x25c]
0xfffffff008705080: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008705084: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff008705088: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00870508c: b50100b4  cbz	x21, #0xfffffff0087050c0
0xfffffff008705090: 489b8052  mov	w8, #0x4da
0xfffffff008705094: 4952ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff008705098: 29bd1991  add	x9, x9, #0x66f
0xfffffff00870509c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087050a0: 6051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0087050a4: 00403691  add	x0, x0, #0xd90
0xfffffff0087050a8: c197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087050ac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087050b0: 8351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff0087050b4: 63dc2991  add	x3, x3, #0xa77
0xfffffff0087050b8: 02008052  mov	w2, #0
0xfffffff0087050bc: 1db8f097  bl	#0xfffffff008333130
0xfffffff0087050c0: 280314ab  adds	x8, x25, x20
