; Candidate 520
; ADRP+ADD at VM 0xfffffff007f523a8 (fileoff 0xf4e3a8): page=0x22eb000 add_imm=0xe90

0xfffffff007f52328: e10315aa  mov	x1, x21
0xfffffff007f5232c: 03008052  mov	w3, #0
0xfffffff007f52330: 24008052  mov	w4, #1
0xfffffff007f52334: 1ba2fe97  bl	#0xfffffff007efaba0
0xfffffff007f52338: fb0300aa  mov	x27, x0
0xfffffff007f5233c: a0140035  cbnz	w0, #0xfffffff007f525d0
0xfffffff007f52340: 950000b4  cbz	x21, #0xfffffff007f52350
0xfffffff007f52344: ab0e40f9  ldr	x11, [x21, #0x18]
0xfffffff007f52348: a81640f9  ldr	x8, [x21, #0x28]
0xfffffff007f5234c: 03000014  b	#0xfffffff007f52358
0xfffffff007f52350: 0b0080d2  mov	x11, #0
0xfffffff007f52354: 080080d2  mov	x8, #0
0xfffffff007f52358: 09010b8b  add	x9, x8, x11
0xfffffff007f5235c: ea020bcb  sub	x10, x23, x11
0xfffffff007f52360: 3f0117eb  cmp	x9, x23
0xfffffff007f52364: 4881889a  csel	x8, x10, x8, hi
0xfffffff007f52368: 1f0500f1  cmp	x8, #1
0xfffffff007f5236c: ab010054  b.lt	#0xfffffff007f523a0
0xfffffff007f52370: eb2304a9  stp	x11, x8, [sp, #0x40]
0xfffffff007f52374: e2030291  add	x2, sp, #0x80
0xfffffff007f52378: e4e30191  add	x4, sp, #0x78
0xfffffff007f5237c: e00316aa  mov	x0, x22
0xfffffff007f52380: e10313aa  mov	x1, x19
0xfffffff007f52384: 03008052  mov	w3, #0
0xfffffff007f52388: 48f9ff97  bl	#0xfffffff007f508a8
0xfffffff007f5238c: fb0300aa  mov	x27, x0
0xfffffff007f52390: f94340f9  ldr	x25, [sp, #0x80]
0xfffffff007f52394: a0000034  cbz	w0, #0xfffffff007f523a8
0xfffffff007f52398: 391100b5  cbnz	x25, #0xfffffff007f525bc
0xfffffff007f5239c: 8d000014  b	#0xfffffff007f525d0
0xfffffff007f523a0: 1b008052  mov	w27, #0
0xfffffff007f523a4: 8b000014  b	#0xfffffff007f525d0
0xfffffff007f523a8: 401701f0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f523ac: 00403a91  add	x0, x0, #0xe90
0xfffffff007f523b0: d66df997  bl	#0xfffffff007dadb08
0xfffffff007f523b4: 200b40b9  ldr	w0, [x25, #8]
0xfffffff007f523b8: 01038052  mov	w1, #0x18
0xfffffff007f523bc: a2679852  mov	w2, #0xc33d
0xfffffff007f523c0: 0cfaff97  bl	#0xfffffff007f50bf0
0xfffffff007f523c4: f92b00f9  str	x25, [sp, #0x50]
0xfffffff007f523c8: a00b00b4  cbz	x0, #0xfffffff007f5253c
0xfffffff007f523cc: f00300aa  mov	x16, x0
0xfffffff007f523d0: f033c1da  autiza	x16
0xfffffff007f523d4: f10310aa  mov	x17, x16
0xfffffff007f523d8: f143c1da  xpaci	x17
0xfffffff007f523dc: 1f0211eb  cmp	x16, x17
0xfffffff007f523e0: 40000054  b.eq	#0xfffffff007f523e8
0xfffffff007f523e4: 008e38d4  brk	#0xc470
0xfffffff007f523e8: b16798d2  mov	x17, #0xc33d
0xfffffff007f523ec: 3002c1da  pacia	x16, x17
0xfffffff007f523f0: 700a00b4  cbz	x16, #0xfffffff007f5253c
0xfffffff007f523f4: 581701f0  adrp	x24, #0xfffffff00a23d000
0xfffffff007f523f8: 18433a91  add	x24, x24, #0xe90
0xfffffff007f523fc: e00318aa  mov	x0, x24
0xfffffff007f52400: 8a70f997  bl	#0xfffffff007dae628
0xfffffff007f52404: 1f040071  cmp	w0, #1
0xfffffff007f52408: e1270054  b.ne	#0xfffffff007f52904
0xfffffff007f5240c: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff007f52410: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff007f52414: e8a70aa9  stp	x8, x9, [sp, #0xa8]
0xfffffff007f52418: 401701f0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f5241c: 00403a91  add	x0, x0, #0xe90
0xfffffff007f52420: ba6df997  bl	#0xfffffff007dadb08
0xfffffff007f52424: 200b40b9  ldr	w0, [x25, #8]
