; Candidate 12671
; ADRP+ADD at VM 0xfffffff0091172f8 (fileoff 0x21132f8): page=0x11fd000 add_imm=0xcf8

0xfffffff009117278: cbb20094  bl	#0xfffffff009143da4
0xfffffff00911727c: b7b20094  bl	#0xfffffff009143d58
0xfffffff009117280: a3b20094  bl	#0xfffffff009143d0c
0xfffffff009117284: 8fb20094  bl	#0xfffffff009143cc0
0xfffffff009117288: 5f2403d5  bti	c
0xfffffff00911728c: 086040f9  ldr	x8, [x0, #0xc0]
0xfffffff009117290: 1f0100f1  cmp	x8, #0
0xfffffff009117294: e0079f1a  cset	w0, ne
0xfffffff009117298: c0035fd6  ret	
0xfffffff00911729c: 7f2303d5  pacibsp	
0xfffffff0091172a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091172a4: fd030091  mov	x29, sp
0xfffffff0091172a8: 086040f9  ldr	x8, [x0, #0xc0]
0xfffffff0091172ac: 880000b4  cbz	x8, #0xfffffff0091172bc
0xfffffff0091172b0: 006840f9  ldr	x0, [x0, #0xd0]
0xfffffff0091172b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091172b8: ff0f5fd6  retab	
0xfffffff0091172bc: e0b20094  bl	#0xfffffff009143e3c
0xfffffff0091172c0: 7f2303d5  pacibsp	
0xfffffff0091172c4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091172c8: fd030091  mov	x29, sp
0xfffffff0091172cc: 086440f9  ldr	x8, [x0, #0xc8]
0xfffffff0091172d0: 880000b4  cbz	x8, #0xfffffff0091172e0
0xfffffff0091172d4: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff0091172d8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091172dc: ff0f5fd6  retab	
0xfffffff0091172e0: eab20094  bl	#0xfffffff009143e88
0xfffffff0091172e4: 5f2403d5  bti	c
0xfffffff0091172e8: 0335c717  b	#0xfffffff0082e46f4
0xfffffff0091172ec: 7f2303d5  pacibsp	
0xfffffff0091172f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091172f4: fd030091  mov	x29, sp
0xfffffff0091172f8: e08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff0091172fc: 00e03391  add	x0, x0, #0xcf8
0xfffffff009117300: e11affd0  adrp	x1, #0xfffffff007475000
0xfffffff009117304: 21343091  add	x1, x1, #0xc0d
0xfffffff009117308: e251ff90  adrp	x2, #0xfffffff007b53000
0xfffffff00911730c: 42a844f9  ldr	x2, [x2, #0x950]
0xfffffff009117310: 031d8052  mov	w3, #0xe8
0xfffffff009117314: 0932c797  bl	#0xfffffff0082e3b38
0xfffffff009117318: f051fff0  adrp	x16, #0xfffffff007b56000
0xfffffff00911731c: 10a23a91  add	x16, x16, #0xea8
0xfffffff009117320: 10420091  add	x16, x16, #0x10
0xfffffff009117324: f10300aa  mov	x17, x0
0xfffffff009117328: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911732c: 300ac1da  pacda	x16, x17
0xfffffff009117330: 100000f9  str	x16, [x0]
0xfffffff009117334: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009117338: ff0f5fd6  retab	
0xfffffff00911733c: 5f2403d5  bti	c
0xfffffff009117340: e08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff009117344: 00e03391  add	x0, x0, #0xcf8
0xfffffff009117348: eb34c717  b	#0xfffffff0082e46f4
0xfffffff00911734c: 7f2303d5  pacibsp	
0xfffffff009117350: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009117354: fd030091  mov	x29, sp
0xfffffff009117358: e11afff0  adrp	x1, #0xfffffff007476000
0xfffffff00911735c: 21741491  add	x1, x1, #0x51d
0xfffffff009117360: e251ff90  adrp	x2, #0xfffffff007b53000
0xfffffff009117364: 429844f9  ldr	x2, [x2, #0x930]
0xfffffff009117368: 031c8052  mov	w3, #0xe0
0xfffffff00911736c: f331c797  bl	#0xfffffff0082e3b38
0xfffffff009117370: 1052ff90  adrp	x16, #0xfffffff007b57000
0xfffffff009117374: 10a21491  add	x16, x16, #0x528
