; Candidate 15351
; ADRP+ADD at VM 0xfffffff009b53a50 (fileoff 0x2b4fa50): page=0x1fdad5000 add_imm=0xed0

0xfffffff009b539d0: 40000054  b.eq	#0xfffffff009b539d8
0xfffffff009b539d4: 408e38d4  brk	#0xc472
0xfffffff009b539d8: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b539dc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b539e0: e00313aa  mov	x0, x19
0xfffffff009b539e4: 010080d2  mov	x1, #0
0xfffffff009b539e8: f10308aa  mov	x17, x8
0xfffffff009b539ec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b539f0: 31093fd7  blraa	x9, x17
0xfffffff009b539f4: f60300aa  mov	x22, x0
0xfffffff009b539f8: 700240f9  ldr	x16, [x19]
0xfffffff009b539fc: f10313aa  mov	x17, x19
0xfffffff009b53a00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53a04: 301ac1da  autda	x16, x17
0xfffffff009b53a08: f10310aa  mov	x17, x16
0xfffffff009b53a0c: f147c1da  xpacd	x17
0xfffffff009b53a10: 1f0211eb  cmp	x16, x17
0xfffffff009b53a14: 40000054  b.eq	#0xfffffff009b53a1c
0xfffffff009b53a18: 408e38d4  brk	#0xc472
0xfffffff009b53a1c: 08620891  add	x8, x16, #0x218
0xfffffff009b53a20: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b53a24: e00313aa  mov	x0, x19
0xfffffff009b53a28: 010080d2  mov	x1, #0
0xfffffff009b53a2c: f10308aa  mov	x17, x8
0xfffffff009b53a30: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b53a34: 31093fd7  blraa	x9, x17
0xfffffff009b53a38: a8d6fef0  adrp	x8, #0xfffffff00762a000
0xfffffff009b53a3c: 08252291  add	x8, x8, #0x889
0xfffffff009b53a40: a9d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b53a44: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b53a48: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b53a4c: f60300a9  stp	x22, x0, [sp]
0xfffffff009b53a50: a0d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b53a54: 00403b91  add	x0, x0, #0xed0
0xfffffff009b53a58: c3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b53a5c: 63281a91  add	x3, x3, #0x68a
0xfffffff009b53a60: e10315aa  mov	x1, x21
0xfffffff009b53a64: e20314aa  mov	x2, x20
0xfffffff009b53a68: b27d9f97  bl	#0xfffffff008333130
0xfffffff009b53a6c: 28008052  mov	w8, #1
0xfffffff009b53a70: 68aa0d39  strb	w8, [x19, #0x36a]
0xfffffff009b53a74: 700240f9  ldr	x16, [x19]
0xfffffff009b53a78: f10313aa  mov	x17, x19
0xfffffff009b53a7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53a80: 301ac1da  autda	x16, x17
0xfffffff009b53a84: 11cd80d2  mov	x17, #0x668
0xfffffff009b53a88: 1002118b  add	x16, x16, x17
0xfffffff009b53a8c: 080240f9  ldr	x8, [x16]
0xfffffff009b53a90: e90310aa  mov	x9, x16
0xfffffff009b53a94: e00313aa  mov	x0, x19
0xfffffff009b53a98: f10309aa  mov	x17, x9
0xfffffff009b53a9c: 11c1f3f2  movk	x17, #0x9e08, lsl #48
0xfffffff009b53aa0: 11093fd7  blraa	x8, x17
0xfffffff009b53aa4: 40068052  mov	w0, #0x32
0xfffffff009b53aa8: 500da097  bl	#0xfffffff008356fe8
0xfffffff009b53aac: 700240f9  ldr	x16, [x19]
0xfffffff009b53ab0: f10313aa  mov	x17, x19
0xfffffff009b53ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53ab8: 301ac1da  autda	x16, x17
0xfffffff009b53abc: f10310aa  mov	x17, x16
0xfffffff009b53ac0: f147c1da  xpacd	x17
0xfffffff009b53ac4: 1f0211eb  cmp	x16, x17
0xfffffff009b53ac8: 40000054  b.eq	#0xfffffff009b53ad0
0xfffffff009b53acc: 408e38d4  brk	#0xc472
