; Candidate 14361
; ADRP+ADD at VM 0xfffffff00976b450 (fileoff 0x2767450): page=0xc20000 add_imm=0xea8

0xfffffff00976b3d0: c00100b5  cbnz	x0, #0xfffffff00976b408
0xfffffff00976b3d4: b00240f9  ldr	x16, [x21]
0xfffffff00976b3d8: f10315aa  mov	x17, x21
0xfffffff00976b3dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976b3e0: 301ac1da  autda	x16, x17
0xfffffff00976b3e4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976b3e8: 1002118b  add	x16, x16, x17
0xfffffff00976b3ec: 080240f9  ldr	x8, [x16]
0xfffffff00976b3f0: e90310aa  mov	x9, x16
0xfffffff00976b3f4: e00315aa  mov	x0, x21
0xfffffff00976b3f8: 010080d2  mov	x1, #0
0xfffffff00976b3fc: f10309aa  mov	x17, x9
0xfffffff00976b400: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976b404: 11093fd7  blraa	x8, x17
0xfffffff00976b408: e00315aa  mov	x0, x21
0xfffffff00976b40c: 94f5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976b410: e00315aa  mov	x0, x21
0xfffffff00976b414: 92f5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976b418: c00100b5  cbnz	x0, #0xfffffff00976b450
0xfffffff00976b41c: b00240f9  ldr	x16, [x21]
0xfffffff00976b420: f10315aa  mov	x17, x21
0xfffffff00976b424: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976b428: 301ac1da  autda	x16, x17
0xfffffff00976b42c: 114380d2  mov	x17, #0x218
0xfffffff00976b430: 1002118b  add	x16, x16, x17
0xfffffff00976b434: 080240f9  ldr	x8, [x16]
0xfffffff00976b438: e90310aa  mov	x9, x16
0xfffffff00976b43c: e00315aa  mov	x0, x21
0xfffffff00976b440: 010080d2  mov	x1, #0
0xfffffff00976b444: f10309aa  mov	x17, x9
0xfffffff00976b448: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976b44c: 11093fd7  blraa	x8, x17
0xfffffff00976b450: 00610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976b454: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976b458: 40e5ad97  bl	#0xfffffff0082e4958
0xfffffff00976b45c: f60300aa  mov	x22, x0
0xfffffff00976b460: e00315aa  mov	x0, x21
0xfffffff00976b464: 7ef5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976b468: f70300aa  mov	x23, x0
0xfffffff00976b46c: e00100b5  cbnz	x0, #0xfffffff00976b4a8
0xfffffff00976b470: b00240f9  ldr	x16, [x21]
0xfffffff00976b474: f10315aa  mov	x17, x21
0xfffffff00976b478: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976b47c: 301ac1da  autda	x16, x17
0xfffffff00976b480: 113d80d2  mov	x17, #0x1e8
0xfffffff00976b484: 1002118b  add	x16, x16, x17
0xfffffff00976b488: 080240f9  ldr	x8, [x16]
0xfffffff00976b48c: e90310aa  mov	x9, x16
0xfffffff00976b490: e00315aa  mov	x0, x21
0xfffffff00976b494: 010080d2  mov	x1, #0
0xfffffff00976b498: f10309aa  mov	x17, x9
0xfffffff00976b49c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976b4a0: 11093fd7  blraa	x8, x17
0xfffffff00976b4a4: f70300aa  mov	x23, x0
0xfffffff00976b4a8: e00315aa  mov	x0, x21
0xfffffff00976b4ac: 6cf5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976b4b0: f80300aa  mov	x24, x0
0xfffffff00976b4b4: e00315aa  mov	x0, x21
0xfffffff00976b4b8: 69f5fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976b4bc: e80300aa  mov	x8, x0
0xfffffff00976b4c0: 19f1fed0  adrp	x25, #0xfffffff00758d000
0xfffffff00976b4c4: 39c73491  add	x25, x25, #0xd31
0xfffffff00976b4c8: e00319aa  mov	x0, x25
0xfffffff00976b4cc: c80100b5  cbnz	x8, #0xfffffff00976b504
