; Candidate 6484
; ADRP+ADD at VM 0xfffffff00882e610 (fileoff 0x182a610): page=0x1fe9bb000 add_imm=0xe80

0xfffffff00882e590: 90340194  bl	#0xfffffff00887b7d0
0xfffffff00882e594: e0040034  cbz	w0, #0xfffffff00882e630
0xfffffff00882e598: 400f8052  mov	w0, #0x7a
0xfffffff00882e59c: 9f340194  bl	#0xfffffff00887b818
0xfffffff00882e5a0: f60300aa  mov	x22, x0
0xfffffff00882e5a4: 02170294  bl	#0xfffffff0088b41ac
0xfffffff00882e5a8: f50300aa  mov	x21, x0
0xfffffff00882e5ac: 00018052  mov	w0, #8
0xfffffff00882e5b0: a8340194  bl	#0xfffffff00887b850
0xfffffff00882e5b4: 96010034  cbz	w22, #0xfffffff00882e5e4
0xfffffff00882e5b8: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff00882e5bc: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff00882e5c0: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882e5c4: 08e11791  add	x8, x8, #0x5f8
0xfffffff00882e5c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882e5cc: 480f8052  mov	w8, #0x7a
0xfffffff00882e5d0: f52300a9  stp	x21, x8, [sp]
0xfffffff00882e5d4: 204fffb0  adrp	x0, #0xfffffff007213000
0xfffffff00882e5d8: 00b83491  add	x0, x0, #0xd2e
0xfffffff00882e5dc: a123d697  bl	#0xfffffff007db7460
0xfffffff00882e5e0: 14000014  b	#0xfffffff00882e630
0xfffffff00882e5e4: f2160294  bl	#0xfffffff0088b41ac
0xfffffff00882e5e8: f50300aa  mov	x21, x0
0xfffffff00882e5ec: 00018052  mov	w0, #8
0xfffffff00882e5f0: 98340194  bl	#0xfffffff00887b850
0xfffffff00882e5f4: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff00882e5f8: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff00882e5fc: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882e600: 08e11791  add	x8, x8, #0x5f8
0xfffffff00882e604: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882e608: 480f8052  mov	w8, #0x7a
0xfffffff00882e60c: f52300a9  stp	x21, x8, [sp]
0xfffffff00882e610: c04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882e614: 00003a91  add	x0, x0, #0xe80
0xfffffff00882e618: c18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882e61c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882e620: e350ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882e624: 63482991  add	x3, x3, #0xa52
0xfffffff00882e628: 02008052  mov	w2, #0
0xfffffff00882e62c: c112ec97  bl	#0xfffffff008333130
0xfffffff00882e630: e00314aa  mov	x0, x20
0xfffffff00882e634: 55060094  bl	#0xfffffff00882ff88
0xfffffff00882e638: f50300aa  mov	x21, x0
0xfffffff00882e63c: e00314aa  mov	x0, x20
0xfffffff00882e640: 67060094  bl	#0xfffffff00882ffdc
0xfffffff00882e644: bf0200eb  cmp	x21, x0
0xfffffff00882e648: 40360054  b.eq	#0xfffffff00882ed10
0xfffffff00882e64c: f9030291  add	x25, sp, #0x80
0xfffffff00882e650: 13188052  mov	w19, #0xc0
0xfffffff00882e654: 18499752  mov	w24, #0xba48
0xfffffff00882e658: 7800a072  movk	w24, #3, lsl #16
0xfffffff00882e65c: 084f9d52  mov	w8, #0xea78
0xfffffff00882e660: c801a072  movk	w8, #0xe, lsl #16
0xfffffff00882e664: bb02088b  add	x27, x21, x8
0xfffffff00882e668: f6031baa  mov	x22, x27
0xfffffff00882e66c: c88e41b8  ldr	w8, [x22, #0x18]!
0xfffffff00882e670: 28340034  cbz	w8, #0xfffffff00882ecf4
0xfffffff00882e674: 7cf30091  add	x28, x27, #0x3c
0xfffffff00882e678: e1030291  add	x1, sp, #0x80
0xfffffff00882e67c: e0031caa  mov	x0, x28
0xfffffff00882e680: 02188052  mov	w2, #0xc0
0xfffffff00882e684: 20ab0194  bl	#0xfffffff008899304
0xfffffff00882e688: fa0300aa  mov	x26, x0
0xfffffff00882e68c: 20c3208b  add	x0, x25, w0, sxtw
