; Candidate 1106
; ADRP+ADD at VM 0xfffffff0081f8b90 (fileoff 0x11f4b90): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f8b10: 11dfebf2  movk	x17, #0x5ef8, lsl #48
0xfffffff0081f8b14: 301ac1da  autda	x16, x17
0xfffffff0081f8b18: f10310aa  mov	x17, x16
0xfffffff0081f8b1c: f147c1da  xpacd	x17
0xfffffff0081f8b20: 1f0211eb  cmp	x16, x17
0xfffffff0081f8b24: 40000054  b.eq	#0xfffffff0081f8b2c
0xfffffff0081f8b28: 408e38d4  brk	#0xc472
0xfffffff0081f8b2c: e00310aa  mov	x0, x16
0xfffffff0081f8b30: 23000014  b	#0xfffffff0081f8bbc
0xfffffff0081f8b34: 600640a9  ldp	x0, x1, [x19]
0xfffffff0081f8b38: b3650a94  bl	#0xfffffff008492204
0xfffffff0081f8b3c: f30300aa  mov	x19, x0
0xfffffff0081f8b40: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8b44: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8b48: 08050011  add	w8, w8, #1
0xfffffff0081f8b4c: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f8b50: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8b54: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8b58: 0920a052  mov	w9, #0x1000000
0xfffffff0081f8b5c: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f8b60: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8b64: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8b68: c1050054  b.ne	#0xfffffff0081f8c20
0xfffffff0081f8b6c: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f8b70: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8b74: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8b78: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f8b7c: 134d1b39  strb	w19, [x8, #0x6d3]
0xfffffff0081f8b80: 93000034  cbz	w19, #0xfffffff0081f8b90
0xfffffff0081f8b84: e00001d0  adrp	x0, #0xfffffff00a216000
0xfffffff0081f8b88: 00602b91  add	x0, x0, #0xad8
0xfffffff0081f8b8c: 7b1a0094  bl	#0xfffffff0081ff578
0xfffffff0081f8b90: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8b94: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8b98: 57daee97  bl	#0xfffffff007daf4f4
0xfffffff0081f8b9c: 00008052  mov	w0, #0
0xfffffff0081f8ba0: 02000014  b	#0xfffffff0081f8ba8
0xfffffff0081f8ba4: 00008012  mov	w0, #-1
0xfffffff0081f8ba8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0081f8bac: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0081f8bb0: ff830191  add	sp, sp, #0x60
0xfffffff0081f8bb4: ff0f5fd6  retab	
0xfffffff0081f8bb8: 000080d2  mov	x0, #0
0xfffffff0081f8bbc: b4835ef8  ldur	x20, [x29, #-0x18]
0xfffffff0081f8bc0: e51340f9  ldr	x5, [sp, #0x20]
0xfffffff0081f8bc4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0081f8bc8: ff1b00b9  str	wzr, [sp, #0x18]
0xfffffff0081f8bcc: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff0081f8bd0: ff0b00b9  str	wzr, [sp, #8]
0xfffffff0081f8bd4: e80300b2  mov	x8, #0x100000001
0xfffffff0081f8bd8: e80300f9  str	x8, [sp]
0xfffffff0081f8bdc: e1a30091  add	x1, sp, #0x28
0xfffffff0081f8be0: e20314aa  mov	x2, x20
0xfffffff0081f8be4: 030080d2  mov	x3, #0
0xfffffff0081f8be8: 040080d2  mov	x4, #0
0xfffffff0081f8bec: 060080d2  mov	x6, #0
0xfffffff0081f8bf0: 07008052  mov	w7, #0
0xfffffff0081f8bf4: 9338f197  bl	#0xfffffff007e46e40
0xfffffff0081f8bf8: e80300aa  mov	x8, x0
0xfffffff0081f8bfc: 00008052  mov	w0, #0
0xfffffff0081f8c00: 48fdff35  cbnz	w8, #0xfffffff0081f8ba8
0xfffffff0081f8c04: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0081f8c08: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0081f8c0c: e1a30091  add	x1, sp, #0x28
