; Candidate 13894
; ADRP+ADD at VM 0xfffffff0095ff920 (fileoff 0x25fb920): page=0x1fdf68000 add_imm=0xd01

0xfffffff0095ff8a0: 1f010071  cmp	w8, #0
0xfffffff0095ff8a4: e0179f1a  cset	w0, eq
0xfffffff0095ff8a8: c0035fd6  ret	
0xfffffff0095ff8ac: 7f2303d5  pacibsp	
0xfffffff0095ff8b0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0095ff8b4: fd030091  mov	x29, sp
0xfffffff0095ff8b8: 810000b4  cbz	x1, #0xfffffff0095ff8c8
0xfffffff0095ff8bc: 014000f9  str	x1, [x0, #0x80]
0xfffffff0095ff8c0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0095ff8c4: ff0f5fd6  retab	
0xfffffff0095ff8c8: b32b0094  bl	#0xfffffff00960a794
0xfffffff0095ff8cc: 5f2403d5  bti	c
0xfffffff0095ff8d0: c0035fd6  ret	
0xfffffff0095ff8d4: 5f2403d5  bti	c
0xfffffff0095ff8d8: 002440f9  ldr	x0, [x0, #0x48]
0xfffffff0095ff8dc: c0035fd6  ret	
0xfffffff0095ff8e0: 5f2403d5  bti	c
0xfffffff0095ff8e4: 002840f9  ldr	x0, [x0, #0x50]
0xfffffff0095ff8e8: c0035fd6  ret	
0xfffffff0095ff8ec: 5f2403d5  bti	c
0xfffffff0095ff8f0: 002c40f9  ldr	x0, [x0, #0x58]
0xfffffff0095ff8f4: c0035fd6  ret	
0xfffffff0095ff8f8: 5f2403d5  bti	c
0xfffffff0095ff8fc: 003040f9  ldr	x0, [x0, #0x60]
0xfffffff0095ff900: c0035fd6  ret	
0xfffffff0095ff904: 5f2403d5  bti	c
0xfffffff0095ff908: 003440f9  ldr	x0, [x0, #0x68]
0xfffffff0095ff90c: c0035fd6  ret	
0xfffffff0095ff910: 5f2403d5  bti	c
0xfffffff0095ff914: 004040f9  ldr	x0, [x0, #0x80]
0xfffffff0095ff918: c0035fd6  ret	
0xfffffff0095ff91c: 5f2403d5  bti	c
0xfffffff0095ff920: 40fbfe90  adrp	x0, #0xfffffff007567000
0xfffffff0095ff924: 00043491  add	x0, x0, #0xd01
0xfffffff0095ff928: c0035fd6  ret	
0xfffffff0095ff92c: 5f2403d5  bti	c
0xfffffff0095ff930: c0035fd6  ret	
0xfffffff0095ff934: 5f2403d5  bti	c
0xfffffff0095ff938: 6388b417  b	#0xfffffff008321ac4
0xfffffff0095ff93c: 7f2303d5  pacibsp	
0xfffffff0095ff940: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0095ff944: fd030091  mov	x29, sp
0xfffffff0095ff948: 41fbfe90  adrp	x1, #0xfffffff007567000
0xfffffff0095ff94c: 21383491  add	x1, x1, #0xd0e
0xfffffff0095ff950: 622ffff0  adrp	x2, #0xfffffff007bee000
0xfffffff0095ff954: 422045f9  ldr	x2, [x2, #0xa40]
0xfffffff0095ff958: 030b8052  mov	w3, #0x58
0xfffffff0095ff95c: 7790b397  bl	#0xfffffff0082e3b38
0xfffffff0095ff960: d02fffd0  adrp	x16, #0xfffffff007bf9000
0xfffffff0095ff964: 10623091  add	x16, x16, #0xc18
0xfffffff0095ff968: 10420091  add	x16, x16, #0x10
0xfffffff0095ff96c: f10300aa  mov	x17, x0
0xfffffff0095ff970: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095ff974: 300ac1da  pacda	x16, x17
0xfffffff0095ff978: 100000f9  str	x16, [x0]
0xfffffff0095ff97c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0095ff980: ff0f5fd6  retab	
0xfffffff0095ff984: 5f2403d5  bti	c
0xfffffff0095ff988: 5b93b317  b	#0xfffffff0082e46f4
0xfffffff0095ff98c: 7f2303d5  pacibsp	
0xfffffff0095ff990: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0095ff994: fd030091  mov	x29, sp
0xfffffff0095ff998: 759fb397  bl	#0xfffffff0082e776c
0xfffffff0095ff99c: d02fffd0  adrp	x16, #0xfffffff007bf9000
