; Candidate 13712
; ADRP+ADD at VM 0xfffffff0093e5314 (fileoff 0x23e1314): page=0x1fe7ee000 add_imm=0xdb8

0xfffffff0093e5294: dcfeff17  b	#0xfffffff0093e4e04
0xfffffff0093e5298: 7f2303d5  pacibsp	
0xfffffff0093e529c: ff0301d1  sub	sp, sp, #0x40
0xfffffff0093e52a0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0093e52a4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0093e52a8: fdc30091  add	x29, sp, #0x30
0xfffffff0093e52ac: f30300aa  mov	x19, x0
0xfffffff0093e52b0: 683fffd0  adrp	x8, #0xfffffff007bd3000
0xfffffff0093e52b4: 080144f9  ldr	x8, [x8, #0x800]
0xfffffff0093e52b8: 080140f9  ldr	x8, [x8]
0xfffffff0093e52bc: e80f00f9  str	x8, [sp, #0x18]
0xfffffff0093e52c0: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0093e52c4: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff0093e52c8: 00a00191  add	x0, x0, #0x68
0xfffffff0093e52cc: e1230091  add	x1, sp, #8
0xfffffff0093e52d0: 51fbff97  bl	#0xfffffff0093e4014
0xfffffff0093e52d4: c0040035  cbnz	w0, #0xfffffff0093e536c
0xfffffff0093e52d8: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e52dc: 00203691  add	x0, x0, #0xd88
0xfffffff0093e52e0: e1230091  add	x1, sp, #8
0xfffffff0093e52e4: c1f3ff97  bl	#0xfffffff0093e21e8
0xfffffff0093e52e8: e0020034  cbz	w0, #0xfffffff0093e5344
0xfffffff0093e52ec: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e52f0: 00603691  add	x0, x0, #0xd98
0xfffffff0093e52f4: e1230091  add	x1, sp, #8
0xfffffff0093e52f8: bcf3ff97  bl	#0xfffffff0093e21e8
0xfffffff0093e52fc: 80020034  cbz	w0, #0xfffffff0093e534c
0xfffffff0093e5300: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e5304: 00a03691  add	x0, x0, #0xda8
0xfffffff0093e5308: e1230091  add	x1, sp, #8
0xfffffff0093e530c: cbf3ff97  bl	#0xfffffff0093e2238
0xfffffff0093e5310: 20020034  cbz	w0, #0xfffffff0093e5354
0xfffffff0093e5314: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e5318: 00e03691  add	x0, x0, #0xdb8
0xfffffff0093e531c: e1230091  add	x1, sp, #8
0xfffffff0093e5320: c6f3ff97  bl	#0xfffffff0093e2238
0xfffffff0093e5324: c0010034  cbz	w0, #0xfffffff0093e535c
0xfffffff0093e5328: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e532c: 00203791  add	x0, x0, #0xdc8
0xfffffff0093e5330: e1230091  add	x1, sp, #8
0xfffffff0093e5334: c1f3ff97  bl	#0xfffffff0093e2238
0xfffffff0093e5338: a0010035  cbnz	w0, #0xfffffff0093e536c
0xfffffff0093e533c: 0802c0d2  mov	x8, #0x1000000000
0xfffffff0093e5340: 08000014  b	#0xfffffff0093e5360
0xfffffff0093e5344: 08e08152  mov	w8, #0xf00
0xfffffff0093e5348: 06000014  b	#0xfffffff0093e5360
0xfffffff0093e534c: 08018052  mov	w8, #8
0xfffffff0093e5350: 04000014  b	#0xfffffff0093e5360
0xfffffff0093e5354: 8800c0d2  mov	x8, #0x400000000
0xfffffff0093e5358: 02000014  b	#0xfffffff0093e5360
0xfffffff0093e535c: 0801c0d2  mov	x8, #0x800000000
0xfffffff0093e5360: 697a40f9  ldr	x9, [x19, #0xf0]
0xfffffff0093e5364: 280108aa  orr	x8, x9, x8
0xfffffff0093e5368: 687a00f9  str	x8, [x19, #0xf0]
0xfffffff0093e536c: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff0093e5370: 693fffd0  adrp	x9, #0xfffffff007bd3000
0xfffffff0093e5374: 290144f9  ldr	x9, [x9, #0x800]
0xfffffff0093e5378: 290140f9  ldr	x9, [x9]
0xfffffff0093e537c: 3f0108eb  cmp	x9, x8
0xfffffff0093e5380: a1000054  b.ne	#0xfffffff0093e5394
0xfffffff0093e5384: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0093e5388: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0093e538c: ff030191  add	sp, sp, #0x40
0xfffffff0093e5390: ff0f5fd6  retab	
