; Candidate 7442
; ADRP+ADD at VM 0xfffffff00886db4c (fileoff 0x1869b4c): page=0x1fe97c000 add_imm=0xe80

0xfffffff00886dacc: ec3705a9  stp	x12, x13, [sp, #0x50]
0xfffffff00886dad0: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff00886dad4: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff00886dad8: f34302a9  stp	x19, x16, [sp, #0x20]
0xfffffff00886dadc: e8c30191  add	x8, sp, #0x70
0xfffffff00886dae0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886dae4: e80314aa  mov	x8, x20
0xfffffff00886dae8: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886daec: 63680e91  add	x3, x3, #0x39a
0xfffffff00886daf0: f72300a9  stp	x23, x8, [sp]
0xfffffff00886daf4: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886daf8: 00003a91  add	x0, x0, #0xe80
0xfffffff00886dafc: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886db00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886db04: 02008052  mov	w2, #0
0xfffffff00886db08: 8a15eb97  bl	#0xfffffff008333130
0xfffffff00886db0c: 16000014  b	#0xfffffff00886db64
0xfffffff00886db10: 681e40f9  ldr	x8, [x19, #0x38]
0xfffffff00886db14: 69aa45a9  ldp	x9, x10, [x19, #0x58]
0xfffffff00886db18: 6bb246a9  ldp	x11, x12, [x19, #0x68]
0xfffffff00886db1c: 6dba47a9  ldp	x13, x14, [x19, #0x78]
0xfffffff00886db20: 6f4640f9  ldr	x15, [x19, #0x88]
0xfffffff00886db24: 704240b9  ldr	w16, [x19, #0x40]
0xfffffff00886db28: eebf04a9  stp	x14, x15, [sp, #0x48]
0xfffffff00886db2c: ecb703a9  stp	x12, x13, [sp, #0x38]
0xfffffff00886db30: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff00886db34: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886db38: f3c300a9  stp	x19, x16, [sp, #8]
0xfffffff00886db3c: e8c30191  add	x8, sp, #0x70
0xfffffff00886db40: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886db44: 63d00c91  add	x3, x3, #0x334
0xfffffff00886db48: e80300f9  str	x8, [sp]
0xfffffff00886db4c: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886db50: 00003a91  add	x0, x0, #0xe80
0xfffffff00886db54: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886db58: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886db5c: 02008052  mov	w2, #0
0xfffffff00886db60: 7415eb97  bl	#0xfffffff008333130
0xfffffff00886db64: e00314aa  mov	x0, x20
0xfffffff00886db68: e10315aa  mov	x1, x21
0xfffffff00886db6c: 19370094  bl	#0xfffffff00887b7d0
0xfffffff00886db70: e00a0034  cbz	w0, #0xfffffff00886dccc
0xfffffff00886db74: e00314aa  mov	x0, x20
0xfffffff00886db78: 28370094  bl	#0xfffffff00887b818
0xfffffff00886db7c: 1603f837  tbnz	w22, #0x1f, #0xfffffff00886dbdc
0xfffffff00886db80: d8021b12  and	w24, w22, #0x20
0xfffffff00886db84: 19000052  eor	w25, w0, #1
0xfffffff00886db88: 89190194  bl	#0xfffffff0088b41ac
0xfffffff00886db8c: f70300aa  mov	x23, x0
0xfffffff00886db90: e00315aa  mov	x0, x21
0xfffffff00886db94: 2f370094  bl	#0xfffffff00887b850
0xfffffff00886db98: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff00886db9c: 28040037  tbnz	w8, #0, #0xfffffff00886dc20
0xfffffff00886dba0: 6026c03d  ldr	q0, [x19, #0x90]
0xfffffff00886dba4: 68a64aa9  ldp	x8, x9, [x19, #0xa8]
0xfffffff00886dba8: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff00886dbac: 6bba40b9  ldr	w11, [x19, #0xb8]
0xfffffff00886dbb0: e9af04a9  stp	x9, x11, [sp, #0x48]
0xfffffff00886dbb4: e82300f9  str	x8, [sp, #0x40]
0xfffffff00886dbb8: e00f803d  str	q0, [sp, #0x30]
0xfffffff00886dbbc: f32b02a9  stp	x19, x10, [sp, #0x20]
0xfffffff00886dbc0: e8c30191  add	x8, sp, #0x70
0xfffffff00886dbc4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886dbc8: e80314aa  mov	x8, x20
