; Candidate 12163
; ADRP+ADD at VM 0xfffffff00902a464 (fileoff 0x2026464): page=0x1fe416000 add_imm=0xd67

0xfffffff00902a3e4: 4020fff0  adrp	x0, #0xfffffff007435000
0xfffffff00902a3e8: 00901e91  add	x0, x0, #0x7a4
0xfffffff00902a3ec: 48a8d197  bl	#0xfffffff00849450c
0xfffffff00902a3f0: 7f2303d5  pacibsp	
0xfffffff00902a3f4: ff0301d1  sub	sp, sp, #0x40
0xfffffff00902a3f8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00902a3fc: fdc30091  add	x29, sp, #0x30
0xfffffff00902a400: 080c4039  ldrb	w8, [x0, #3]
0xfffffff00902a404: 29088052  mov	w9, #0x41
0xfffffff00902a408: aa20ffd0  adrp	x10, #0xfffffff007440000
0xfffffff00902a40c: 4ad53891  add	x10, x10, #0xe35
0xfffffff00902a410: ab20ffd0  adrp	x11, #0xfffffff007440000
0xfffffff00902a414: 6bf93691  add	x11, x11, #0xdbe
0xfffffff00902a418: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00902a41c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00902a420: eb0300f9  str	x11, [sp]
0xfffffff00902a424: a020ffd0  adrp	x0, #0xfffffff007440000
0xfffffff00902a428: 009c3591  add	x0, x0, #0xd67
0xfffffff00902a42c: 38a8d197  bl	#0xfffffff00849450c
0xfffffff00902a430: 7f2303d5  pacibsp	
0xfffffff00902a434: ff0301d1  sub	sp, sp, #0x40
0xfffffff00902a438: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00902a43c: fdc30091  add	x29, sp, #0x30
0xfffffff00902a440: 080c4039  ldrb	w8, [x0, #3]
0xfffffff00902a444: 89098052  mov	w9, #0x4c
0xfffffff00902a448: aa20ffd0  adrp	x10, #0xfffffff007440000
0xfffffff00902a44c: 4ad53891  add	x10, x10, #0xe35
0xfffffff00902a450: ab20ffd0  adrp	x11, #0xfffffff007440000
0xfffffff00902a454: 6b493991  add	x11, x11, #0xe52
0xfffffff00902a458: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00902a45c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00902a460: eb0300f9  str	x11, [sp]
0xfffffff00902a464: a020ffd0  adrp	x0, #0xfffffff007440000
0xfffffff00902a468: 009c3591  add	x0, x0, #0xd67
0xfffffff00902a46c: 28a8d197  bl	#0xfffffff00849450c
0xfffffff00902a470: 7f2303d5  pacibsp	
0xfffffff00902a474: ff0301d1  sub	sp, sp, #0x40
0xfffffff00902a478: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00902a47c: fdc30091  add	x29, sp, #0x30
0xfffffff00902a480: 08004039  ldrb	w8, [x0]
0xfffffff00902a484: 090c8052  mov	w9, #0x60
0xfffffff00902a488: aa20ffd0  adrp	x10, #0xfffffff007440000
0xfffffff00902a48c: 4ad53891  add	x10, x10, #0xe35
0xfffffff00902a490: ab20ffd0  adrp	x11, #0xfffffff007440000
0xfffffff00902a494: 6bd53e91  add	x11, x11, #0xfb5
0xfffffff00902a498: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00902a49c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00902a4a0: eb0300f9  str	x11, [sp]
0xfffffff00902a4a4: a020ffd0  adrp	x0, #0xfffffff007440000
0xfffffff00902a4a8: 00603d91  add	x0, x0, #0xf58
0xfffffff00902a4ac: 18a8d197  bl	#0xfffffff00849450c
0xfffffff00902a4b0: 7f2303d5  pacibsp	
0xfffffff00902a4b4: ff0301d1  sub	sp, sp, #0x40
0xfffffff00902a4b8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00902a4bc: fdc30091  add	x29, sp, #0x30
0xfffffff00902a4c0: 08004039  ldrb	w8, [x0]
0xfffffff00902a4c4: 09108052  mov	w9, #0x80
0xfffffff00902a4c8: aa20ffd0  adrp	x10, #0xfffffff007440000
0xfffffff00902a4cc: 4ad53891  add	x10, x10, #0xe35
0xfffffff00902a4d0: ab20fff0  adrp	x11, #0xfffffff007441000
0xfffffff00902a4d4: 6bcd0091  add	x11, x11, #0x33
0xfffffff00902a4d8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00902a4dc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00902a4e0: eb0300f9  str	x11, [sp]
