; Candidate 3184
; ADRP+ADD at VM 0xfffffff008719b40 (fileoff 0x1715b40): page=0x1fea18000 add_imm=0xd90

0xfffffff008719ac0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008719ac4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008719ac8: fdc30091  add	x29, sp, #0x30
0xfffffff008719acc: 080080d2  mov	x8, #0
0xfffffff008719ad0: 15008052  mov	w21, #0
0xfffffff008719ad4: 091041b9  ldr	w9, [x0, #0x110]
0xfffffff008719ad8: 0a0c8052  mov	w10, #0x60
0xfffffff008719adc: 29010a9b  madd	x9, x9, x10, x0
0xfffffff008719ae0: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff008719ae4: 0b118052  mov	w11, #0x88
0xfffffff008719ae8: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff008719aec: 539d40f9  ldr	x19, [x10, #0x138]
0xfffffff008719af0: 29ad4b79  ldrh	w9, [x9, #0x5d6]
0xfffffff008719af4: 14008012  mov	w20, #-1
0xfffffff008719af8: 6a06088b  add	x10, x19, x8, lsl #1
0xfffffff008719afc: 4a394079  ldrh	w10, [x10, #0x1c]
0xfffffff008719b00: 9f060031  cmn	w20, #1
0xfffffff008719b04: 0b01941a  csel	w11, w8, w20, eq
0xfffffff008719b08: 5f010071  cmp	w10, #0
0xfffffff008719b0c: b506951a  cinc	w21, w21, ne
0xfffffff008719b10: 94028b1a  csel	w20, w20, w11, eq
0xfffffff008719b14: 08050091  add	x8, x8, #1
0xfffffff008719b18: 1f1100f1  cmp	x8, #4
0xfffffff008719b1c: e1feff54  b.ne	#0xfffffff008719af8
0xfffffff008719b20: 36150012  and	w22, w9, #0x3f
0xfffffff008719b24: bf020071  cmp	w21, #0
0xfffffff008719b28: 841a413a  ccmn	w20, #1, #4, ne
0xfffffff008719b2c: a1010054  b.ne	#0xfffffff008719b60
0xfffffff008719b30: c8118052  mov	w8, #0x8e
0xfffffff008719b34: e951ff90  adrp	x9, #0xfffffff007155000
0xfffffff008719b38: 29f12991  add	x9, x9, #0xa7c
0xfffffff008719b3c: e92300a9  stp	x9, x8, [sp]
0xfffffff008719b40: c050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008719b44: 00403691  add	x0, x0, #0xd90
0xfffffff008719b48: 2197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008719b4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008719b50: e350fff0  adrp	x3, #0xfffffff007138000
0xfffffff008719b54: 63903091  add	x3, x3, #0xc24
0xfffffff008719b58: 02008052  mov	w2, #0
0xfffffff008719b5c: 7565f097  bl	#0xfffffff008333130
0xfffffff008719b60: 09168652  mov	w9, #0x30b0
0xfffffff008719b64: 4900a072  movk	w9, #2, lsl #16
0xfffffff008719b68: 08de8252  mov	w8, #0x16f0
0xfffffff008719b6c: ca7e081b  mul	w10, w22, w8
0xfffffff008719b70: 4801090b  add	w8, w10, w9
0xfffffff008719b74: 0b351c12  and	w11, w8, #0x3fff0
0xfffffff008719b78: 2c008052  mov	w12, #1
0xfffffff008719b7c: 0c4da072  movk	w12, #0x268, lsl #16
0xfffffff008719b80: 6b010c2a  orr	w11, w11, w12
0xfffffff008719b84: 6b0200b9  str	w11, [x19]
0xfffffff008719b88: 2b4a9752  mov	w11, #0xba51
0xfffffff008719b8c: cb7ba072  movk	w11, #0x3de, lsl #16
0xfffffff008719b90: 6b7202b9  str	w11, [x19, #0x270]
0xfffffff008719b94: 6b5606b9  str	w11, [x19, #0x654]
0xfffffff008719b98: 08c10911  add	w8, w8, #0x270
0xfffffff008719b9c: 08351c12  and	w8, w8, #0x3fff0
0xfffffff008719ba0: 2b008052  mov	w11, #1
0xfffffff008719ba4: 8b2ca072  movk	w11, #0x164, lsl #16
0xfffffff008719ba8: 08010b2a  orr	w8, w8, w11
0xfffffff008719bac: 68ce0ab9  str	w8, [x19, #0xacc]
0xfffffff008719bb0: 6b364079  ldrh	w11, [x19, #0x1a]
0xfffffff008719bb4: 7f0900f1  cmp	x11, #2
0xfffffff008719bb8: 03010054  b.lo	#0xfffffff008719bd8
0xfffffff008719bbc: 6ce23091  add	x12, x19, #0xc38
