; Candidate 8505
; ADRP+ADD at VM 0xfffffff0088ae560 (fileoff 0x18aa560): page=0x1fe985000 add_imm=0xec6

0xfffffff0088ae4e0: 74520229  stp	w20, w20, [x19, #0x10]
0xfffffff0088ae4e4: e00313aa  mov	x0, x19
0xfffffff0088ae4e8: 71e8ff97  bl	#0xfffffff0088a86ac
0xfffffff0088ae4ec: 00040034  cbz	w0, #0xfffffff0088ae56c
0xfffffff0088ae4f0: f50300aa  mov	x21, x0
0xfffffff0088ae4f4: c00f8052  mov	w0, #0x7e
0xfffffff0088ae4f8: 81008052  mov	w1, #4
0xfffffff0088ae4fc: b534ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae500: 000b0034  cbz	w0, #0xfffffff0088ae660
0xfffffff0088ae504: c00f8052  mov	w0, #0x7e
0xfffffff0088ae508: c434ff97  bl	#0xfffffff00887b818
0xfffffff0088ae50c: f70300aa  mov	x23, x0
0xfffffff0088ae510: 27170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae514: f60300aa  mov	x22, x0
0xfffffff0088ae518: 80008052  mov	w0, #4
0xfffffff0088ae51c: cd34ff97  bl	#0xfffffff00887b850
0xfffffff0088ae520: 77100034  cbz	w23, #0xfffffff0088ae72c
0xfffffff0088ae524: 680240b9  ldr	w8, [x19]
0xfffffff0088ae528: 694e41b9  ldr	w9, [x19, #0x14c]
0xfffffff0088ae52c: 6a5241b9  ldr	w10, [x19, #0x150]
0xfffffff0088ae530: 6b1640b9  ldr	w11, [x19, #0x14]
0xfffffff0088ae534: eb5705a9  stp	x11, x21, [sp, #0x50]
0xfffffff0088ae538: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088ae53c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088ae540: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae544: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae548: 89b18052  mov	w9, #0x58c
0xfffffff0088ae54c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae550: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae554: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae558: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae55c: c80f8052  mov	w8, #0x7e
0xfffffff0088ae560: 204cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088ae564: 00183b91  add	x0, x0, #0xec6
0xfffffff0088ae568: 23000014  b	#0xfffffff0088ae5f4
0xfffffff0088ae56c: e00313aa  mov	x0, x19
0xfffffff0088ae570: c4e9ff97  bl	#0xfffffff0088a8c80
0xfffffff0088ae574: 80110034  cbz	w0, #0xfffffff0088ae7a4
0xfffffff0088ae578: f50300aa  mov	x21, x0
0xfffffff0088ae57c: c00f8052  mov	w0, #0x7e
0xfffffff0088ae580: 81008052  mov	w1, #4
0xfffffff0088ae584: 9334ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae588: c0060034  cbz	w0, #0xfffffff0088ae660
0xfffffff0088ae58c: c00f8052  mov	w0, #0x7e
0xfffffff0088ae590: a234ff97  bl	#0xfffffff00887b818
0xfffffff0088ae594: f70300aa  mov	x23, x0
0xfffffff0088ae598: 05170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae59c: f60300aa  mov	x22, x0
0xfffffff0088ae5a0: 80008052  mov	w0, #4
0xfffffff0088ae5a4: ab34ff97  bl	#0xfffffff00887b850
0xfffffff0088ae5a8: b7130034  cbz	w23, #0xfffffff0088ae81c
0xfffffff0088ae5ac: e80315aa  mov	x8, x21
0xfffffff0088ae5b0: 690240b9  ldr	w9, [x19]
0xfffffff0088ae5b4: 6a4e41b9  ldr	w10, [x19, #0x14c]
0xfffffff0088ae5b8: 6b5241b9  ldr	w11, [x19, #0x150]
0xfffffff0088ae5bc: 6c1640b9  ldr	w12, [x19, #0x14]
0xfffffff0088ae5c0: ec2305a9  stp	x12, x8, [sp, #0x50]
0xfffffff0088ae5c4: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0088ae5c8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088ae5cc: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae5d0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae5d4: 69b28052  mov	w9, #0x593
0xfffffff0088ae5d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae5dc: 284cffb0  adrp	x8, #0xfffffff007233000
