; Candidate 13367
; ADRP+ADD at VM 0xfffffff0092af974 (fileoff 0x22ab974): page=0x1fe8f3000 add_imm=0xe00

0xfffffff0092af8f4: 08e547f9  ldr	x8, [x8, #0xfc8]
0xfffffff0092af8f8: 010140f9  ldr	x1, [x8]
0xfffffff0092af8fc: e00314aa  mov	x0, x20
0xfffffff0092af900: fdd0c097  bl	#0xfffffff0082e3cf4
0xfffffff0092af904: 000600b4  cbz	x0, #0xfffffff0092af9c4
0xfffffff0092af908: fb0300aa  mov	x27, x0
0xfffffff0092af90c: 100040f9  ldr	x16, [x0]
0xfffffff0092af910: f10300aa  mov	x17, x0
0xfffffff0092af914: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092af918: 301ac1da  autda	x16, x17
0xfffffff0092af91c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0092af920: e90310aa  mov	x9, x16
0xfffffff0092af924: f10309aa  mov	x17, x9
0xfffffff0092af928: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff0092af92c: 11093fd7  blraa	x8, x17
0xfffffff0092af930: 080440b9  ldr	w8, [x0, #4]
0xfffffff0092af934: e9298952  mov	w9, #0x494f
0xfffffff0092af938: 09eaa872  movk	w9, #0x4750, lsl #16
0xfffffff0092af93c: 1f01096b  cmp	w8, w9
0xfffffff0092af940: 21050054  b.ne	#0xfffffff0092af9e4
0xfffffff0092af944: 700340f9  ldr	x16, [x27]
0xfffffff0092af948: f1031baa  mov	x17, x27
0xfffffff0092af94c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092af950: 301ac1da  autda	x16, x17
0xfffffff0092af954: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0092af958: e90310aa  mov	x9, x16
0xfffffff0092af95c: e0031baa  mov	x0, x27
0xfffffff0092af960: f10309aa  mov	x17, x9
0xfffffff0092af964: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0092af968: 11093fd7  blraa	x8, x17
0xfffffff0092af96c: 1f400071  cmp	w0, #0x10
0xfffffff0092af970: a3020054  b.lo	#0xfffffff0092af9c4
0xfffffff0092af974: 8047fff0  adrp	x0, #0xfffffff007ba2000
0xfffffff0092af978: 00003891  add	x0, x0, #0xe00
0xfffffff0092af97c: 01078052  mov	w1, #0x38
0xfffffff0092af980: 2edfc097  bl	#0xfffffff0082e7638
0xfffffff0092af984: f40300aa  mov	x20, x0
0xfffffff0092af988: 758600f0  adrp	x21, #0xfffffff00a37e000
0xfffffff0092af98c: b5620f91  add	x21, x21, #0x3d8
0xfffffff0092af990: e10315aa  mov	x1, x21
0xfffffff0092af994: b753cf97  bl	#0xfffffff008684870
0xfffffff0092af998: 9047fff0  adrp	x16, #0xfffffff007ba2000
0xfffffff0092af99c: 10623191  add	x16, x16, #0xc58
0xfffffff0092af9a0: 10420091  add	x16, x16, #0x10
0xfffffff0092af9a4: f10300aa  mov	x17, x0
0xfffffff0092af9a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092af9ac: 300ac1da  pacda	x16, x17
0xfffffff0092af9b0: 100000f9  str	x16, [x0]
0xfffffff0092af9b4: e00315aa  mov	x0, x21
0xfffffff0092af9b8: dfd5c097  bl	#0xfffffff0082e5134
0xfffffff0092af9bc: 19008052  mov	w25, #0
0xfffffff0092af9c0: 740200f9  str	x20, [x19]
0xfffffff0092af9c4: e00319aa  mov	x0, x25
0xfffffff0092af9c8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0092af9cc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0092af9d0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0092af9d4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0092af9d8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0092af9dc: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0092af9e0: ff0f5fd6  retab	
0xfffffff0092af9e4: 8847ffd0  adrp	x8, #0xfffffff007ba1000
0xfffffff0092af9e8: 08f947f9  ldr	x8, [x8, #0xff0]
0xfffffff0092af9ec: 07e10e91  add	x7, x8, #0x3b8
0xfffffff0092af9f0: 10dd41f9  ldr	x16, [x8, #0x3b8]
