; Candidate 7282
; ADRP+ADD at VM 0xfffffff008864c9c (fileoff 0x1860c9c): page=0x1fe985000 add_imm=0xe80

0xfffffff008864c1c: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff008864c20: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008864c24: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008864c28: 08728052  mov	w8, #0x390
0xfffffff008864c2c: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864c30: 29813091  add	x9, x9, #0xc20
0xfffffff008864c34: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008864c38: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff008864c3c: 08811191  add	x8, x8, #0x460
0xfffffff008864c40: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008864c44: 680c8052  mov	w8, #0x63
0xfffffff008864c48: 204effb0  adrp	x0, #0xfffffff007229000
0xfffffff008864c4c: 009c0991  add	x0, x0, #0x267
0xfffffff008864c50: c0030014  b	#0xfffffff008865b50
0xfffffff008864c54: 563d0194  bl	#0xfffffff0088b41ac
0xfffffff008864c58: f40300aa  mov	x20, x0
0xfffffff008864c5c: 80008052  mov	w0, #4
0xfffffff008864c60: fc5a0094  bl	#0xfffffff00887b850
0xfffffff008864c64: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008864c68: e86f04a9  stp	x8, x27, [sp, #0x40]
0xfffffff008864c6c: 284eff90  adrp	x8, #0xfffffff007228000
0xfffffff008864c70: 08893f91  add	x8, x8, #0xfe2
0xfffffff008864c74: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008864c78: 48698052  mov	w8, #0x34a
0xfffffff008864c7c: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864c80: 29813091  add	x9, x9, #0xc20
0xfffffff008864c84: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008864c88: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff008864c8c: 08811191  add	x8, x8, #0x460
0xfffffff008864c90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008864c94: 680c8052  mov	w8, #0x63
0xfffffff008864c98: f42300a9  stp	x20, x8, [sp]
0xfffffff008864c9c: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008864ca0: 00003a91  add	x0, x0, #0xe80
0xfffffff008864ca4: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008864ca8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008864cac: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff008864cb0: 639c2891  add	x3, x3, #0xa27
0xfffffff008864cb4: 02008052  mov	w2, #0
0xfffffff008864cb8: 1e39eb97  bl	#0xfffffff008333130
0xfffffff008864cbc: 5f000014  b	#0xfffffff008864e38
0xfffffff008864cc0: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff008864cc4: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008864cc8: a8272e29  stp	w8, w9, [x29, #-0x90]
0xfffffff008864ccc: 600c8052  mov	w0, #0x63
0xfffffff008864cd0: e1008052  mov	w1, #7
0xfffffff008864cd4: bf5a0094  bl	#0xfffffff00887b7d0
0xfffffff008864cd8: 201e0034  cbz	w0, #0xfffffff00886509c
0xfffffff008864cdc: 600c8052  mov	w0, #0x63
0xfffffff008864ce0: ce5a0094  bl	#0xfffffff00887b818
0xfffffff008864ce4: f70300aa  mov	x23, x0
0xfffffff008864ce8: 313d0194  bl	#0xfffffff0088b41ac
0xfffffff008864cec: f40300aa  mov	x20, x0
0xfffffff008864cf0: e0008052  mov	w0, #7
0xfffffff008864cf4: d75a0094  bl	#0xfffffff00887b850
0xfffffff008864cf8: b7190034  cbz	w23, #0xfffffff00886502c
0xfffffff008864cfc: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff008864d00: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008864d04: ab2b6e29  ldp	w11, w10, [x29, #-0x90]
0xfffffff008864d08: acc356b8  ldur	w12, [x29, #-0x94]
0xfffffff008864d0c: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff008864d10: e82b04a9  stp	x8, x10, [sp, #0x40]
0xfffffff008864d14: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008864d18: 886c8052  mov	w8, #0x364
