; Candidate 14693
; ADRP+ADD at VM 0xfffffff00987c3cc (fileoff 0x28783cc): page=0x1fdd4d000 add_imm=0xce0

0xfffffff00987c34c: 280d02f8  str	x8, [x9, #0x20]!
0xfffffff00987c350: 0a1540f9  ldr	x10, [x8, #0x28]
0xfffffff00987c354: 530100f9  str	x19, [x10]
0xfffffff00987c358: 091500f9  str	x9, [x8, #0x28]
0xfffffff00987c35c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00987c360: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00987c364: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00987c368: ff830191  add	sp, sp, #0x60
0xfffffff00987c36c: ff0f5fd6  retab	
0xfffffff00987c370: 28738052  mov	w8, #0x399
0xfffffff00987c374: 02000014  b	#0xfffffff00987c37c
0xfffffff00987c378: 68728052  mov	w8, #0x393
0xfffffff00987c37c: 69eafed0  adrp	x9, #0xfffffff0075ca000
0xfffffff00987c380: 29713691  add	x9, x9, #0xd9c
0xfffffff00987c384: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00987c388: f32300a9  stp	x19, x8, [sp]
0xfffffff00987c38c: 10000014  b	#0xfffffff00987c3cc
0xfffffff00987c390: 28738052  mov	w8, #0x399
0xfffffff00987c394: 02000014  b	#0xfffffff00987c39c
0xfffffff00987c398: 68728052  mov	w8, #0x393
0xfffffff00987c39c: 69eafed0  adrp	x9, #0xfffffff0075ca000
0xfffffff00987c3a0: 29713691  add	x9, x9, #0xd9c
0xfffffff00987c3a4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00987c3a8: f32300a9  stp	x19, x8, [sp]
0xfffffff00987c3ac: 60eafeb0  adrp	x0, #0xfffffff0075c9000
0xfffffff00987c3b0: 00703291  add	x0, x0, #0xc9c
0xfffffff00987c3b4: 5660b097  bl	#0xfffffff00849450c
0xfffffff00987c3b8: e9798052  mov	w9, #0x3cf
0xfffffff00987c3bc: 6aeafed0  adrp	x10, #0xfffffff0075ca000
0xfffffff00987c3c0: 4a713691  add	x10, x10, #0xd9c
0xfffffff00987c3c4: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00987c3c8: e82700a9  stp	x8, x9, [sp]
0xfffffff00987c3cc: 60eafeb0  adrp	x0, #0xfffffff0075c9000
0xfffffff00987c3d0: 00803391  add	x0, x0, #0xce0
0xfffffff00987c3d4: 4e60b097  bl	#0xfffffff00849450c
0xfffffff00987c3d8: 7f2303d5  pacibsp	
0xfffffff00987c3dc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00987c3e0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00987c3e4: fd430091  add	x29, sp, #0x10
0xfffffff00987c3e8: f30300aa  mov	x19, x0
0xfffffff00987c3ec: 141040f9  ldr	x20, [x0, #0x20]
0xfffffff00987c3f0: 885e41b9  ldr	w8, [x20, #0x15c]
0xfffffff00987c3f4: 08020034  cbz	w8, #0xfffffff00987c434
0xfffffff00987c3f8: 801640f9  ldr	x0, [x20, #0x28]
0xfffffff00987c3fc: 100040f9  ldr	x16, [x0]
0xfffffff00987c400: f10300aa  mov	x17, x0
0xfffffff00987c404: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00987c408: 301ac1da  autda	x16, x17
0xfffffff00987c40c: 112080d2  mov	x17, #0x100
0xfffffff00987c410: 1002118b  add	x16, x16, x17
0xfffffff00987c414: 080240f9  ldr	x8, [x16]
0xfffffff00987c418: e90310aa  mov	x9, x16
0xfffffff00987c41c: e10314aa  mov	x1, x20
0xfffffff00987c420: 02008052  mov	w2, #0
0xfffffff00987c424: f10309aa  mov	x17, x9
0xfffffff00987c428: 31b7edf2  movk	x17, #0x6db9, lsl #48
0xfffffff00987c42c: 11093fd7  blraa	x8, x17
0xfffffff00987c430: f0ffff17  b	#0xfffffff00987c3f0
0xfffffff00987c434: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00987c438: 100040f9  ldr	x16, [x0]
0xfffffff00987c43c: f10300aa  mov	x17, x0
0xfffffff00987c440: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00987c444: 301ac1da  autda	x16, x17
0xfffffff00987c448: 080e4af8  ldr	x8, [x16, #0xa0]!
