; Candidate 623
; ADRP+ADD at VM 0xfffffff007fc53a0 (fileoff 0xfc13a0): page=0x1ff0a1000 add_imm=0xcfe

0xfffffff007fc5320: 8a4a01b9  str	w10, [x20, #0x148]
0xfffffff007fc5324: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007fc5328: 0aa00291  add	x10, x0, #0xa8
0xfffffff007fc532c: 497de8c8  casa	x8, x9, [x10]
0xfffffff007fc5330: 1f0100f1  cmp	x8, #0
0xfffffff007fc5334: c1020054  b.ne	#0xfffffff007fc538c
0xfffffff007fc5338: e00315aa  mov	x0, x21
0xfffffff007fc533c: 080c4bb8  ldr	w8, [x0, #0xb0]!
0xfffffff007fc5340: 08030034  cbz	w8, #0xfffffff007fc53a0
0xfffffff007fc5344: 08050071  subs	w8, w8, #1
0xfffffff007fc5348: 080000b9  str	w8, [x0]
0xfffffff007fc534c: c1000054  b.ne	#0xfffffff007fc5364
0xfffffff007fc5350: a8b640b9  ldr	w8, [x21, #0xb4]
0xfffffff007fc5354: 88000034  cbz	w8, #0xfffffff007fc5364
0xfffffff007fc5358: 01008052  mov	w1, #0
0xfffffff007fc535c: 02008052  mov	w2, #0
0xfffffff007fc5360: f6fbf797  bl	#0xfffffff007dc4338
0xfffffff007fc5364: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007fc5368: a9a20291  add	x9, x21, #0xa8
0xfffffff007fc536c: e20308aa  mov	x2, x8
0xfffffff007fc5370: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007fc5374: 5f00086b  cmp	w2, w8
0xfffffff007fc5378: 01020054  b.ne	#0xfffffff007fc53b8
0xfffffff007fc537c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007fc5380: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007fc5384: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007fc5388: ff0f5fd6  retab	
0xfffffff007fc538c: e00313aa  mov	x0, x19
0xfffffff007fc5390: e10314aa  mov	x1, x20
0xfffffff007fc5394: 22008052  mov	w2, #1
0xfffffff007fc5398: d899f797  bl	#0xfffffff007dabaf8
0xfffffff007fc539c: e7ffff17  b	#0xfffffff007fc5338
0xfffffff007fc53a0: 0085ffb0  adrp	x0, #0xfffffff007066000
0xfffffff007fc53a4: 00f83391  add	x0, x0, #0xcfe
0xfffffff007fc53a8: 0185ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc53ac: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc53b0: 22c98152  mov	w2, #0xe49
0xfffffff007fc53b4: 18691394  bl	#0xfffffff00849f814
0xfffffff007fc53b8: e00313aa  mov	x0, x19
0xfffffff007fc53bc: e10314aa  mov	x1, x20
0xfffffff007fc53c0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007fc53c4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007fc53c8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007fc53cc: ff2303d5  autibsp	
0xfffffff007fc53d0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007fc53d4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007fc53dc
0xfffffff007fc53d8: 208e38d4  brk	#0xc471
0xfffffff007fc53dc: e29cf717  b	#0xfffffff007dac764
0xfffffff007fc53e0: 7f2303d5  pacibsp	
0xfffffff007fc53e4: ffc303d1  sub	sp, sp, #0xf0
0xfffffff007fc53e8: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff007fc53ec: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff007fc53f0: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff007fc53f4: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff007fc53f8: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff007fc53fc: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff007fc5400: fd830391  add	x29, sp, #0xe0
0xfffffff007fc5404: f60302aa  mov	x22, x2
0xfffffff007fc5408: 080080d2  mov	x8, #0
0xfffffff007fc540c: 3b0440f9  ldr	x27, [x1, #8]
0xfffffff007fc5410: 74830291  add	x20, x27, #0xa0
0xfffffff007fc5414: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007fc5418: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007fc541c: 6a4a41b9  ldr	w10, [x19, #0x148]
