; Candidate 3182
; ADRP+ADD at VM 0xfffffff008719934 (fileoff 0x1715934): page=0x1fea18000 add_imm=0xd90

0xfffffff0087198b4: 300ac1da  pacda	x16, x17
0xfffffff0087198b8: 100000f9  str	x16, [x0]
0xfffffff0087198bc: 4097ffd0  adrp	x0, #0xfffffff007a03000
0xfffffff0087198c0: 00a02891  add	x0, x0, #0xa28
0xfffffff0087198c4: 0cf3f097  bl	#0xfffffff0083564f4
0xfffffff0087198c8: 01008052  mov	w1, #0
0xfffffff0087198cc: e20314aa  mov	x2, x20
0xfffffff0087198d0: 63420194  bl	#0xfffffff00876a25c
0xfffffff0087198d4: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff0087198d8: f451ff90  adrp	x20, #0xfffffff007155000
0xfffffff0087198dc: 94762991  add	x20, x20, #0xa5d
0xfffffff0087198e0: 600100b5  cbnz	x0, #0xfffffff00871990c
0xfffffff0087198e4: a8078052  mov	w8, #0x3d
0xfffffff0087198e8: f42300a9  stp	x20, x8, [sp]
0xfffffff0087198ec: c050ff90  adrp	x0, #0xfffffff007131000
0xfffffff0087198f0: 00403691  add	x0, x0, #0xd90
0xfffffff0087198f4: 2197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087198f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087198fc: e350fff0  adrp	x3, #0xfffffff007138000
0xfffffff008719900: 63782e91  add	x3, x3, #0xb9e
0xfffffff008719904: 02008052  mov	w2, #0
0xfffffff008719908: 0a66f097  bl	#0xfffffff008333130
0xfffffff00871990c: 08008852  mov	w8, #0x4000
0xfffffff008719910: 689600f9  str	x8, [x19, #0x128]
0xfffffff008719914: 6097ffb0  adrp	x0, #0xfffffff007a06000
0xfffffff008719918: 00202191  add	x0, x0, #0x848
0xfffffff00871991c: 2100a052  mov	w1, #0x10000
0xfffffff008719920: 2cf5f097  bl	#0xfffffff008356dd0
0xfffffff008719924: 609200f9  str	x0, [x19, #0x120]
0xfffffff008719928: 600100b5  cbnz	x0, #0xfffffff008719954
0xfffffff00871992c: 88088052  mov	w8, #0x44
0xfffffff008719930: f42300a9  stp	x20, x8, [sp]
0xfffffff008719934: c050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008719938: 00403691  add	x0, x0, #0xd90
0xfffffff00871993c: 2197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008719940: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008719944: e350fff0  adrp	x3, #0xfffffff007138000
0xfffffff008719948: 63442f91  add	x3, x3, #0xbd1
0xfffffff00871994c: 02008052  mov	w2, #0
0xfffffff008719950: f865f097  bl	#0xfffffff008333130
0xfffffff008719954: 7f622339  strb	wzr, [x19, #0x8d8]
0xfffffff008719958: f40300f9  str	x20, [sp]
0xfffffff00871995c: c050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008719960: 00403691  add	x0, x0, #0xd90
0xfffffff008719964: 2197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008719968: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871996c: e350fff0  adrp	x3, #0xfffffff007138000
0xfffffff008719970: 63103091  add	x3, x3, #0xc04
0xfffffff008719974: 02008052  mov	w2, #0
0xfffffff008719978: ee65f097  bl	#0xfffffff008333130
0xfffffff00871997c: e00313aa  mov	x0, x19
0xfffffff008719980: 0a000094  bl	#0xfffffff0087199a8
0xfffffff008719984: 28008052  mov	w8, #1
0xfffffff008719988: 68622339  strb	w8, [x19, #0x8d8]
0xfffffff00871998c: c8008052  mov	w8, #6
0xfffffff008719990: 68ba05b9  str	w8, [x19, #0x5b8]
0xfffffff008719994: e00313aa  mov	x0, x19
0xfffffff008719998: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00871999c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087199a0: ffc30091  add	sp, sp, #0x30
0xfffffff0087199a4: ff0f5fd6  retab	
0xfffffff0087199a8: 7f2303d5  pacibsp	
0xfffffff0087199ac: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087199b0: fa6701a9  stp	x26, x25, [sp, #0x10]
