; Candidate 16294
; ADRP+ADD at VM 0xfffffff009e46ebc (fileoff 0x2e42ebc): page=0x1fdef3000 add_imm=0xd68

0xfffffff009e46e3c: e89b41b9  ldr	w8, [sp, #0x198]
0xfffffff009e46e40: 1f050071  cmp	w8, #1
0xfffffff009e46e44: 4b020054  b.lt	#0xfffffff009e46e8c
0xfffffff009e46e48: 15050091  add	x21, x8, #1
0xfffffff009e46e4c: 74f7fef0  adrp	x20, #0xfffffff007d35000
0xfffffff009e46e50: 94621e91  add	x20, x20, #0x798
0xfffffff009e46e54: f7068092  mov	x23, #-0x38
0xfffffff009e46e58: 792c00d0  adrp	x25, #0xfffffff00a3d4000
0xfffffff009e46e5c: 39232a91  add	x25, x25, #0xa88
0xfffffff009e46e60: a80a0051  sub	w8, w21, #2
0xfffffff009e46e64: 093340f9  ldr	x9, [x24, #0x60]
0xfffffff009e46e68: 215968f8  ldr	x1, [x9, w8, uxtw #3]
0xfffffff009e46e6c: a10000b4  cbz	x1, #0xfffffff009e46e80
0xfffffff009e46e70: 3f7928f8  str	xzr, [x9, x8, lsl #3]
0xfffffff009e46e74: e00314aa  mov	x0, x20
0xfffffff009e46e78: 253e9497  bl	#0xfffffff00835670c
0xfffffff009e46e7c: 280337f8  ldadd	x23, x8, [x25]
0xfffffff009e46e80: b50600d1  sub	x21, x21, #1
0xfffffff009e46e84: bf0600f1  cmp	x21, #1
0xfffffff009e46e88: c8feff54  b.hi	#0xfffffff009e46e60
0xfffffff009e46e8c: 013340f9  ldr	x1, [x24, #0x60]
0xfffffff009e46e90: c10100b4  cbz	x1, #0xfffffff009e46ec8
0xfffffff009e46e94: e89f81b9  ldrsw	x8, [sp, #0x19c]
0xfffffff009e46e98: e90f08cb  neg	x9, x8, lsl #3
0xfffffff009e46e9c: 6a2c00d0  adrp	x10, #0xfffffff00a3d4000
0xfffffff009e46ea0: 4a212a91  add	x10, x10, #0xa88
0xfffffff009e46ea4: 490129f8  ldadd	x9, x9, [x10]
0xfffffff009e46ea8: 09f17dd3  lsl	x9, x8, #3
0xfffffff009e46eac: 1f010071  cmp	w8, #0
0xfffffff009e46eb0: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff009e46eb4: 22a1889a  csel	x2, x9, x8, ge
0xfffffff009e46eb8: 1f3300f9  str	xzr, [x24, #0x60]
0xfffffff009e46ebc: 80f7fef0  adrp	x0, #0xfffffff007d39000
0xfffffff009e46ec0: 00a03591  add	x0, x0, #0xd68
0xfffffff009e46ec4: c93f9497  bl	#0xfffffff008356de8
0xfffffff009e46ec8: 740650f9  ldr	x20, [x19, #0x2008]
0xfffffff009e46ecc: 471c8297  bl	#0xfffffff007ecdfe8
0xfffffff009e46ed0: 9f0200eb  cmp	x20, x0
0xfffffff009e46ed4: 80000054  b.eq	#0xfffffff009e46ee4
0xfffffff009e46ed8: 08ff8352  mov	w8, #0x1ff8
0xfffffff009e46edc: 6002088b  add	x0, x19, x8
0xfffffff009e46ee0: 329e7d97  bl	#0xfffffff007dae7a8
0xfffffff009e46ee4: e8bf40b9  ldr	w8, [sp, #0xbc]
0xfffffff009e46ee8: 68000034  cbz	w8, #0xfffffff009e46ef4
0xfffffff009e46eec: e00313aa  mov	x0, x19
0xfffffff009e46ef0: e8d90094  bl	#0xfffffff009e7d690
0xfffffff009e46ef4: 760000b4  cbz	x22, #0xfffffff009e46f00
0xfffffff009e46ef8: e00316aa  mov	x0, x22
0xfffffff009e46efc: 090a8397  bl	#0xfffffff007f09720
0xfffffff009e46f00: e05740f9  ldr	x0, [sp, #0xa8]
0xfffffff009e46f04: 1f040031  cmn	w0, #1
0xfffffff009e46f08: 81010054  b.ne	#0xfffffff009e46f38
0xfffffff009e46f0c: 083e8452  mov	w8, #0x21f0
0xfffffff009e46f10: 6802088b  add	x8, x19, x8
0xfffffff009e46f14: e9328152  mov	w9, #0x997
0xfffffff009e46f18: 0acffef0  adrp	x10, #0xfffffff007829000
0xfffffff009e46f1c: 4ad12491  add	x10, x10, #0x934
0xfffffff009e46f20: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e46f24: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e46f28: 00cffef0  adrp	x0, #0xfffffff007829000
0xfffffff009e46f2c: 00d82a91  add	x0, x0, #0xab6
0xfffffff009e46f30: 65e20094  bl	#0xfffffff009e7f8c4
0xfffffff009e46f34: c0028052  mov	w0, #0x16
0xfffffff009e46f38: a88359f8  ldur	x8, [x29, #-0x68]
