; Candidate 6525
; ADRP+ADD at VM 0xfffffff008831e70 (fileoff 0x182de70): page=0x1fe9f1000 add_imm=0xd3a

0xfffffff008831df0: 02008052  mov	w2, #0
0xfffffff008831df4: cf04ec97  bl	#0xfffffff008333130
0xfffffff008831df8: 680240a9  ldp	x8, x0, [x19]
0xfffffff008831dfc: 14454039  ldrb	w20, [x8, #0x11]
0xfffffff008831e00: d6e5ff97  bl	#0xfffffff00882b558
0xfffffff008831e04: 9f020071  cmp	w20, #0
0xfffffff008831e08: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff008831e0c: 0b100054  b.lt	#0xfffffff00883200c
0xfffffff008831e10: e00313aa  mov	x0, x19
0xfffffff008831e14: 01008052  mov	w1, #0
0xfffffff008831e18: aefcff97  bl	#0xfffffff0088310d0
0xfffffff008831e1c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff008831e20: 08030034  cbz	w8, #0xfffffff008831e80
0xfffffff008831e24: 000b8052  mov	w0, #0x58
0xfffffff008831e28: c1008052  mov	w1, #6
0xfffffff008831e2c: 69260194  bl	#0xfffffff00887b7d0
0xfffffff008831e30: a00b0034  cbz	w0, #0xfffffff008831fa4
0xfffffff008831e34: 000b8052  mov	w0, #0x58
0xfffffff008831e38: 78260194  bl	#0xfffffff00887b818
0xfffffff008831e3c: f50300aa  mov	x21, x0
0xfffffff008831e40: db080294  bl	#0xfffffff0088b41ac
0xfffffff008831e44: f40300aa  mov	x20, x0
0xfffffff008831e48: c0008052  mov	w0, #6
0xfffffff008831e4c: 81260194  bl	#0xfffffff00887b850
0xfffffff008831e50: 55080034  cbz	w21, #0xfffffff008831f58
0xfffffff008831e54: 892a8052  mov	w9, #0x154
0xfffffff008831e58: 084fffb0  adrp	x8, #0xfffffff007212000
0xfffffff008831e5c: 08ed2f91  add	x8, x8, #0xbfb
0xfffffff008831e60: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008831e64: 080b8052  mov	w8, #0x58
0xfffffff008831e68: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008831e6c: f40300f9  str	x20, [sp]
0xfffffff008831e70: 804fffb0  adrp	x0, #0xfffffff007222000
0xfffffff008831e74: 00e83491  add	x0, x0, #0xd3a
0xfffffff008831e78: 7a15d697  bl	#0xfffffff007db7460
0xfffffff008831e7c: 4a000014  b	#0xfffffff008831fa4
0xfffffff008831e80: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff008831e84: 080c0034  cbz	w8, #0xfffffff008832004
0xfffffff008831e88: 000b8052  mov	w0, #0x58
0xfffffff008831e8c: c1008052  mov	w1, #6
0xfffffff008831e90: 50260194  bl	#0xfffffff00887b7d0
0xfffffff008831e94: 200b0034  cbz	w0, #0xfffffff008831ff8
0xfffffff008831e98: 000b8052  mov	w0, #0x58
0xfffffff008831e9c: 5f260194  bl	#0xfffffff00887b818
0xfffffff008831ea0: f50300aa  mov	x21, x0
0xfffffff008831ea4: c2080294  bl	#0xfffffff0088b41ac
0xfffffff008831ea8: f40300aa  mov	x20, x0
0xfffffff008831eac: c0008052  mov	w0, #6
0xfffffff008831eb0: 68260194  bl	#0xfffffff00887b850
0xfffffff008831eb4: d5070034  cbz	w21, #0xfffffff008831fac
0xfffffff008831eb8: 692b8052  mov	w9, #0x15b
0xfffffff008831ebc: 084fffb0  adrp	x8, #0xfffffff007212000
0xfffffff008831ec0: 08ed2f91  add	x8, x8, #0xbfb
0xfffffff008831ec4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008831ec8: 080b8052  mov	w8, #0x58
0xfffffff008831ecc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008831ed0: f40300f9  str	x20, [sp]
0xfffffff008831ed4: 804fffb0  adrp	x0, #0xfffffff007222000
0xfffffff008831ed8: 00bc3591  add	x0, x0, #0xd6f
0xfffffff008831edc: 6115d697  bl	#0xfffffff007db7460
0xfffffff008831ee0: 46000014  b	#0xfffffff008831ff8
0xfffffff008831ee4: b2080294  bl	#0xfffffff0088b41ac
0xfffffff008831ee8: f40300aa  mov	x20, x0
0xfffffff008831eec: 80008052  mov	w0, #4
