; Candidate 15839
; ADRP+ADD at VM 0xfffffff009d64158 (fileoff 0x2d60158): page=0x1fdfb7000 add_imm=0xd40

0xfffffff009d640d8: 10020a91  add	x16, x16, #0x280
0xfffffff009d640dc: 10420091  add	x16, x16, #0x10
0xfffffff009d640e0: f10300aa  mov	x17, x0
0xfffffff009d640e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d640e8: 300ac1da  pacda	x16, x17
0xfffffff009d640ec: 100000f9  str	x16, [x0]
0xfffffff009d640f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d640f4: ff0f5fd6  retab	
0xfffffff009d640f8: 5f2403d5  bti	c
0xfffffff009d640fc: e16e0014  b	#0xfffffff009d7fc80
0xfffffff009d64100: 5f2403d5  bti	c
0xfffffff009d64104: df6e0014  b	#0xfffffff009d7fc80
0xfffffff009d64108: 7f2303d5  pacibsp	
0xfffffff009d6410c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d64110: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d64114: fd430091  add	x29, sp, #0x10
0xfffffff009d64118: f30300aa  mov	x19, x0
0xfffffff009d6411c: d96e0094  bl	#0xfffffff009d7fc80
0xfffffff009d64120: a0fdfef0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d64124: 00003591  add	x0, x0, #0xd40
0xfffffff009d64128: e10313aa  mov	x1, x19
0xfffffff009d6412c: 02388052  mov	w2, #0x1c0
0xfffffff009d64130: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d64134: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d64138: ff2303d5  autibsp	
0xfffffff009d6413c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d64140: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d64148
0xfffffff009d64144: 208e38d4  brk	#0xc471
0xfffffff009d64148: 550d9617  b	#0xfffffff0082e769c
0xfffffff009d6414c: 5f2403d5  bti	c
0xfffffff009d64150: e20301aa  mov	x2, x1
0xfffffff009d64154: e10300aa  mov	x1, x0
0xfffffff009d64158: a0fdfef0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d6415c: 00003591  add	x0, x0, #0xd40
0xfffffff009d64160: 4f0d9617  b	#0xfffffff0082e769c
0xfffffff009d64164: 5f2403d5  bti	c
0xfffffff009d64168: c0320090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009d6416c: 00202891  add	x0, x0, #0xa08
0xfffffff009d64170: c0035fd6  ret	
0xfffffff009d64174: 7f2303d5  pacibsp	
0xfffffff009d64178: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d6417c: fd030091  mov	x29, sp
0xfffffff009d64180: 61c8fef0  adrp	x1, #0xfffffff007673000
0xfffffff009d64184: 21041091  add	x1, x1, #0x401
0xfffffff009d64188: c2320090  adrp	x2, #0xfffffff00a3bc000
0xfffffff009d6418c: 42402b91  add	x2, x2, #0xad0
0xfffffff009d64190: 03388052  mov	w3, #0x1c0
0xfffffff009d64194: 69fe9597  bl	#0xfffffff0082e3b38
0xfffffff009d64198: 70fdfef0  adrp	x16, #0xfffffff007d13000
0xfffffff009d6419c: 10222191  add	x16, x16, #0x848
0xfffffff009d641a0: 10420091  add	x16, x16, #0x10
0xfffffff009d641a4: f10300aa  mov	x17, x0
0xfffffff009d641a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d641ac: 300ac1da  pacda	x16, x17
0xfffffff009d641b0: 100000f9  str	x16, [x0]
0xfffffff009d641b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d641b8: ff0f5fd6  retab	
0xfffffff009d641bc: 7f2303d5  pacibsp	
0xfffffff009d641c0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d641c4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d641c8: fd430091  add	x29, sp, #0x10
0xfffffff009d641cc: a0fdfef0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d641d0: 00003591  add	x0, x0, #0xd40
0xfffffff009d641d4: 01388052  mov	w1, #0x1c0
