; Candidate 16883
; ADRP+ADD at VM 0xfffffff009fd4c00 (fileoff 0x2fd0c00): page=0x401000 add_imm=0xdd0

0xfffffff009fd4b80: 00802991  add	x0, x0, #0xa60
0xfffffff009fd4b84: 391a8897  bl	#0xfffffff0081db468
0xfffffff009fd4b88: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4b8c: 00c02a91  add	x0, x0, #0xab0
0xfffffff009fd4b90: 361a8897  bl	#0xfffffff0081db468
0xfffffff009fd4b94: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4b98: 00002c91  add	x0, x0, #0xb00
0xfffffff009fd4b9c: 331a8897  bl	#0xfffffff0081db468
0xfffffff009fd4ba0: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4ba4: 00402d91  add	x0, x0, #0xb50
0xfffffff009fd4ba8: 301a8897  bl	#0xfffffff0081db468
0xfffffff009fd4bac: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4bb0: 00802e91  add	x0, x0, #0xba0
0xfffffff009fd4bb4: 2d1a8897  bl	#0xfffffff0081db468
0xfffffff009fd4bb8: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4bbc: 00c02f91  add	x0, x0, #0xbf0
0xfffffff009fd4bc0: 2a1a8897  bl	#0xfffffff0081db468
0xfffffff009fd4bc4: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4bc8: 00003191  add	x0, x0, #0xc40
0xfffffff009fd4bcc: 271a8897  bl	#0xfffffff0081db468
0xfffffff009fd4bd0: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4bd4: 00403291  add	x0, x0, #0xc90
0xfffffff009fd4bd8: 241a8897  bl	#0xfffffff0081db468
0xfffffff009fd4bdc: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4be0: 00803391  add	x0, x0, #0xce0
0xfffffff009fd4be4: 211a8897  bl	#0xfffffff0081db468
0xfffffff009fd4be8: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4bec: 00c03491  add	x0, x0, #0xd30
0xfffffff009fd4bf0: 1e1a8897  bl	#0xfffffff0081db468
0xfffffff009fd4bf4: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4bf8: 00003691  add	x0, x0, #0xd80
0xfffffff009fd4bfc: 1b1a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c00: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c04: 00403791  add	x0, x0, #0xdd0
0xfffffff009fd4c08: 181a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c0c: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c10: 00803891  add	x0, x0, #0xe20
0xfffffff009fd4c14: 151a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c18: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c1c: 00c03991  add	x0, x0, #0xe70
0xfffffff009fd4c20: 121a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c24: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c28: 00003b91  add	x0, x0, #0xec0
0xfffffff009fd4c2c: 0f1a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c30: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c34: 00403c91  add	x0, x0, #0xf10
0xfffffff009fd4c38: 0c1a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c3c: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c40: 00803d91  add	x0, x0, #0xf60
0xfffffff009fd4c44: 091a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c48: 002000b0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009fd4c4c: 00c03e91  add	x0, x0, #0xfb0
0xfffffff009fd4c50: 061a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c54: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4c58: 00000091  add	x0, x0, #0
0xfffffff009fd4c5c: 031a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c60: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4c64: 00400191  add	x0, x0, #0x50
0xfffffff009fd4c68: 001a8897  bl	#0xfffffff0081db468
0xfffffff009fd4c6c: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4c70: 00800291  add	x0, x0, #0xa0
0xfffffff009fd4c74: fd198897  bl	#0xfffffff0081db468
0xfffffff009fd4c78: 002000d0  adrp	x0, #0xfffffff00a3d6000
0xfffffff009fd4c7c: 00c00391  add	x0, x0, #0xf0
