; Candidate 1567
; ADRP+ADD at VM 0xfffffff00849a87c (fileoff 0x149687c): page=0x1febb1000 add_imm=0xdac

0xfffffff00849a7fc: 002102b9  str	w0, [x8, #0x220]
0xfffffff00849a800: 68564079  ldrh	w8, [x19, #0x2a]
0xfffffff00849a804: 01610091  add	x1, x8, #0x18
0xfffffff00849a808: 600240f9  ldr	x0, [x19]
0xfffffff00849a80c: 0200b0d2  mov	x2, #0x80000000
0xfffffff00849a810: 0220e0f2  movk	x2, #0x100, lsl #48
0xfffffff00849a814: e3ff9f52  mov	w3, #0xffff
0xfffffff00849a818: 040080d2  mov	x4, #0
0xfffffff00849a81c: 0ab0e597  bl	#0xfffffff007e06844
0xfffffff00849a820: 601200f9  str	x0, [x19, #0x20]
0xfffffff00849a824: 28008052  mov	w8, #1
0xfffffff00849a828: 68a20039  strb	w8, [x19, #0x28]
0xfffffff00849a82c: 08ed0090  adrp	x8, #0xfffffff00a23a000
0xfffffff00849a830: 13f903f9  str	x19, [x8, #0x7f0]
0xfffffff00849a834: e0a1fff0  adrp	x0, #0xfffffff0078d9000
0xfffffff00849a838: 00a03a91  add	x0, x0, #0xea8
0xfffffff00849a83c: 83e900f0  adrp	x3, #0xfffffff00a1cd000
0xfffffff00849a840: 63401391  add	x3, x3, #0x4d0
0xfffffff00849a844: 010080d2  mov	x1, #0
0xfffffff00849a848: 62008052  mov	w2, #3
0xfffffff00849a84c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00849a850: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00849a854: ffc30091  add	sp, sp, #0x30
0xfffffff00849a858: ff2303d5  autibsp	
0xfffffff00849a85c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00849a860: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00849a868
0xfffffff00849a864: 208e38d4  brk	#0xc471
0xfffffff00849a868: 4aa1e317  b	#0xfffffff007d82d90
0xfffffff00849a86c: 885dffb0  adrp	x8, #0xfffffff00704b000
0xfffffff00849a870: 083d3091  add	x8, x8, #0xc0f
0xfffffff00849a874: e9aa8052  mov	w9, #0x557
0xfffffff00849a878: e82700a9  stp	x8, x9, [sp]
0xfffffff00849a87c: 805dffb0  adrp	x0, #0xfffffff00704b000
0xfffffff00849a880: 00b03691  add	x0, x0, #0xdac
0xfffffff00849a884: 22e7ff97  bl	#0xfffffff00849450c
0xfffffff00849a888: 885dffb0  adrp	x8, #0xfffffff00704b000
0xfffffff00849a88c: 083d3091  add	x8, x8, #0xc0f
0xfffffff00849a890: 69ab8052  mov	w9, #0x55b
0xfffffff00849a894: e82700a9  stp	x8, x9, [sp]
0xfffffff00849a898: 805dffb0  adrp	x0, #0xfffffff00704b000
0xfffffff00849a89c: 00903791  add	x0, x0, #0xde4
0xfffffff00849a8a0: 1be7ff97  bl	#0xfffffff00849450c
0xfffffff00849a8a4: 885dffb0  adrp	x8, #0xfffffff00704b000
0xfffffff00849a8a8: 083d3091  add	x8, x8, #0xc0f
0xfffffff00849a8ac: 09ac8052  mov	w9, #0x560
0xfffffff00849a8b0: e82700a9  stp	x8, x9, [sp]
0xfffffff00849a8b4: 805dffb0  adrp	x0, #0xfffffff00704b000
0xfffffff00849a8b8: 00cc3891  add	x0, x0, #0xe33
0xfffffff00849a8bc: 14e7ff97  bl	#0xfffffff00849450c
0xfffffff00849a8c0: 7f2303d5  pacibsp	
0xfffffff00849a8c4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00849a8c8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00849a8cc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00849a8d0: fd830091  add	x29, sp, #0x20
0xfffffff00849a8d4: 130080d2  mov	x19, #0
0xfffffff00849a8d8: 14a2ffb0  adrp	x20, #0xfffffff0078db000
0xfffffff00849a8dc: 94820b91  add	x20, x20, #0x2e0
0xfffffff00849a8e0: b55bfff0  adrp	x21, #0xfffffff007011000
0xfffffff00849a8e4: b5221b91  add	x21, x21, #0x6c8
0xfffffff00849a8e8: 16ed0090  adrp	x22, #0xfffffff00a23a000
0xfffffff00849a8ec: d6622091  add	x22, x22, #0x818
0xfffffff00849a8f0: 806a73f8  ldr	x0, [x20, x19]
0xfffffff00849a8f4: a16a73f8  ldr	x1, [x21, x19]
0xfffffff00849a8f8: 0220e4d2  mov	x2, #0x2100000000000000
