; Candidate 2745
; ADRP+ADD at VM 0xfffffff0086e6438 (fileoff 0x16e2438): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e63b8: eb030caa  mov	x11, x12
0xfffffff0086e63bc: 29050071  subs	w9, w9, #1
0xfffffff0086e63c0: a1feff54  b.ne	#0xfffffff0086e6394
0xfffffff0086e63c4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e63c8: 290140b9  ldr	w9, [x9]
0xfffffff0086e63cc: 3f011a6a  tst	w9, w26
0xfffffff0086e63d0: 80010054  b.eq	#0xfffffff0086e6400
0xfffffff0086e63d4: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e63d8: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e63dc: 00403691  add	x0, x0, #0xd90
0xfffffff0086e63e0: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e63e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e63e8: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e63ec: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e63f0: 02008052  mov	w2, #0
0xfffffff0086e63f4: 4f33f197  bl	#0xfffffff008333130
0xfffffff0086e63f8: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e63fc: 080240b9  ldr	w8, [x16]
0xfffffff0086e6400: 957e1f53  lsr	w21, w20, #0x1f
0xfffffff0086e6404: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e6408: 290200b9  str	w9, [x17]
0xfffffff0086e640c: 08050051  sub	w8, w8, #1
0xfffffff0086e6410: 080200b9  str	w8, [x16]
0xfffffff0086e6414: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6418: 290140b9  ldr	w9, [x9]
0xfffffff0086e641c: 5453ffd0  adrp	x20, #0xfffffff007150000
0xfffffff0086e6420: 94ce1391  add	x20, x20, #0x4f3
0xfffffff0086e6424: 3f011a6a  tst	w9, w26
0xfffffff0086e6428: a0010054  b.eq	#0xfffffff0086e645c
0xfffffff0086e642c: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e6430: 28008052  mov	w8, #1
0xfffffff0086e6434: e85300a9  stp	x8, x20, [sp]
0xfffffff0086e6438: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e643c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6440: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6444: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6448: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e644c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e6450: 02008052  mov	w2, #0
0xfffffff0086e6454: 3733f197  bl	#0xfffffff008333130
0xfffffff0086e6458: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e645c: 15010034  cbz	w21, #0xfffffff0086e647c
0xfffffff0086e6460: 4153ffd0  adrp	x1, #0xfffffff007150000
0xfffffff0086e6464: 21fc1391  add	x1, x1, #0x4ff
0xfffffff0086e6468: e00313aa  mov	x0, x19
0xfffffff0086e646c: 82008052  mov	w2, #4
0xfffffff0086e6470: 3c140094  bl	#0xfffffff0086eb560
0xfffffff0086e6474: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6478: 02000014  b	#0xfffffff0086e6480
0xfffffff0086e647c: 00008052  mov	w0, #0
0xfffffff0086e6480: 080340f9  ldr	x8, [x24]
0xfffffff0086e6484: 00ad0039  strb	w0, [x8, #0x2b]
0xfffffff0086e6488: 080240b9  ldr	w8, [x16]
0xfffffff0086e648c: 68000034  cbz	w8, #0xfffffff0086e6498
0xfffffff0086e6490: 350240b9  ldr	w21, [x17]
0xfffffff0086e6494: 20000014  b	#0xfffffff0086e6514
0xfffffff0086e6498: 15008052  mov	w21, #0
0xfffffff0086e649c: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e64a0: 89008052  mov	w9, #4
0xfffffff0086e64a4: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e64a8: b55e1853  lsl	w21, w21, #8
0xfffffff0086e64ac: 7f010aeb  cmp	x11, x10
0xfffffff0086e64b0: 02010054  b.hs	#0xfffffff0086e64d0
0xfffffff0086e64b4: 08210011  add	w8, w8, #8
