; Candidate 12798
; ADRP+ADD at VM 0xfffffff0091599a8 (fileoff 0x21559a8): page=0x1fe330000 add_imm=0xe5b

0xfffffff009159928: 68e21739  strb	w8, [x19, #0x5f8]
0xfffffff00915992c: e0a30091  add	x0, sp, #0x28
0xfffffff009159930: 01008052  mov	w1, #0
0xfffffff009159934: 02018052  mov	w2, #8
0xfffffff009159938: a2ccaf97  bl	#0xfffffff007d4cbc0
0xfffffff00915993c: 280280d2  mov	x8, #0x11
0xfffffff009159940: 8800a0f2  movk	x8, #4, lsl #16
0xfffffff009159944: a868caf2  movk	x8, #0x5345, lsl #32
0xfffffff009159948: 48a8e9f2  movk	x8, #0x4d42, lsl #48
0xfffffff00915994c: e81700f9  str	x8, [sp, #0x28]
0xfffffff009159950: e1a30091  add	x1, sp, #0x28
0xfffffff009159954: e2930091  add	x2, sp, #0x24
0xfffffff009159958: e00313aa  mov	x0, x19
0xfffffff00915995c: ecfcff97  bl	#0xfffffff009158d0c
0xfffffff009159960: f50300aa  mov	x21, x0
0xfffffff009159964: 1f000071  cmp	w0, #0
0xfffffff009159968: 48598052  mov	w8, #0x2ca
0xfffffff00915996c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009159970: f403881a  csel	w20, wzr, w8, eq
0xfffffff009159974: 02001432  orr	w2, w0, #0x1000
0xfffffff009159978: e00313aa  mov	x0, x19
0xfffffff00915997c: 61008052  mov	w1, #3
0xfffffff009159980: 2bd4ff97  bl	#0xfffffff00914ea2c
0xfffffff009159984: e8024039  ldrb	w8, [x23]
0xfffffff009159988: a8000034  cbz	w8, #0xfffffff00915999c
0xfffffff00915998c: f65700a9  stp	x22, x21, [sp]
0xfffffff009159990: 8019ff90  adrp	x0, #0xfffffff007489000
0xfffffff009159994: 006c3991  add	x0, x0, #0xe5b
0xfffffff009159998: 79000014  b	#0xfffffff009159b7c
0xfffffff00915999c: 40d1b597  bl	#0xfffffff007ecde9c
0xfffffff0091599a0: a0000034  cbz	w0, #0xfffffff0091599b4
0xfffffff0091599a4: f65700a9  stp	x22, x21, [sp]
0xfffffff0091599a8: 8019ff90  adrp	x0, #0xfffffff007489000
0xfffffff0091599ac: 006c3991  add	x0, x0, #0xe5b
0xfffffff0091599b0: 7c000014  b	#0xfffffff009159ba0
0xfffffff0091599b4: f65700a9  stp	x22, x21, [sp]
0xfffffff0091599b8: 8019ff90  adrp	x0, #0xfffffff007489000
0xfffffff0091599bc: 006c3991  add	x0, x0, #0xe5b
0xfffffff0091599c0: 7d000014  b	#0xfffffff009159bb4
0xfffffff0091599c4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0091599c8: 8819ff90  adrp	x8, #0xfffffff007489000
0xfffffff0091599cc: 08113991  add	x8, x8, #0xe44
0xfffffff0091599d0: 29008052  mov	w9, #1
0xfffffff0091599d4: e82700a9  stp	x8, x9, [sp]
0xfffffff0091599d8: 8019ff90  adrp	x0, #0xfffffff007489000
0xfffffff0091599dc: 00583a91  add	x0, x0, #0xe96
0xfffffff0091599e0: dc56cc97  bl	#0xfffffff00846f550
0xfffffff0091599e4: e0a30091  add	x0, sp, #0x28
0xfffffff0091599e8: 01008052  mov	w1, #0
0xfffffff0091599ec: 02018052  mov	w2, #8
0xfffffff0091599f0: 74ccaf97  bl	#0xfffffff007d4cbc0
0xfffffff0091599f4: 080280d2  mov	x8, #0x10
0xfffffff0091599f8: 8800a0f2  movk	x8, #4, lsl #16
0xfffffff0091599fc: a868caf2  movk	x8, #0x5345, lsl #32
0xfffffff009159a00: 48a8e9f2  movk	x8, #0x4d42, lsl #48
0xfffffff009159a04: e81700f9  str	x8, [sp, #0x28]
0xfffffff009159a08: e1a30091  add	x1, sp, #0x28
0xfffffff009159a0c: e2930091  add	x2, sp, #0x24
0xfffffff009159a10: e00313aa  mov	x0, x19
0xfffffff009159a14: 1bfaff97  bl	#0xfffffff009158280
0xfffffff009159a18: f60300aa  mov	x22, x0
0xfffffff009159a1c: a0000034  cbz	w0, #0xfffffff009159a30
0xfffffff009159a20: 54598052  mov	w20, #0x2ca
0xfffffff009159a24: 1400bc72  movk	w20, #0xe000, lsl #16
