; Candidate 6157
; ADRP+ADD at VM 0xfffffff008817a94 (fileoff 0x1813a94): page=0x1fe9fc000 add_imm=0xe0f

0xfffffff008817a14: 27fdff97  bl	#0xfffffff008816eb0
0xfffffff008817a18: a08fffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff008817a1c: 00601291  add	x0, x0, #0x498
0xfffffff008817a20: e1031baa  mov	x1, x27
0xfffffff008817a24: 3afbec97  bl	#0xfffffff00835670c
0xfffffff008817a28: fb031caa  mov	x27, x28
0xfffffff008817a2c: 24ffff17  b	#0xfffffff0088176bc
0xfffffff008817a30: 7f2303d5  pacibsp	
0xfffffff008817a34: ffc301d1  sub	sp, sp, #0x70
0xfffffff008817a38: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008817a3c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008817a40: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008817a44: fd830191  add	x29, sp, #0x60
0xfffffff008817a48: f30300aa  mov	x19, x0
0xfffffff008817a4c: 800e8052  mov	w0, #0x74
0xfffffff008817a50: c1008052  mov	w1, #6
0xfffffff008817a54: 5f8f0194  bl	#0xfffffff00887b7d0
0xfffffff008817a58: 40020034  cbz	w0, #0xfffffff008817aa0
0xfffffff008817a5c: 800e8052  mov	w0, #0x74
0xfffffff008817a60: 6e8f0194  bl	#0xfffffff00887b818
0xfffffff008817a64: f50300aa  mov	x21, x0
0xfffffff008817a68: d1710294  bl	#0xfffffff0088b41ac
0xfffffff008817a6c: f40300aa  mov	x20, x0
0xfffffff008817a70: c0008052  mov	w0, #6
0xfffffff008817a74: 778f0194  bl	#0xfffffff00887b850
0xfffffff008817a78: 75030034  cbz	w21, #0xfffffff008817ae4
0xfffffff008817a7c: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817a80: 08353c91  add	x8, x8, #0xf0d
0xfffffff008817a84: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008817a88: 880e8052  mov	w8, #0x74
0xfffffff008817a8c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008817a90: f40300f9  str	x20, [sp]
0xfffffff008817a94: e04fff90  adrp	x0, #0xfffffff007213000
0xfffffff008817a98: 003c3891  add	x0, x0, #0xe0f
0xfffffff008817a9c: 717ed697  bl	#0xfffffff007db7460
0xfffffff008817aa0: 930400b4  cbz	x19, #0xfffffff008817b30
0xfffffff008817aa4: 751e40f9  ldr	x21, [x19, #0x38]
0xfffffff008817aa8: 685241b9  ldr	w8, [x19, #0x150]
0xfffffff008817aac: 1f050071  cmp	w8, #1
0xfffffff008817ab0: 4b070054  b.lt	#0xfffffff008817b98
0xfffffff008817ab4: 160080d2  mov	x22, #0
0xfffffff008817ab8: 69c20591  add	x9, x19, #0x170
0xfffffff008817abc: 2a00a052  mov	w10, #0x10000
0xfffffff008817ac0: 0b499752  mov	w11, #0xba48
0xfffffff008817ac4: 6b00a072  movk	w11, #3, lsl #16
0xfffffff008817ac8: 2c0140b9  ldr	w12, [x9]
0xfffffff008817acc: 4c21cc9a  lsl	x12, x10, x12
0xfffffff008817ad0: 960116aa  orr	x22, x12, x22
0xfffffff008817ad4: 29010b8b  add	x9, x9, x11
0xfffffff008817ad8: 080500f1  subs	x8, x8, #1
0xfffffff008817adc: 61ffff54  b.ne	#0xfffffff008817ac8
0xfffffff008817ae0: 2f000014  b	#0xfffffff008817b9c
0xfffffff008817ae4: b2710294  bl	#0xfffffff0088b41ac
0xfffffff008817ae8: f40300aa  mov	x20, x0
0xfffffff008817aec: c0008052  mov	w0, #6
0xfffffff008817af0: 588f0194  bl	#0xfffffff00887b850
0xfffffff008817af4: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817af8: 08353c91  add	x8, x8, #0xf0d
0xfffffff008817afc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008817b00: 880e8052  mov	w8, #0x74
0xfffffff008817b04: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008817b08: f40300f9  str	x20, [sp]
0xfffffff008817b0c: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008817b10: 00003a91  add	x0, x0, #0xe80
