; Candidate 11325
; ADRP+ADD at VM 0xfffffff008ef1ac8 (fileoff 0x1eedac8): page=0x1fe519000 add_imm=0xdc0

0xfffffff008ef1a48: e90341a9  ldp	x9, x0, [sp, #0x10]
0xfffffff008ef1a4c: 091d00f9  str	x9, [x8, #0x38]
0xfffffff008ef1a50: c0f7ffb4  cbz	x0, #0xfffffff008ef1948
0xfffffff008ef1a54: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef1a58: 1f0100f1  cmp	x8, #0
0xfffffff008ef1a5c: ed130054  b.le	#0xfffffff008ef1cd8
0xfffffff008ef1a60: 080500f1  subs	x8, x8, #1
0xfffffff008ef1a64: 080400f9  str	x8, [x0, #8]
0xfffffff008ef1a68: 41010054  b.ne	#0xfffffff008ef1a90
0xfffffff008ef1a6c: 100040f9  ldr	x16, [x0]
0xfffffff008ef1a70: f10300aa  mov	x17, x0
0xfffffff008ef1a74: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef1a78: 301ac1da  autda	x16, x17
0xfffffff008ef1a7c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008ef1a80: e90310aa  mov	x9, x16
0xfffffff008ef1a84: f10309aa  mov	x17, x9
0xfffffff008ef1a88: 1199e4f2  movk	x17, #0x24c8, lsl #48
0xfffffff008ef1a8c: 11093fd7  blraa	x8, x17
0xfffffff008ef1a90: 00008052  mov	w0, #0
0xfffffff008ef1a94: adffff17  b	#0xfffffff008ef1948
0xfffffff008ef1a98: 6a2240f9  ldr	x10, [x19, #0x40]
0xfffffff008ef1a9c: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff008ef1aa0: 080540f9  ldr	x8, [x8, #8]
0xfffffff008ef1aa4: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff008ef1aa8: 480140f9  ldr	x8, [x10]
0xfffffff008ef1aac: 480100b4  cbz	x8, #0xfffffff008ef1ad4
0xfffffff008ef1ab0: 4a0940b9  ldr	w10, [x10, #8]
0xfffffff008ef1ab4: 0a0d0a8b  add	x10, x8, x10, lsl #3
0xfffffff008ef1ab8: 4a0108eb  subs	x10, x10, x8
0xfffffff008ef1abc: 63000054  b.lo	#0xfffffff008ef1ac8
0xfffffff008ef1ac0: 4bfd60d3  lsr	x11, x10, #0x20
0xfffffff008ef1ac4: ab0000b4  cbz	x11, #0xfffffff008ef1ad8
0xfffffff008ef1ac8: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1acc: 00003791  add	x0, x0, #0xdc0
0xfffffff008ef1ad0: 11ffff97  bl	#0xfffffff008ef1714
0xfffffff008ef1ad4: 0a008052  mov	w10, #0
0xfffffff008ef1ad8: 3f0100f1  cmp	x9, #0
0xfffffff008ef1adc: 2c5589da  cneg	x12, x9, mi
0xfffffff008ef1ae0: 8bf17dd3  lsl	x11, x12, #3
0xfffffff008ef1ae4: 0d00f092  mov	x13, #0x7fffffffffffffff
0xfffffff008ef1ae8: adfd498b  add	x13, x13, x9, lsr #63
0xfffffff008ef1aec: 8cfd7dd3  lsr	x12, x12, #0x3d
0xfffffff008ef1af0: 9f0100f1  cmp	x12, #0
0xfffffff008ef1af4: 62014dfa  ccmp	x11, x13, #2, eq
0xfffffff008ef1af8: e80d0054  b.hi	#0xfffffff008ef1cb4
0xfffffff008ef1afc: 3f0100f1  cmp	x9, #0
0xfffffff008ef1b00: 69a58bda  cneg	x9, x11, lt
0xfffffff008ef1b04: 3fc129eb  cmp	x9, w9, sxtw
0xfffffff008ef1b08: c10d0054  b.ne	#0xfffffff008ef1cc0
0xfffffff008ef1b0c: e90cf837  tbnz	w9, #0x1f, #0xfffffff008ef1ca8
0xfffffff008ef1b10: 2b210011  add	w11, w9, #8
0xfffffff008ef1b14: 7f010a6b  cmp	w11, w10
0xfffffff008ef1b18: 880c0054  b.hi	#0xfffffff008ef1ca8
0xfffffff008ef1b1c: 29717d92  and	x9, x9, #0xfffffff8
0xfffffff008ef1b20: 140109ab  adds	x20, x8, x9
0xfffffff008ef1b24: e9379f1a  cset	w9, hs
0xfffffff008ef1b28: 28014093  sbfx	x8, x9, #0, #1
0xfffffff008ef1b2c: 090109ca  eor	x9, x8, x9
0xfffffff008ef1b30: e90c00b5  cbnz	x9, #0xfffffff008ef1ccc
0xfffffff008ef1b34: c80cf8b7  tbnz	x8, #0x3f, #0xfffffff008ef1ccc
0xfffffff008ef1b38: f50f40f9  ldr	x21, [sp, #0x18]
0xfffffff008ef1b3c: 800240f9  ldr	x0, [x20]
0xfffffff008ef1b40: 000200b4  cbz	x0, #0xfffffff008ef1b80
0xfffffff008ef1b44: 080440f9  ldr	x8, [x0, #8]
