; Candidate 5133
; ADRP+ADD at VM 0xfffffff0087dace8 (fileoff 0x17d6ce8): page=0x1fea0f000 add_imm=0xe80

0xfffffff0087dac68: 18020034  cbz	w24, #0xfffffff0087daca8
0xfffffff0087dac6c: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dac70: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dac74: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dac78: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dac7c: 08a52e91  add	x8, x8, #0xba9
0xfffffff0087dac80: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dac84: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dac88: 081d0291  add	x8, x8, #0x87
0xfffffff0087dac8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dac90: 280a8052  mov	w8, #0x51
0xfffffff0087dac94: c051ff90  adrp	x0, #0xfffffff007212000
0xfffffff0087dac98: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dac9c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087daca0: f071d797  bl	#0xfffffff007db7460
0xfffffff0087daca4: 19000014  b	#0xfffffff0087dad08
0xfffffff0087daca8: 41650394  bl	#0xfffffff0088b41ac
0xfffffff0087dacac: f70300aa  mov	x23, x0
0xfffffff0087dacb0: c0008052  mov	w0, #6
0xfffffff0087dacb4: e7820294  bl	#0xfffffff00887b850
0xfffffff0087dacb8: e80316aa  mov	x8, x22
0xfffffff0087dacbc: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dacc0: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dacc4: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dacc8: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087daccc: 08a52e91  add	x8, x8, #0xba9
0xfffffff0087dacd0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dacd4: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dacd8: 081d0291  add	x8, x8, #0x87
0xfffffff0087dacdc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dace0: 280a8052  mov	w8, #0x51
0xfffffff0087dace4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dace8: 6050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dacec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dacf0: 6191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dacf4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dacf8: 0353ffd0  adrp	x3, #0xfffffff00723c000
0xfffffff0087dacfc: 63f42d91  add	x3, x3, #0xb7d
0xfffffff0087dad00: 02008052  mov	w2, #0
0xfffffff0087dad04: 0b61ed97  bl	#0xfffffff008333130
0xfffffff0087dad08: e00316aa  mov	x0, x22
0xfffffff0087dad0c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087dad10: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087dad14: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087dad18: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087dad1c: ff830291  add	sp, sp, #0xa0
0xfffffff0087dad20: ff0f5fd6  retab	
0xfffffff0087dad24: 7f2303d5  pacibsp	
0xfffffff0087dad28: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087dad2c: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0087dad30: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087dad34: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087dad38: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087dad3c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087dad40: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087dad44: fd830291  add	x29, sp, #0xa0
0xfffffff0087dad48: f50302aa  mov	x21, x2
0xfffffff0087dad4c: fb0301aa  mov	x27, x1
0xfffffff0087dad50: f30300aa  mov	x19, x0
0xfffffff0087dad54: 200a8052  mov	w0, #0x51
0xfffffff0087dad58: 01018052  mov	w1, #8
0xfffffff0087dad5c: 9d820294  bl	#0xfffffff00887b7d0
0xfffffff0087dad60: 60050034  cbz	w0, #0xfffffff0087dae0c
0xfffffff0087dad64: 200a8052  mov	w0, #0x51
