; Candidate 5052
; ADRP+ADD at VM 0xfffffff0087d4c70 (fileoff 0x17d0c70): page=0x1fea15000 add_imm=0xe80

0xfffffff0087d4bf0: f60300aa  mov	x22, x0
0xfffffff0087d4bf4: 6e7d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d4bf8: f50300aa  mov	x21, x0
0xfffffff0087d4bfc: e0008052  mov	w0, #7
0xfffffff0087d4c00: 149b0294  bl	#0xfffffff00887b850
0xfffffff0087d4c04: d6010034  cbz	w22, #0xfffffff0087d4c3c
0xfffffff0087d4c08: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d4c0c: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4c10: 09352691  add	x9, x8, #0x98d
0xfffffff0087d4c14: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d4c18: 08712591  add	x8, x8, #0x95c
0xfffffff0087d4c1c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d4c20: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d4c24: 080a8052  mov	w8, #0x50
0xfffffff0087d4c28: e051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d4c2c: 00dc2791  add	x0, x0, #0x9f7
0xfffffff0087d4c30: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d4c34: 0b8ad797  bl	#0xfffffff007db7460
0xfffffff0087d4c38: 16000014  b	#0xfffffff0087d4c90
0xfffffff0087d4c3c: 5c7d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d4c40: f50300aa  mov	x21, x0
0xfffffff0087d4c44: e0008052  mov	w0, #7
0xfffffff0087d4c48: 029b0294  bl	#0xfffffff00887b850
0xfffffff0087d4c4c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d4c50: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4c54: 09352691  add	x9, x8, #0x98d
0xfffffff0087d4c58: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d4c5c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d4c60: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d4c64: 080a8052  mov	w8, #0x50
0xfffffff0087d4c68: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d4c6c: f50300f9  str	x21, [sp]
0xfffffff0087d4c70: a050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d4c74: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d4c78: a191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d4c7c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d4c80: 2353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d4c84: 63941491  add	x3, x3, #0x525
0xfffffff0087d4c88: 02008052  mov	w2, #0
0xfffffff0087d4c8c: 2979ed97  bl	#0xfffffff008333130
0xfffffff0087d4c90: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff0087d4c94: 96138052  mov	w22, #0x9c
0xfffffff0087d4c98: d674a572  movk	w22, #0x2ba6, lsl #16
0xfffffff0087d4c9c: 80138052  mov	w0, #0x9c
0xfffffff0087d4ca0: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d4ca4: a1018052  mov	w1, #0xd
0xfffffff0087d4ca8: 030080d2  mov	x3, #0
0xfffffff0087d4cac: 040080d2  mov	x4, #0
0xfffffff0087d4cb0: 050080d2  mov	x5, #0
0xfffffff0087d4cb4: 94a4e697  bl	#0xfffffff00817df04
0xfffffff0087d4cb8: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d4cbc: 100040f9  ldr	x16, [x0]
0xfffffff0087d4cc0: f10300aa  mov	x17, x0
0xfffffff0087d4cc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d4cc8: 301ac1da  autda	x16, x17
0xfffffff0087d4ccc: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d4cd0: e90310aa  mov	x9, x16
0xfffffff0087d4cd4: 90030090  adrp	x16, #0xfffffff008844000
0xfffffff0087d4cd8: 10a20791  add	x16, x16, #0x1e8
0xfffffff0087d4cdc: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d4ce0: 3002c1da  pacia	x16, x17
0xfffffff0087d4ce4: e10310aa  mov	x1, x16
0xfffffff0087d4ce8: e20314aa  mov	x2, x20
0xfffffff0087d4cec: 030080d2  mov	x3, #0
