; Candidate 9708
; ADRP+ADD at VM 0xfffffff008ad6cc4 (fileoff 0x1ad2cc4): page=0x1fe7ed000 add_imm=0xe0b

0xfffffff008ad6c44: f30300aa  mov	x19, x0
0xfffffff008ad6c48: 100040f9  ldr	x16, [x0]
0xfffffff008ad6c4c: f10300aa  mov	x17, x0
0xfffffff008ad6c50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ad6c54: 301ac1da  autda	x16, x17
0xfffffff008ad6c58: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008ad6c5c: e90310aa  mov	x9, x16
0xfffffff008ad6c60: 01008052  mov	w1, #0
0xfffffff008ad6c64: f10309aa  mov	x17, x9
0xfffffff008ad6c68: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff008ad6c6c: 11093fd7  blraa	x8, x17
0xfffffff008ad6c70: f40300aa  mov	x20, x0
0xfffffff008ad6c74: b00240f9  ldr	x16, [x21]
0xfffffff008ad6c78: f10315aa  mov	x17, x21
0xfffffff008ad6c7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ad6c80: 301ac1da  autda	x16, x17
0xfffffff008ad6c84: f10310aa  mov	x17, x16
0xfffffff008ad6c88: f147c1da  xpacd	x17
0xfffffff008ad6c8c: 1f0211eb  cmp	x16, x17
0xfffffff008ad6c90: 40000054  b.eq	#0xfffffff008ad6c98
0xfffffff008ad6c94: 408e38d4  brk	#0xc472
0xfffffff008ad6c98: 08a20791  add	x8, x16, #0x1e8
0xfffffff008ad6c9c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008ad6ca0: e00315aa  mov	x0, x21
0xfffffff008ad6ca4: 010080d2  mov	x1, #0
0xfffffff008ad6ca8: f10308aa  mov	x17, x8
0xfffffff008ad6cac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008ad6cb0: 31093fd7  blraa	x9, x17
0xfffffff008ad6cb4: 7c3fffb0  adrp	x28, #0xfffffff0072c3000
0xfffffff008ad6cb8: 9cb32d91  add	x28, x28, #0xb6c
0xfffffff008ad6cbc: fc5301a9  stp	x28, x20, [sp, #0x10]
0xfffffff008ad6cc0: e05700a9  stp	x0, x21, [sp]
0xfffffff008ad6cc4: 603fffb0  adrp	x0, #0xfffffff0072c3000
0xfffffff008ad6cc8: 002c3891  add	x0, x0, #0xe0b
0xfffffff008ad6ccc: d500e297  bl	#0xfffffff008357020
0xfffffff008ad6cd0: f4110035  cbnz	w20, #0xfffffff008ad6f0c
0xfffffff008ad6cd4: 700240f9  ldr	x16, [x19]
0xfffffff008ad6cd8: f10313aa  mov	x17, x19
0xfffffff008ad6cdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ad6ce0: 301ac1da  autda	x16, x17
0xfffffff008ad6ce4: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008ad6ce8: e90310aa  mov	x9, x16
0xfffffff008ad6cec: e00313aa  mov	x0, x19
0xfffffff008ad6cf0: 01008252  mov	w1, #0x1000
0xfffffff008ad6cf4: f10309aa  mov	x17, x9
0xfffffff008ad6cf8: d1dae7f2  movk	x17, #0x3ed6, lsl #48
0xfffffff008ad6cfc: 11093fd7  blraa	x8, x17
0xfffffff008ad6d00: f40300aa  mov	x20, x0
0xfffffff008ad6d04: 001100b4  cbz	x0, #0xfffffff008ad6f24
0xfffffff008ad6d08: 900240f9  ldr	x16, [x20]
0xfffffff008ad6d0c: f10314aa  mov	x17, x20
0xfffffff008ad6d10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ad6d14: 301ac1da  autda	x16, x17
0xfffffff008ad6d18: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008ad6d1c: e90310aa  mov	x9, x16
0xfffffff008ad6d20: e00314aa  mov	x0, x20
0xfffffff008ad6d24: f10309aa  mov	x17, x9
0xfffffff008ad6d28: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff008ad6d2c: 11093fd7  blraa	x8, x17
0xfffffff008ad6d30: fb0300aa  mov	x27, x0
0xfffffff008ad6d34: 41070011  add	w1, w26, #1
0xfffffff008ad6d38: f65be097  bl	#0xfffffff0082edd10
0xfffffff008ad6d3c: f60300aa  mov	x22, x0
0xfffffff008ad6d40: c01100b4  cbz	x0, #0xfffffff008ad6f78
