; Candidate 16719
; ADRP+ADD at VM 0xfffffff009f33c5c (fileoff 0x2f2fc5c): page=0x1fd92a000 add_imm=0xe31

0xfffffff009f33bdc: ea2700a9  stp	x10, x9, [sp]
0xfffffff009f33be0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f33be4: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33be8: 00403691  add	x0, x0, #0xd90
0xfffffff009f33bec: 362ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33bf0: 9a018052  mov	w26, #0xc
0xfffffff009f33bf4: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff009f33bf8: 31000014  b	#0xfffffff009f33cbc
0xfffffff009f33bfc: f63340f9  ldr	x22, [sp, #0x60]
0xfffffff009f33c00: c8424039  ldrb	w8, [x22, #0x10]
0xfffffff009f33c04: 08120037  tbnz	w8, #0, #0xfffffff009f33e44
0xfffffff009f33c08: 1a008052  mov	w26, #0
0xfffffff009f33c0c: c6000014  b	#0xfffffff009f33f24
0xfffffff009f33c10: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009f33c14: 7f848a97  bl	#0xfffffff0081d4e10
0xfffffff009f33c18: fa2f40f9  ldr	x26, [sp, #0x58]
0xfffffff009f33c1c: c01400b4  cbz	x0, #0xfffffff009f33eb4
0xfffffff009f33c20: e20300aa  mov	x2, x0
0xfffffff009f33c24: e90200cb  sub	x9, x23, x0
0xfffffff009f33c28: 2a011a8b  add	x10, x9, x26
0xfffffff009f33c2c: c87240f9  ldr	x8, [x22, #0xe0]
0xfffffff009f33c30: 5f0108eb  cmp	x10, x8
0xfffffff009f33c34: a2130054  b.hs	#0xfffffff009f33ea8
0xfffffff009f33c38: 093e8452  mov	w9, #0x21f0
0xfffffff009f33c3c: 8902098b  add	x9, x20, x9
0xfffffff009f33c40: e22303a9  stp	x2, x8, [sp, #0x30]
0xfffffff009f33c44: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009f33c48: fa2302a9  stp	x26, x8, [sp, #0x20]
0xfffffff009f33c4c: 686d8052  mov	w8, #0x36b
0xfffffff009f33c50: 4ac9fed0  adrp	x10, #0xfffffff00785d000
0xfffffff009f33c54: 4a2d3791  add	x10, x10, #0xdcb
0xfffffff009f33c58: ea2300a9  stp	x10, x8, [sp]
0xfffffff009f33c5c: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33c60: 00c43891  add	x0, x0, #0xe31
0xfffffff009f33c64: e95f01a9  stp	x9, x23, [sp, #0x10]
0xfffffff009f33c68: 172ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33c6c: ba008052  mov	w26, #5
0xfffffff009f33c70: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff009f33c74: 10000014  b	#0xfffffff009f33cb4
0xfffffff009f33c78: a9c8fef0  adrp	x9, #0xfffffff00784a000
0xfffffff009f33c7c: 299d0691  add	x9, x9, #0x1a7
0xfffffff009f33c80: ea2340f9  ldr	x10, [sp, #0x40]
0xfffffff009f33c84: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff009f33c88: e9eb02a9  stp	x9, x26, [sp, #0x28]
0xfffffff009f33c8c: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009f33c90: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f33c94: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f33c98: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33c9c: 082d3791  add	x8, x8, #0xdcb
0xfffffff009f33ca0: 896c8052  mov	w9, #0x364
0xfffffff009f33ca4: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33ca8: 00943791  add	x0, x0, #0xde5
0xfffffff009f33cac: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33cb0: 052ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33cb4: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009f33cb8: 08868a97  bl	#0xfffffff0081d54d8
0xfffffff009f33cbc: 680340f9  ldr	x8, [x27]
0xfffffff009f33cc0: 680100b4  cbz	x8, #0xfffffff009f33cec
0xfffffff009f33cc4: 090540f9  ldr	x9, [x8, #8]
0xfffffff009f33cc8: 3f011beb  cmp	x9, x27
0xfffffff009f33ccc: 81140054  b.ne	#0xfffffff009f33f5c
0xfffffff009f33cd0: 690740f9  ldr	x9, [x27, #8]
0xfffffff009f33cd4: 2a0140f9  ldr	x10, [x9]
0xfffffff009f33cd8: 5f011beb  cmp	x10, x27
