; Candidate 4861
; ADRP+ADD at VM 0xfffffff0087ca14c (fileoff 0x17c614c): page=0x1fea1f000 add_imm=0xe80

0xfffffff0087ca0cc: 88024039  ldrb	w8, [x20]
0xfffffff0087ca0d0: 08050034  cbz	w8, #0xfffffff0087ca170
0xfffffff0087ca0d4: a00f8052  mov	w0, #0x7d
0xfffffff0087ca0d8: 81008052  mov	w1, #4
0xfffffff0087ca0dc: bdc50294  bl	#0xfffffff00887b7d0
0xfffffff0087ca0e0: 60040034  cbz	w0, #0xfffffff0087ca16c
0xfffffff0087ca0e4: a00f8052  mov	w0, #0x7d
0xfffffff0087ca0e8: ccc50294  bl	#0xfffffff00887b818
0xfffffff0087ca0ec: f90300aa  mov	x25, x0
0xfffffff0087ca0f0: 2fa80394  bl	#0xfffffff0088b41ac
0xfffffff0087ca0f4: f80300aa  mov	x24, x0
0xfffffff0087ca0f8: 80008052  mov	w0, #4
0xfffffff0087ca0fc: d5c50294  bl	#0xfffffff00887b850
0xfffffff0087ca100: 59010034  cbz	w25, #0xfffffff0087ca128
0xfffffff0087ca104: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca108: e8ef01a9  stp	x8, x27, [sp, #0x18]
0xfffffff0087ca10c: a80f8052  mov	w8, #0x7d
0xfffffff0087ca110: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ca114: f80300f9  str	x24, [sp]
0xfffffff0087ca118: 2052ff90  adrp	x0, #0xfffffff00720e000
0xfffffff0087ca11c: 00083c91  add	x0, x0, #0xf02
0xfffffff0087ca120: d0b4d797  bl	#0xfffffff007db7460
0xfffffff0087ca124: 12000014  b	#0xfffffff0087ca16c
0xfffffff0087ca128: 21a80394  bl	#0xfffffff0088b41ac
0xfffffff0087ca12c: f80300aa  mov	x24, x0
0xfffffff0087ca130: 80008052  mov	w0, #4
0xfffffff0087ca134: c7c50294  bl	#0xfffffff00887b850
0xfffffff0087ca138: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca13c: e8ef01a9  stp	x8, x27, [sp, #0x18]
0xfffffff0087ca140: a80f8052  mov	w8, #0x7d
0xfffffff0087ca144: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ca148: f80300f9  str	x24, [sp]
0xfffffff0087ca14c: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ca150: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ca154: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ca158: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ca15c: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087ca160: 63181b91  add	x3, x3, #0x6c6
0xfffffff0087ca164: 02008052  mov	w2, #0
0xfffffff0087ca168: f2a3ed97  bl	#0xfffffff008333130
0xfffffff0087ca16c: 9f020039  strb	wzr, [x20]
0xfffffff0087ca170: 9f0f0071  cmp	w28, #3
0xfffffff0087ca174: 01050054  b.ne	#0xfffffff0087ca214
0xfffffff0087ca178: a00f8052  mov	w0, #0x7d
0xfffffff0087ca17c: 81008052  mov	w1, #4
0xfffffff0087ca180: 94c50294  bl	#0xfffffff00887b7d0
0xfffffff0087ca184: 60040034  cbz	w0, #0xfffffff0087ca210
0xfffffff0087ca188: a00f8052  mov	w0, #0x7d
0xfffffff0087ca18c: a3c50294  bl	#0xfffffff00887b818
0xfffffff0087ca190: f90300aa  mov	x25, x0
0xfffffff0087ca194: 06a80394  bl	#0xfffffff0088b41ac
0xfffffff0087ca198: f80300aa  mov	x24, x0
0xfffffff0087ca19c: 80008052  mov	w0, #4
0xfffffff0087ca1a0: acc50294  bl	#0xfffffff00887b850
0xfffffff0087ca1a4: 59010034  cbz	w25, #0xfffffff0087ca1cc
0xfffffff0087ca1a8: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca1ac: e8ef01a9  stp	x8, x27, [sp, #0x18]
0xfffffff0087ca1b0: a80f8052  mov	w8, #0x7d
0xfffffff0087ca1b4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ca1b8: f80300f9  str	x24, [sp]
0xfffffff0087ca1bc: 2052ff90  adrp	x0, #0xfffffff00720e000
0xfffffff0087ca1c0: 00f83d91  add	x0, x0, #0xf7e
0xfffffff0087ca1c4: a7b4d797  bl	#0xfffffff007db7460
0xfffffff0087ca1c8: 12000014  b	#0xfffffff0087ca210
