; Candidate 13408
; ADRP+ADD at VM 0xfffffff0092cec68 (fileoff 0x22cac68): page=0x1fe211000 add_imm=0xe26

0xfffffff0092cebe8: 400300b4  cbz	x0, #0xfffffff0092cec50
0xfffffff0092cebec: 700240f9  ldr	x16, [x19]
0xfffffff0092cebf0: f10313aa  mov	x17, x19
0xfffffff0092cebf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cebf8: 301ac1da  autda	x16, x17
0xfffffff0092cebfc: 116e80d2  mov	x17, #0x370
0xfffffff0092cec00: 1002118b  add	x16, x16, x17
0xfffffff0092cec04: 080240f9  ldr	x8, [x16]
0xfffffff0092cec08: e90310aa  mov	x9, x16
0xfffffff0092cec0c: e00313aa  mov	x0, x19
0xfffffff0092cec10: f10309aa  mov	x17, x9
0xfffffff0092cec14: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cec18: 11093fd7  blraa	x8, x17
0xfffffff0092cec1c: 100040f9  ldr	x16, [x0]
0xfffffff0092cec20: f10300aa  mov	x17, x0
0xfffffff0092cec24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cec28: 301ac1da  autda	x16, x17
0xfffffff0092cec2c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cec30: 1002118b  add	x16, x16, x17
0xfffffff0092cec34: 080240f9  ldr	x8, [x16]
0xfffffff0092cec38: e90310aa  mov	x9, x16
0xfffffff0092cec3c: 010080d2  mov	x1, #0
0xfffffff0092cec40: f10309aa  mov	x17, x9
0xfffffff0092cec44: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cec48: 11093fd7  blraa	x8, x17
0xfffffff0092cec4c: 03000014  b	#0xfffffff0092cec58
0xfffffff0092cec50: 8010ff90  adrp	x0, #0xfffffff0074de000
0xfffffff0092cec54: 00102191  add	x0, x0, #0x844
0xfffffff0092cec58: a8024079  ldrh	w8, [x21]
0xfffffff0092cec5c: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cec60: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cec64: f60300f9  str	x22, [sp]
0xfffffff0092cec68: 8010ffb0  adrp	x0, #0xfffffff0074df000
0xfffffff0092cec6c: 00983891  add	x0, x0, #0xe26
0xfffffff0092cec70: ec20c297  bl	#0xfffffff008357020
0xfffffff0092cec74: 75b23991  add	x21, x19, #0xe6c
0xfffffff0092cec78: 9410ffb0  adrp	x20, #0xfffffff0074df000
0xfffffff0092cec7c: 94062d91  add	x20, x20, #0xb41
0xfffffff0092cec80: e00314aa  mov	x0, x20
0xfffffff0092cec84: e10315aa  mov	x1, x21
0xfffffff0092cec88: 42008052  mov	w2, #2
0xfffffff0092cec8c: cb78c697  bl	#0xfffffff00846cfb8
0xfffffff0092cec90: c0070034  cbz	w0, #0xfffffff0092ced88
0xfffffff0092cec94: 700240f9  ldr	x16, [x19]
0xfffffff0092cec98: f10313aa  mov	x17, x19
0xfffffff0092cec9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ceca0: 301ac1da  autda	x16, x17
0xfffffff0092ceca4: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ceca8: 1002118b  add	x16, x16, x17
0xfffffff0092cecac: 080240f9  ldr	x8, [x16]
0xfffffff0092cecb0: e90310aa  mov	x9, x16
0xfffffff0092cecb4: e00313aa  mov	x0, x19
0xfffffff0092cecb8: 010080d2  mov	x1, #0
0xfffffff0092cecbc: f10309aa  mov	x17, x9
0xfffffff0092cecc0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cecc4: 11093fd7  blraa	x8, x17
0xfffffff0092cecc8: f60300aa  mov	x22, x0
0xfffffff0092ceccc: 700240f9  ldr	x16, [x19]
0xfffffff0092cecd0: f10313aa  mov	x17, x19
0xfffffff0092cecd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cecd8: 301ac1da  autda	x16, x17
0xfffffff0092cecdc: 116e80d2  mov	x17, #0x370
0xfffffff0092cece0: 1002118b  add	x16, x16, x17
0xfffffff0092cece4: 080240f9  ldr	x8, [x16]
