; Candidate 16224
; ADRP+ADD at VM 0xfffffff009e325ec (fileoff 0x2e2e5ec): page=0x5a1000 add_imm=0xe30

0xfffffff009e3256c: 03000014  b	#0xfffffff009e32578
0xfffffff009e32570: 150080d2  mov	x21, #0
0xfffffff009e32574: d4028052  mov	w20, #0x16
0xfffffff009e32578: 13e49352  mov	w19, #0x9f20
0xfffffff009e3257c: f301a072  movk	w19, #0xf, lsl #16
0xfffffff009e32580: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32584: 089d2091  add	x8, x8, #0x827
0xfffffff009e32588: c99e8052  mov	w9, #0x4f6
0xfffffff009e3258c: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff009e32590: e80300f9  str	x8, [sp]
0xfffffff009e32594: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e32598: 00d01f91  add	x0, x0, #0x7f4
0xfffffff009e3259c: ca340194  bl	#0xfffffff009e7f8c4
0xfffffff009e325a0: 002d00b0  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e325a4: 00c03891  add	x0, x0, #0xe30
0xfffffff009e325a8: 01e49352  mov	w1, #0x9f20
0xfffffff009e325ac: e101a072  movk	w1, #0xf, lsl #16
0xfffffff009e325b0: e20314aa  mov	x2, x20
0xfffffff009e325b4: 5fffff97  bl	#0xfffffff009e32330
0xfffffff009e325b8: 750000b4  cbz	x21, #0xfffffff009e325c4
0xfffffff009e325bc: e00315aa  mov	x0, x21
0xfffffff009e325c0: a0120494  bl	#0xfffffff009f37040
0xfffffff009e325c4: e80314aa  mov	x8, x20
0xfffffff009e325c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e325cc: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e325d0: 08f12e91  add	x8, x8, #0xbbc
0xfffffff009e325d4: 092f8052  mov	w9, #0x178
0xfffffff009e325d8: e82700a9  stp	x8, x9, [sp]
0xfffffff009e325dc: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e325e0: 00302e91  add	x0, x0, #0xb8c
0xfffffff009e325e4: b8340194  bl	#0xfffffff009e7f8c4
0xfffffff009e325e8: 613a0011  add	w1, w19, #0xe
0xfffffff009e325ec: 002d00b0  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e325f0: 00c03891  add	x0, x0, #0xe30
0xfffffff009e325f4: e20314aa  mov	x2, x20
0xfffffff009e325f8: 4effff97  bl	#0xfffffff009e32330
0xfffffff009e325fc: 5b000014  b	#0xfffffff009e32768
0xfffffff009e32600: a83a40f9  ldr	x8, [x21, #0x70]
0xfffffff009e32604: c96240f9  ldr	x9, [x22, #0xc0]
0xfffffff009e32608: 282502f9  str	x8, [x9, #0x448]
0xfffffff009e3260c: d55e10f9  str	x21, [x22, #0x20b8]
0xfffffff009e32610: e00315aa  mov	x0, x21
0xfffffff009e32614: 01008052  mov	w1, #0
0xfffffff009e32618: d51c0494  bl	#0xfffffff009f3996c
0xfffffff009e3261c: c86240f9  ldr	x8, [x22, #0xc0]
0xfffffff009e32620: 0a2542f9  ldr	x10, [x8, #0x448]
0xfffffff009e32624: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32628: 089d2091  add	x8, x8, #0x827
0xfffffff009e3262c: e99f8052  mov	w9, #0x4ff
0xfffffff009e32630: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e32634: e80300f9  str	x8, [sp]
0xfffffff009e32638: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e3263c: 00d82091  add	x0, x0, #0x836
0xfffffff009e32640: 80340194  bl	#0xfffffff009e7f840
0xfffffff009e32644: e00315aa  mov	x0, x21
0xfffffff009e32648: 7e120494  bl	#0xfffffff009f37040
0xfffffff009e3264c: 600640f9  ldr	x0, [x19, #8]
0xfffffff009e32650: 086040f9  ldr	x8, [x0, #0xc0]
0xfffffff009e32654: 000dc03d  ldr	q0, [x8, #0x30]
0xfffffff009e32658: 89cffe90  adrp	x9, #0xfffffff007822000
0xfffffff009e3265c: 2151c03d  ldr	q1, [x9, #0x140]
0xfffffff009e32660: 001ca14e  orr	v0.16b, v0.16b, v1.16b
0xfffffff009e32664: 000d803d  str	q0, [x8, #0x30]
0xfffffff009e32668: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
