; Candidate 1414
; ADRP+ADD at VM 0xfffffff0083ac060 (fileoff 0x13a8060): page=0x1fecf3000 add_imm=0xe17

0xfffffff0083abfe0: 113880d2  mov	x17, #0x1c0
0xfffffff0083abfe4: 1002118b  add	x16, x16, x17
0xfffffff0083abfe8: 080240f9  ldr	x8, [x16]
0xfffffff0083abfec: e90310aa  mov	x9, x16
0xfffffff0083abff0: f10309aa  mov	x17, x9
0xfffffff0083abff4: 11f2f7f2  movk	x17, #0xbf90, lsl #48
0xfffffff0083abff8: 11093fd7  blraa	x8, x17
0xfffffff0083abffc: f90300aa  mov	x25, x0
0xfffffff0083ac000: 02000014  b	#0xfffffff0083ac008
0xfffffff0083ac004: 190080d2  mov	x25, #0
0xfffffff0083ac008: f00240f9  ldr	x16, [x23]
0xfffffff0083ac00c: f10317aa  mov	x17, x23
0xfffffff0083ac010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083ac014: 301ac1da  autda	x16, x17
0xfffffff0083ac018: 113d80d2  mov	x17, #0x1e8
0xfffffff0083ac01c: 1002118b  add	x16, x16, x17
0xfffffff0083ac020: 080240f9  ldr	x8, [x16]
0xfffffff0083ac024: e90310aa  mov	x9, x16
0xfffffff0083ac028: e00317aa  mov	x0, x23
0xfffffff0083ac02c: 010080d2  mov	x1, #0
0xfffffff0083ac030: f10309aa  mov	x17, x9
0xfffffff0083ac034: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0083ac038: 11093fd7  blraa	x8, x17
0xfffffff0083ac03c: e80a40f9  ldr	x8, [x23, #0x10]
0xfffffff0083ac040: 480000b4  cbz	x8, #0xfffffff0083ac048
0xfffffff0083ac044: 080540f9  ldr	x8, [x8, #8]
0xfffffff0083ac048: 3f0300f1  cmp	x25, #0
0xfffffff0083ac04c: a967fff0  adrp	x9, #0xfffffff0070a3000
0xfffffff0083ac050: 29312e91  add	x9, x9, #0xb8c
0xfffffff0083ac054: 2901999a  csel	x9, x9, x25, eq
0xfffffff0083ac058: e02300a9  stp	x0, x8, [sp]
0xfffffff0083ac05c: e90b00f9  str	x9, [sp, #0x10]
0xfffffff0083ac060: 8067fff0  adrp	x0, #0xfffffff00709f000
0xfffffff0083ac064: 005c3891  add	x0, x0, #0xe17
0xfffffff0083ac068: eeabfe97  bl	#0xfffffff008357020
0xfffffff0083ac06c: 61008052  mov	w1, #3
0xfffffff0083ac070: 39000014  b	#0xfffffff0083ac154
0xfffffff0083ac074: 1a0080d2  mov	x26, #0
0xfffffff0083ac078: 1b0080d2  mov	x27, #0
0xfffffff0083ac07c: 35008052  mov	w21, #1
0xfffffff0083ac080: 0e000014  b	#0xfffffff0083ac0b8
0xfffffff0083ac084: 300340f9  ldr	x16, [x25]
0xfffffff0083ac088: f10319aa  mov	x17, x25
0xfffffff0083ac08c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083ac090: 301ac1da  autda	x16, x17
0xfffffff0083ac094: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0083ac098: e90310aa  mov	x9, x16
0xfffffff0083ac09c: e00319aa  mov	x0, x25
0xfffffff0083ac0a0: f10309aa  mov	x17, x9
0xfffffff0083ac0a4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0083ac0a8: 11093fd7  blraa	x8, x17
0xfffffff0083ac0ac: fb0300aa  mov	x27, x0
0xfffffff0083ac0b0: 15008052  mov	w21, #0
0xfffffff0083ac0b4: fa0319aa  mov	x26, x25
0xfffffff0083ac0b8: f00240f9  ldr	x16, [x23]
0xfffffff0083ac0bc: f10317aa  mov	x17, x23
0xfffffff0083ac0c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083ac0c4: 301ac1da  autda	x16, x17
0xfffffff0083ac0c8: 113d80d2  mov	x17, #0x1e8
0xfffffff0083ac0cc: 1002118b  add	x16, x16, x17
0xfffffff0083ac0d0: 080240f9  ldr	x8, [x16]
0xfffffff0083ac0d4: e90310aa  mov	x9, x16
0xfffffff0083ac0d8: e00317aa  mov	x0, x23
0xfffffff0083ac0dc: 010080d2  mov	x1, #0
