; Candidate 10727
; ADRP+ADD at VM 0xfffffff008de46a4 (fileoff 0x1de06a4): page=0x1fe5e0000 add_imm=0xd21

0xfffffff008de4624: c8088052  mov	w8, #0x46
0xfffffff008de4628: 9f030091  mov	sp, x28
0xfffffff008de462c: a4ffff17  b	#0xfffffff008de44bc
0xfffffff008de4630: 07e6bd97  bl	#0xfffffff007d5de4c
0xfffffff008de4634: 7f2303d5  pacibsp	
0xfffffff008de4638: ff0305d1  sub	sp, sp, #0x140
0xfffffff008de463c: fc6f0ea9  stp	x28, x27, [sp, #0xe0]
0xfffffff008de4640: fa670fa9  stp	x26, x25, [sp, #0xf0]
0xfffffff008de4644: f85f10a9  stp	x24, x23, [sp, #0x100]
0xfffffff008de4648: f65711a9  stp	x22, x21, [sp, #0x110]
0xfffffff008de464c: f44f12a9  stp	x20, x19, [sp, #0x120]
0xfffffff008de4650: fd7b13a9  stp	x29, x30, [sp, #0x130]
0xfffffff008de4654: fdc30491  add	x29, sp, #0x130
0xfffffff008de4658: f30304aa  mov	x19, x4
0xfffffff008de465c: f70303aa  mov	x23, x3
0xfffffff008de4660: f60302aa  mov	x22, x2
0xfffffff008de4664: f50301aa  mov	x21, x1
0xfffffff008de4668: f40300aa  mov	x20, x0
0xfffffff008de466c: 6868ff90  adrp	x8, #0xfffffff007af0000
0xfffffff008de4670: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de4674: 080140f9  ldr	x8, [x8]
0xfffffff008de4678: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de467c: daa800f0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008de4680: 5a432c91  add	x26, x26, #0xb10
0xfffffff008de4684: 48034039  ldrb	w8, [x26]
0xfffffff008de4688: f82effd0  adrp	x24, #0xfffffff0073c2000
0xfffffff008de468c: 18b71091  add	x24, x24, #0x42d
0xfffffff008de4690: f92effb0  adrp	x25, #0xfffffff0073c1000
0xfffffff008de4694: 399f0c91  add	x25, x25, #0x327
0xfffffff008de4698: 1f290071  cmp	w8, #0xa
0xfffffff008de469c: a8000054  b.hi	#0xfffffff008de46b0
0xfffffff008de46a0: f96300a9  stp	x25, x24, [sp]
0xfffffff008de46a4: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de46a8: 00843491  add	x0, x0, #0xd21
0xfffffff008de46ac: 5dcad597  bl	#0xfffffff008357020
0xfffffff008de46b0: b60700b4  cbz	x22, #0xfffffff008de47a4
0xfffffff008de46b4: 940700b4  cbz	x20, #0xfffffff008de47a4
0xfffffff008de46b8: 730700b4  cbz	x19, #0xfffffff008de47a4
0xfffffff008de46bc: e8c30091  add	x8, sp, #0x30
0xfffffff008de46c0: 29008052  mov	w9, #1
0xfffffff008de46c4: a90319b8  stur	w9, [x29, #-0x70]
0xfffffff008de46c8: b7431ab8  stur	w23, [x29, #-0x5c]
0xfffffff008de46cc: c002c03d  ldr	q0, [x22]
0xfffffff008de46d0: 0041893c  stur	q0, [x8, #0x94]
0xfffffff008de46d4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008de46d8: 00c1873c  stur	q0, [x8, #0x7c]
0xfffffff008de46dc: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff008de46e0: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff008de46e4: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008de46e8: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008de46ec: 88118052  mov	w8, #0x8c
0xfffffff008de46f0: e81700f9  str	x8, [sp, #0x28]
0xfffffff008de46f4: a3c301d1  sub	x3, x29, #0x70
0xfffffff008de46f8: e5c30091  add	x5, sp, #0x30
0xfffffff008de46fc: e6a30091  add	x6, sp, #0x28
0xfffffff008de4700: e00315aa  mov	x0, x21
0xfffffff008de4704: c1058052  mov	w1, #0x2e
0xfffffff008de4708: 02008052  mov	w2, #0
0xfffffff008de470c: 04038052  mov	w4, #0x18
0xfffffff008de4710: 519081d2  mov	x17, #0xc82
0xfffffff008de4714: 910a3fd7  blraa	x20, x17
0xfffffff008de4718: 60060035  cbnz	w0, #0xfffffff008de47e4
0xfffffff008de471c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008de4720: 1f2d00f1  cmp	x8, #0xb
