; Candidate 3941
; ADRP+ADD at VM 0xfffffff00877544c (fileoff 0x177144c): page=0x1fe9bc000 add_imm=0xd90

0xfffffff0087753cc: 5094ff90  adrp	x16, #0xfffffff0079fd000
0xfffffff0087753d0: 109a41f9  ldr	x16, [x16, #0x330]
0xfffffff0087753d4: 51d296d2  mov	x17, #0xb692
0xfffffff0087753d8: 3002c1da  pacia	x16, x17
0xfffffff0087753dc: e00310aa  mov	x0, x16
0xfffffff0087753e0: 01088052  mov	w1, #0x40
0xfffffff0087753e4: 020080d2  mov	x2, #0
0xfffffff0087753e8: 03008052  mov	w3, #0
0xfffffff0087753ec: 040080d2  mov	x4, #0
0xfffffff0087753f0: 25008052  mov	w5, #1
0xfffffff0087753f4: 070080d2  mov	x7, #0
0xfffffff0087753f8: 6535f197  bl	#0xfffffff0083c298c
0xfffffff0087753fc: f70300aa  mov	x23, x0
0xfffffff008775400: a01100b4  cbz	x0, #0xfffffff008775634
0xfffffff008775404: e00314aa  mov	x0, x20
0xfffffff008775408: ca000094  bl	#0xfffffff008775730
0xfffffff00877540c: e0050034  cbz	w0, #0xfffffff0087754c8
0xfffffff008775410: 96578052  mov	w22, #0x2bc
0xfffffff008775414: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008775418: e00300f9  str	x0, [sp]
0xfffffff00877541c: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff008775420: 00403691  add	x0, x0, #0xd90
0xfffffff008775424: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775428: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877542c: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775430: 63e41a91  add	x3, x3, #0x6b9
0xfffffff008775434: 02008052  mov	w2, #0
0xfffffff008775438: 3ef7ee97  bl	#0xfffffff008333130
0xfffffff00877543c: 770200f9  str	x23, [x19]
0xfffffff008775440: a0000014  b	#0xfffffff0087756c0
0xfffffff008775444: 96578052  mov	w22, #0x2bc
0xfffffff008775448: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff00877544c: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff008775450: 00403691  add	x0, x0, #0xd90
0xfffffff008775454: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775458: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877545c: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775460: 63a81791  add	x3, x3, #0x5ea
0xfffffff008775464: 02008052  mov	w2, #0
0xfffffff008775468: 32f7ee97  bl	#0xfffffff008333130
0xfffffff00877546c: 95000014  b	#0xfffffff0087756c0
0xfffffff008775470: 96578052  mov	w22, #0x2bc
0xfffffff008775474: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008775478: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877547c: 00403691  add	x0, x0, #0xd90
0xfffffff008775480: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775484: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008775488: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877548c: 63701891  add	x3, x3, #0x61c
0xfffffff008775490: 02008052  mov	w2, #0
0xfffffff008775494: 27f7ee97  bl	#0xfffffff008333130
0xfffffff008775498: 8a000014  b	#0xfffffff0087756c0
0xfffffff00877549c: 96578052  mov	w22, #0x2bc
0xfffffff0087754a0: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0087754a4: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087754a8: 00403691  add	x0, x0, #0xd90
0xfffffff0087754ac: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087754b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087754b4: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff0087754b8: 63481991  add	x3, x3, #0x652
0xfffffff0087754bc: 02008052  mov	w2, #0
0xfffffff0087754c0: 1cf7ee97  bl	#0xfffffff008333130
0xfffffff0087754c4: 7f000014  b	#0xfffffff0087756c0
0xfffffff0087754c8: 19078052  mov	w25, #0x38
