; Candidate 8935
; ADRP+ADD at VM 0xfffffff0088f74ac (fileoff 0x18f34ac): page=0x1fe978000 add_imm=0xdf5

0xfffffff0088f742c: 85000014  b	#0xfffffff0088f7640
0xfffffff0088f7430: 4d0e0094  bl	#0xfffffff0088fad64
0xfffffff0088f7434: 20040836  tbz	w0, #1, #0xfffffff0088f74b8
0xfffffff0088f7438: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088f743c: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0088f7440: e8f30132  mov	w8, #-0x55555556
0xfffffff0088f7444: e85700b9  str	w8, [sp, #0x54]
0xfffffff0088f7448: e0630191  add	x0, sp, #0x58
0xfffffff0088f744c: e1530191  add	x1, sp, #0x54
0xfffffff0088f7450: ad73d797  bl	#0xfffffff007ed4304
0xfffffff0088f7454: f42f40f9  ldr	x20, [sp, #0x58]
0xfffffff0088f7458: 700240f9  ldr	x16, [x19]
0xfffffff0088f745c: f10313aa  mov	x17, x19
0xfffffff0088f7460: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088f7464: 301ac1da  autda	x16, x17
0xfffffff0088f7468: f10310aa  mov	x17, x16
0xfffffff0088f746c: f147c1da  xpacd	x17
0xfffffff0088f7470: 1f0211eb  cmp	x16, x17
0xfffffff0088f7474: 40000054  b.eq	#0xfffffff0088f747c
0xfffffff0088f7478: 408e38d4  brk	#0xc472
0xfffffff0088f747c: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088f7480: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088f7484: f55740b9  ldr	w21, [sp, #0x54]
0xfffffff0088f7488: e00313aa  mov	x0, x19
0xfffffff0088f748c: 010080d2  mov	x1, #0
0xfffffff0088f7490: f10308aa  mov	x17, x8
0xfffffff0088f7494: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088f7498: 31093fd7  blraa	x9, x17
0xfffffff0088f749c: c84bff90  adrp	x8, #0xfffffff00726f000
0xfffffff0088f74a0: 08993591  add	x8, x8, #0xd66
0xfffffff0088f74a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088f74a8: f45700a9  stp	x20, x21, [sp]
0xfffffff0088f74ac: c04bff90  adrp	x0, #0xfffffff00726f000
0xfffffff0088f74b0: 00d43791  add	x0, x0, #0xdf5
0xfffffff0088f74b4: db7ee997  bl	#0xfffffff008357020
0xfffffff0088f74b8: f40f0332  mov	w20, #-0x1fffffff
0xfffffff0088f74bc: 57000014  b	#0xfffffff0088f7618
0xfffffff0088f74c0: 290e0094  bl	#0xfffffff0088fad64
0xfffffff0088f74c4: a00a0036  tbz	w0, #0, #0xfffffff0088f7618
0xfffffff0088f74c8: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088f74cc: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0088f74d0: e8f30132  mov	w8, #-0x55555556
0xfffffff0088f74d4: e85700b9  str	w8, [sp, #0x54]
0xfffffff0088f74d8: e0630191  add	x0, sp, #0x58
0xfffffff0088f74dc: e1530191  add	x1, sp, #0x54
0xfffffff0088f74e0: 8973d797  bl	#0xfffffff007ed4304
0xfffffff0088f74e4: f52f40f9  ldr	x21, [sp, #0x58]
0xfffffff0088f74e8: 700240f9  ldr	x16, [x19]
0xfffffff0088f74ec: f10313aa  mov	x17, x19
0xfffffff0088f74f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088f74f4: 301ac1da  autda	x16, x17
0xfffffff0088f74f8: f10310aa  mov	x17, x16
0xfffffff0088f74fc: f147c1da  xpacd	x17
0xfffffff0088f7500: 1f0211eb  cmp	x16, x17
0xfffffff0088f7504: 40000054  b.eq	#0xfffffff0088f750c
0xfffffff0088f7508: 408e38d4  brk	#0xc472
0xfffffff0088f750c: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088f7510: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088f7514: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff0088f7518: e00313aa  mov	x0, x19
0xfffffff0088f751c: 010080d2  mov	x1, #0
0xfffffff0088f7520: f10308aa  mov	x17, x8
0xfffffff0088f7524: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088f7528: 31093fd7  blraa	x9, x17
