; Candidate 2981
; ADRP+ADD at VM 0xfffffff0086f9ea0 (fileoff 0x16f5ea0): page=0x1fea38000 add_imm=0xd90

0xfffffff0086f9e20: 98020000  udf	#0x298
0xfffffff0086f9e24: a8020000  udf	#0x2a8
0xfffffff0086f9e28: 3c000000  udf	#0x3c
0xfffffff0086f9e2c: b8020000  udf	#0x2b8
0xfffffff0086f9e30: 24030000  udf	#0x324
0xfffffff0086f9e34: 78030000  udf	#0x378
0xfffffff0086f9e38: 8c030000  udf	#0x38c
0xfffffff0086f9e3c: a4030000  udf	#0x3a4
0xfffffff0086f9e40: b8030000  udf	#0x3b8
0xfffffff0086f9e44: cc030000  udf	#0x3cc
0xfffffff0086f9e48: dc030000  udf	#0x3dc
0xfffffff0086f9e4c: 5f2403d5  bti	c
0xfffffff0086f9e50: 006c74b9  ldr	w0, [x0, #0x346c]
0xfffffff0086f9e54: c0035fd6  ret	
0xfffffff0086f9e58: 7f2303d5  pacibsp	
0xfffffff0086f9e5c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086f9e60: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086f9e64: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086f9e68: fd830091  add	x29, sp, #0x20
0xfffffff0086f9e6c: f30302aa  mov	x19, x2
0xfffffff0086f9e70: 3f000271  cmp	w1, #0x80
0xfffffff0086f9e74: 08010054  b.hi	#0xfffffff0086f9e94
0xfffffff0086f9e78: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff0086f9e7c: 09610091  add	x9, x8, #0x18
0xfffffff0086f9e80: 08811091  add	x8, x8, #0x420
0xfffffff0086f9e84: 7f040071  cmp	w3, #1
0xfffffff0086f9e88: 2801889a  csel	x8, x9, x8, eq
0xfffffff0086f9e8c: 080140f9  ldr	x8, [x8]
0xfffffff0086f9e90: 0d000014  b	#0xfffffff0086f9ec4
0xfffffff0086f9e94: c852ff90  adrp	x8, #0xfffffff007151000
0xfffffff0086f9e98: 08191791  add	x8, x8, #0x5c6
0xfffffff0086f9e9c: e80700a9  stp	x8, x1, [sp]
0xfffffff0086f9ea0: c051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086f9ea4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f9ea8: 2198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f9eac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f9eb0: e351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff0086f9eb4: 63080091  add	x3, x3, #2
0xfffffff0086f9eb8: 02008052  mov	w2, #0
0xfffffff0086f9ebc: 9de4f097  bl	#0xfffffff008333130
0xfffffff0086f9ec0: 080080d2  mov	x8, #0
0xfffffff0086f9ec4: 680200f9  str	x8, [x19]
0xfffffff0086f9ec8: 1f0100f1  cmp	x8, #0
0xfffffff0086f9ecc: e0079f1a  cset	w0, ne
0xfffffff0086f9ed0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086f9ed4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086f9ed8: ffc30091  add	sp, sp, #0x30
0xfffffff0086f9edc: ff0f5fd6  retab	
0xfffffff0086f9ee0: 5f2403d5  bti	c
0xfffffff0086f9ee4: 20008052  mov	w0, #1
0xfffffff0086f9ee8: c0035fd6  ret	
0xfffffff0086f9eec: 7f2303d5  pacibsp	
0xfffffff0086f9ef0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0086f9ef4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086f9ef8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086f9efc: fd830091  add	x29, sp, #0x20
0xfffffff0086f9f00: 28244029  ldp	w8, w9, [x1]
0xfffffff0086f9f04: 1f01096b  cmp	w8, w9
0xfffffff0086f9f08: c2010054  b.hs	#0xfffffff0086f9f40
0xfffffff0086f9f0c: f30301aa  mov	x19, x1
0xfffffff0086f9f10: e9899d52  mov	w9, #0xec4f
0xfffffff0086f9f14: 89d8a972  movk	w9, #0x4ec4, lsl #16
0xfffffff0086f9f18: 097da99b  umull	x9, w8, w9
0xfffffff0086f9f1c: 29fd62d3  lsr	x9, x9, #0x22
