; Candidate 1295
; ADRP+ADD at VM 0xfffffff008348080 (fileoff 0x1344080): page=0x1fed5b000 add_imm=0xd29

0xfffffff008348000: 3f010a6b  cmp	w9, w10
0xfffffff008348004: e1030054  b.ne	#0xfffffff008348080
0xfffffff008348008: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff00834800c: 08910091  add	x8, x8, #0x24
0xfffffff008348010: 89000034  cbz	w9, #0xfffffff008348020
0xfffffff008348014: 08410091  add	x8, x8, #0x10
0xfffffff008348018: 29050071  subs	w9, w9, #1
0xfffffff00834801c: c1ffff54  b.ne	#0xfffffff008348014
0xfffffff008348020: 080140f9  ldr	x8, [x8]
0xfffffff008348024: e97a81d2  mov	x9, #0xbd7
0xfffffff008348028: 495ca4f2  movk	x9, #0x22e2, lsl #16
0xfffffff00834802c: 2993c4f2  movk	x9, #0x2499, lsl #32
0xfffffff008348030: c9fef4f2  movk	x9, #0xa7f6, lsl #48
0xfffffff008348034: 1f0109eb  cmp	x8, x9
0xfffffff008348038: a1010054  b.ne	#0xfffffff00834806c
0xfffffff00834803c: 2000c03d  ldr	q0, [x1]
0xfffffff008348040: e003803d  str	q0, [sp]
0xfffffff008348044: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff008348048: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00834804c: 500500f0  adrp	x16, #0xfffffff0083f3000
0xfffffff008348050: 10922b91  add	x16, x16, #0xae4
0xfffffff008348054: f1838ed2  mov	x17, #0x741f
0xfffffff008348058: 3002c1da  pacia	x16, x17
0xfffffff00834805c: e10310aa  mov	x1, x16
0xfffffff008348060: e0030091  mov	x0, sp
0xfffffff008348064: 0b000094  bl	#0xfffffff008348090
0xfffffff008348068: 03000014  b	#0xfffffff008348074
0xfffffff00834806c: e0588052  mov	w0, #0x2c7
0xfffffff008348070: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008348074: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008348078: ffc30091  add	sp, sp, #0x30
0xfffffff00834807c: ff0f5fd6  retab	
0xfffffff008348080: c06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008348084: 00a43491  add	x0, x0, #0xd29
0xfffffff008348088: 226dfe97  bl	#0xfffffff0082e3510
0xfffffff00834808c: 200020d4  brk	#1
0xfffffff008348090: 7f2303d5  pacibsp	
0xfffffff008348094: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008348098: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00834809c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0083480a0: fd830091  add	x29, sp, #0x20
0xfffffff0083480a4: f3578052  mov	w19, #0x2bf
0xfffffff0083480a8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0083480ac: 160040f9  ldr	x22, [x0]
0xfffffff0083480b0: c82240b9  ldr	w8, [x22, #0x20]
0xfffffff0083480b4: 1f0d0071  cmp	w8, #3
0xfffffff0083480b8: 21090054  b.ne	#0xfffffff0083481dc
0xfffffff0083480bc: c84246f8  ldur	x8, [x22, #0x64]
0xfffffff0083480c0: 1f0d00f1  cmp	x8, #3
0xfffffff0083480c4: c1080054  b.ne	#0xfffffff0083481dc
0xfffffff0083480c8: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff0083480cc: 1f310271  cmp	w8, #0x8c
0xfffffff0083480d0: 63080054  b.lo	#0xfffffff0083481dc
0xfffffff0083480d4: f40301aa  mov	x20, x1
0xfffffff0083480d8: 150440f9  ldr	x21, [x0, #8]
0xfffffff0083480dc: 950000b4  cbz	x21, #0xfffffff0083480ec
0xfffffff0083480e0: 081440b9  ldr	w8, [x0, #0x14]
0xfffffff0083480e4: 1f510171  cmp	w8, #0x54
0xfffffff0083480e8: a3070054  b.lo	#0xfffffff0083481dc
0xfffffff0083480ec: c04247f8  ldur	x0, [x22, #0x74]
0xfffffff0083480f0: 200200b4  cbz	x0, #0xfffffff008348134
0xfffffff0083480f4: 100040f9  ldr	x16, [x0]
0xfffffff0083480f8: f10300aa  mov	x17, x0
0xfffffff0083480fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
