; Candidate 951
; ADRP+ADD at VM 0xfffffff0081191b4 (fileoff 0x11151b4): page=0x20ef000 add_imm=0xe88

0xfffffff008119134: f10300aa  mov	x17, x0
0xfffffff008119138: 1173e6f2  movk	x17, #0x3398, lsl #48
0xfffffff00811913c: 3002c1da  pacia	x16, x17
0xfffffff008119140: 100000f9  str	x16, [x0]
0xfffffff008119144: 161800b9  str	w22, [x0, #0x18]
0xfffffff008119148: 151000f9  str	x21, [x0, #0x20]
0xfffffff00811914c: 740000b4  cbz	x20, #0xfffffff008119158
0xfffffff008119150: 8002c03d  ldr	q0, [x20]
0xfffffff008119154: 0080823c  stur	q0, [x0, #0x28]
0xfffffff008119158: 133800b9  str	w19, [x0, #0x38]
0xfffffff00811915c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008119160: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008119164: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008119168: ff2303d5  autibsp	
0xfffffff00811916c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008119170: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008119178
0xfffffff008119174: 208e38d4  brk	#0xc471
0xfffffff008119178: 4f01fd17  b	#0xfffffff0080596b4
0xfffffff00811917c: 7f2303d5  pacibsp	
0xfffffff008119180: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008119184: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008119188: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00811918c: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008119190: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008119194: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008119198: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00811919c: fd430291  add	x29, sp, #0x90
0xfffffff0081191a0: f30300aa  mov	x19, x0
0xfffffff0081191a4: 680501d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff0081191a8: 08010091  add	x8, x8, #0
0xfffffff0081191ac: 080140f9  ldr	x8, [x8]
0xfffffff0081191b0: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0081191b4: 600701f0  adrp	x0, #0xfffffff00a208000
0xfffffff0081191b8: 00203a91  add	x0, x0, #0xe88
0xfffffff0081191bc: 017bffd0  adrp	x1, #0xfffffff00707b000
0xfffffff0081191c0: 21f82b91  add	x1, x1, #0xafe
0xfffffff0081191c4: bb000594  bl	#0xfffffff0082594b0
0xfffffff0081191c8: 401000b4  cbz	x0, #0xfffffff0081193d0
0xfffffff0081191cc: f40300aa  mov	x20, x0
0xfffffff0081191d0: 08804039  ldrb	w8, [x0, #0x20]
0xfffffff0081191d4: 88120036  tbz	w8, #0, #0xfffffff008119424
0xfffffff0081191d8: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff0081191dc: 08050031  adds	w8, w8, #1
0xfffffff0081191e0: 882600b9  str	w8, [x20, #0x24]
0xfffffff0081191e4: a2110054  b.hs	#0xfffffff008119418
0xfffffff0081191e8: f90701d0  adrp	x25, #0xfffffff00a217000
0xfffffff0081191ec: 280348b9  ldr	w8, [x25, #0x800]
0xfffffff0081191f0: 1f050071  cmp	w8, #1
0xfffffff0081191f4: 8b000054  b.lt	#0xfffffff008119204
0xfffffff0081191f8: 017bffd0  adrp	x1, #0xfffffff00707b000
0xfffffff0081191fc: 219c1491  add	x1, x1, #0x527
0xfffffff008119200: 30f1f197  bl	#0xfffffff007d956c0
0xfffffff008119204: 9a2640f9  ldr	x26, [x20, #0x48]
0xfffffff008119208: 5a0c00b4  cbz	x26, #0xfffffff008119390
0xfffffff00811920c: 88a20091  add	x8, x20, #0x28
0xfffffff008119210: e80700f9  str	x8, [sp, #8]
0xfffffff008119214: 76a20091  add	x22, x19, #0x28
0xfffffff008119218: 97d038d5  mrs	x23, tpidr_el1
0xfffffff00811921c: bbc2ffb0  adrp	x27, #0xfffffff00796e000
0xfffffff008119220: bcc2ffb0  adrp	x28, #0xfffffff00796e000
0xfffffff008119224: b5c2ffb0  adrp	x21, #0xfffffff00796e000
0xfffffff008119228: b87bfff0  adrp	x24, #0xfffffff007090000
0xfffffff00811922c: 18b30091  add	x24, x24, #0x2c
0xfffffff008119230: 1c000014  b	#0xfffffff0081192a0
