; Candidate 2836
; ADRP+ADD at VM 0xfffffff0086ecb68 (fileoff 0x16e8b68): page=0x1fea45000 add_imm=0xd90

0xfffffff0086ecae8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0086ecaec: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0086ecaf0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0086ecaf4: ff030291  add	sp, sp, #0x80
0xfffffff0086ecaf8: ff0f5fd6  retab	
0xfffffff0086ecafc: 7f2303d5  pacibsp	
0xfffffff0086ecb00: ff8301d1  sub	sp, sp, #0x60
0xfffffff0086ecb04: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0086ecb08: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0086ecb0c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0086ecb10: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0086ecb14: fd430191  add	x29, sp, #0x50
0xfffffff0086ecb18: f30300aa  mov	x19, x0
0xfffffff0086ecb1c: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff0086ecb20: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff0086ecb24: c80100b4  cbz	x8, #0xfffffff0086ecb5c
0xfffffff0086ecb28: f50301aa  mov	x21, x1
0xfffffff0086ecb2c: 68324139  ldrb	w8, [x19, #0x4c]
0xfffffff0086ecb30: 48050034  cbz	w8, #0xfffffff0086ecbd8
0xfffffff0086ecb34: 684a40b9  ldr	w8, [x19, #0x48]
0xfffffff0086ecb38: 1f050031  cmn	w8, #1
0xfffffff0086ecb3c: e0020054  b.eq	#0xfffffff0086ecb98
0xfffffff0086ecb40: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0086ecb44: a00200b4  cbz	x0, #0xfffffff0086ecb98
0xfffffff0086ecb48: 4f27ff97  bl	#0xfffffff0086b6884
0xfffffff0086ecb4c: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0086ecb50: 8827ff97  bl	#0xfffffff0086b6970
0xfffffff0086ecb54: f40300aa  mov	x20, x0
0xfffffff0086ecb58: 11000014  b	#0xfffffff0086ecb9c
0xfffffff0086ecb5c: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecb60: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecb64: e80300f9  str	x8, [sp]
0xfffffff0086ecb68: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecb6c: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecb70: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecb74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecb78: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086ecb7c: 63483c91  add	x3, x3, #0xf12
0xfffffff0086ecb80: 02008052  mov	w2, #0
0xfffffff0086ecb84: 6b19f197  bl	#0xfffffff008333130
0xfffffff0086ecb88: 14008052  mov	w20, #0
0xfffffff0086ecb8c: 08008012  mov	w8, #-1
0xfffffff0086ecb90: 684a00b9  str	w8, [x19, #0x48]
0xfffffff0086ecb94: 4c000014  b	#0xfffffff0086eccc4
0xfffffff0086ecb98: 14008052  mov	w20, #0
0xfffffff0086ecb9c: 9f02156b  cmp	w20, w21
0xfffffff0086ecba0: 22090054  b.hs	#0xfffffff0086eccc4
0xfffffff0086ecba4: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff0086ecba8: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecbac: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecbb0: e80300f9  str	x8, [sp]
0xfffffff0086ecbb4: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecbb8: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecbbc: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecbc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecbc4: 4352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086ecbc8: 639c0191  add	x3, x3, #0x67
0xfffffff0086ecbcc: 02008052  mov	w2, #0
0xfffffff0086ecbd0: 5819f197  bl	#0xfffffff008333130
0xfffffff0086ecbd4: 3c000014  b	#0xfffffff0086eccc4
0xfffffff0086ecbd8: a0008052  mov	w0, #5
0xfffffff0086ecbdc: e10315aa  mov	x1, x21
0xfffffff0086ecbe0: 5a28ff97  bl	#0xfffffff0086b6d48
0xfffffff0086ecbe4: 400500b4  cbz	x0, #0xfffffff0086ecc8c
