; Candidate 8751
; ADRP+ADD at VM 0xfffffff0088c30b8 (fileoff 0x18bf0b8): page=0x1fe973000 add_imm=0xd00

0xfffffff0088c3038: 7f020beb  cmp	x19, x11
0xfffffff0088c303c: 6bfaff54  b.lt	#0xfffffff0088c2f88
0xfffffff0088c3040: b9835af8  ldur	x25, [x29, #-0x58]
0xfffffff0088c3044: f13340f9  ldr	x17, [sp, #0x60]
0xfffffff0088c3048: a88a40b9  ldr	w8, [x21, #0x88]
0xfffffff0088c304c: 1f050071  cmp	w8, #1
0xfffffff0088c3050: 4b070054  b.lt	#0xfffffff0088c3138
0xfffffff0088c3054: 130080d2  mov	x19, #0
0xfffffff0088c3058: b7a20291  add	x23, x21, #0xa8
0xfffffff0088c305c: 18098052  mov	w24, #0x48
0xfffffff0088c3060: 79ce8152  mov	w25, #0xe73
0xfffffff0088c3064: 3a4dff90  adrp	x26, #0xfffffff007267000
0xfffffff0088c3068: 5a0f0091  add	x26, x26, #3
0xfffffff0088c306c: 00098052  mov	w0, #0x48
0xfffffff0088c3070: 01018052  mov	w1, #8
0xfffffff0088c3074: d7e1fe97  bl	#0xfffffff00887b7d0
0xfffffff0088c3078: c0040034  cbz	w0, #0xfffffff0088c3110
0xfffffff0088c307c: 00098052  mov	w0, #0x48
0xfffffff0088c3080: e6e1fe97  bl	#0xfffffff00887b818
0xfffffff0088c3084: fc0300aa  mov	x28, x0
0xfffffff0088c3088: 49c4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c308c: fb0300aa  mov	x27, x0
0xfffffff0088c3090: 00018052  mov	w0, #8
0xfffffff0088c3094: efe1fe97  bl	#0xfffffff00887b850
0xfffffff0088c3098: 9c010034  cbz	w28, #0xfffffff0088c30c8
0xfffffff0088c309c: e8025fb8  ldur	w8, [x23, #-0x10]
0xfffffff0088c30a0: eaa67f29  ldp	w10, w9, [x23, #-4]
0xfffffff0088c30a4: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088c30a8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088c30ac: f66702a9  stp	x22, x25, [sp, #0x20]
0xfffffff0088c30b0: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0088c30b4: fb6300a9  stp	x27, x24, [sp]
0xfffffff0088c30b8: 804bfff0  adrp	x0, #0xfffffff007236000
0xfffffff0088c30bc: 00003491  add	x0, x0, #0xd00
0xfffffff0088c30c0: e8d0d397  bl	#0xfffffff007db7460
0xfffffff0088c30c4: 13000014  b	#0xfffffff0088c3110
0xfffffff0088c30c8: 39c4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c30cc: fb0300aa  mov	x27, x0
0xfffffff0088c30d0: 00018052  mov	w0, #8
0xfffffff0088c30d4: dfe1fe97  bl	#0xfffffff00887b850
0xfffffff0088c30d8: e8025fb8  ldur	w8, [x23, #-0x10]
0xfffffff0088c30dc: eaa67f29  ldp	w10, w9, [x23, #-4]
0xfffffff0088c30e0: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088c30e4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088c30e8: f66702a9  stp	x22, x25, [sp, #0x20]
0xfffffff0088c30ec: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0088c30f0: fb6300a9  stp	x27, x24, [sp]
0xfffffff0088c30f4: 2049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c30f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c30fc: 218affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c3100: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c3104: 02008052  mov	w2, #0
0xfffffff0088c3108: e3031aaa  mov	x3, x26
0xfffffff0088c310c: 09c0e997  bl	#0xfffffff008333130
0xfffffff0088c3110: 73060091  add	x19, x19, #1
0xfffffff0088c3114: a88a80b9  ldrsw	x8, [x21, #0x88]
0xfffffff0088c3118: f7820091  add	x23, x23, #0x20
0xfffffff0088c311c: 7f0208eb  cmp	x19, x8
0xfffffff0088c3120: 6bfaff54  b.lt	#0xfffffff0088c306c
0xfffffff0088c3124: ab0240b9  ldr	w11, [x21]
0xfffffff0088c3128: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088c312c: b9835af8  ldur	x25, [x29, #-0x58]
0xfffffff0088c3130: f13340f9  ldr	x17, [sp, #0x60]
0xfffffff0088c3134: 02000014  b	#0xfffffff0088c313c
