; Candidate 288
; ADRP+ADD at VM 0xfffffff007e916c0 (fileoff 0xe8d6c0): page=0x2366000 add_imm=0xe50

0xfffffff007e91640: 280100f9  str	x8, [x9]
0xfffffff007e91644: 9f7e00a9  stp	xzr, xzr, [x20]
0xfffffff007e91648: 281b01d0  adrp	x8, #0xfffffff00a1f7000
0xfffffff007e9164c: 094d4eb9  ldr	w9, [x8, #0xe4c]
0xfffffff007e91650: 29050051  sub	w9, w9, #1
0xfffffff007e91654: 094d0eb9  str	w9, [x8, #0xe4c]
0xfffffff007e91658: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e9165c: e20308aa  mov	x2, x8
0xfffffff007e91660: dffea288  casl	w2, wzr, [x22]
0xfffffff007e91664: 5f00086b  cmp	w2, w8
0xfffffff007e91668: 61050054  b.ne	#0xfffffff007e91714
0xfffffff007e9166c: 800a40f9  ldr	x0, [x20, #0x10]
0xfffffff007e91670: e42ffb97  bl	#0xfffffff007d5d600
0xfffffff007e91674: 02040091  add	x2, x0, #1
0xfffffff007e91678: 810a40f9  ldr	x1, [x20, #0x10]
0xfffffff007e9167c: 9f0a00f9  str	xzr, [x20, #0x10]
0xfffffff007e91680: e0d6ffd0  adrp	x0, #0xfffffff00796f000
0xfffffff007e91684: 00201a91  add	x0, x0, #0x688
0xfffffff007e91688: f954fc97  bl	#0xfffffff007da6a6c
0xfffffff007e9168c: 00d7ff90  adrp	x0, #0xfffffff007971000
0xfffffff007e91690: 00c01491  add	x0, x0, #0x530
0xfffffff007e91694: e10314aa  mov	x1, x20
0xfffffff007e91698: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e9169c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007e916a0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007e916a4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007e916a8: ff830191  add	sp, sp, #0x60
0xfffffff007e916ac: ff2303d5  autibsp	
0xfffffff007e916b0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e916b4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e916bc
0xfffffff007e916b8: 208e38d4  brk	#0xc471
0xfffffff007e916bc: 54e1fd17  b	#0xfffffff007e09c0c
0xfffffff007e916c0: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e916c4: 00403991  add	x0, x0, #0xe50
0xfffffff007e916c8: e10313aa  mov	x1, x19
0xfffffff007e916cc: 02008052  mov	w2, #0
0xfffffff007e916d0: 0a69fc97  bl	#0xfffffff007dabaf8
0xfffffff007e916d4: bfffff17  b	#0xfffffff007e915d0
0xfffffff007e916d8: 80820091  add	x0, x20, #0x20
0xfffffff007e916dc: c03a1894  bl	#0xfffffff0084a01dc
0xfffffff007e916e0: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e916e4: 00403991  add	x0, x0, #0xe50
0xfffffff007e916e8: e10313aa  mov	x1, x19
0xfffffff007e916ec: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e916f0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007e916f4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007e916f8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007e916fc: ff830191  add	sp, sp, #0x60
0xfffffff007e91700: ff2303d5  autibsp	
0xfffffff007e91704: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e91708: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e91710
0xfffffff007e9170c: 208e38d4  brk	#0xc471
0xfffffff007e91710: 156cfc17  b	#0xfffffff007dac764
0xfffffff007e91714: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91718: 00403991  add	x0, x0, #0xe50
0xfffffff007e9171c: e10313aa  mov	x1, x19
0xfffffff007e91720: 116cfc97  bl	#0xfffffff007dac764
0xfffffff007e91724: d2ffff17  b	#0xfffffff007e9166c
0xfffffff007e91728: e8208052  mov	w8, #0x107
0xfffffff007e9172c: e98dffd0  adrp	x9, #0xfffffff00704f000
0xfffffff007e91730: 297d2891  add	x9, x9, #0xa1f
0xfffffff007e91734: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e91738: f50300f9  str	x21, [sp]
0xfffffff007e9173c: e08dffd0  adrp	x0, #0xfffffff00704f000
