; Candidate 9113
; ADRP+ADD at VM 0xfffffff0089f7be0 (fileoff 0x19f3be0): page=0x1fe89d000 add_imm=0xdf4

0xfffffff0089f7b60: e30317aa  mov	x3, x23
0xfffffff0089f7b64: 23000094  bl	#0xfffffff0089f7bf0
0xfffffff0089f7b68: e00315aa  mov	x0, x21
0xfffffff0089f7b6c: e10318aa  mov	x1, x24
0xfffffff0089f7b70: c2008052  mov	w2, #6
0xfffffff0089f7b74: 5dfdff97  bl	#0xfffffff0089f70e8
0xfffffff0089f7b78: f60300aa  mov	x22, x0
0xfffffff0089f7b7c: e0000035  cbnz	w0, #0xfffffff0089f7b98
0xfffffff0089f7b80: e00315aa  mov	x0, x21
0xfffffff0089f7b84: e10314aa  mov	x1, x20
0xfffffff0089f7b88: e20313aa  mov	x2, x19
0xfffffff0089f7b8c: 95ffff97  bl	#0xfffffff0089f79e0
0xfffffff0089f7b90: 02000014  b	#0xfffffff0089f7b98
0xfffffff0089f7b94: 16008052  mov	w22, #0
0xfffffff0089f7b98: e00316aa  mov	x0, x22
0xfffffff0089f7b9c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0089f7ba0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0089f7ba4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0089f7ba8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0089f7bac: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0089f7bb0: ff030291  add	sp, sp, #0x80
0xfffffff0089f7bb4: ff0f5fd6  retab	
0xfffffff0089f7bb8: e844ffd0  adrp	x8, #0xfffffff007295000
0xfffffff0089f7bbc: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f7bc0: 898b8052  mov	w9, #0x45c
0xfffffff0089f7bc4: ea44ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089f7bc8: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f7bcc: eb44ffd0  adrp	x11, #0xfffffff007295000
0xfffffff0089f7bd0: 6bd52291  add	x11, x11, #0x8b5
0xfffffff0089f7bd4: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f7bd8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f7bdc: eb0300f9  str	x11, [sp]
0xfffffff0089f7be0: e044ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089f7be4: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f7be8: 1efece97  bl	#0xfffffff007db7460
0xfffffff0089f7bec: ebffff17  b	#0xfffffff0089f7b98
0xfffffff0089f7bf0: 7f2303d5  pacibsp	
0xfffffff0089f7bf4: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff0089f7bf8: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0089f7bfc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0089f7c00: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0089f7c04: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0089f7c08: fd030191  add	x29, sp, #0x40
0xfffffff0089f7c0c: 084c40f9  ldr	x8, [x0, #0x98]
0xfffffff0089f7c10: 297840b9  ldr	w9, [x1, #0x78]
0xfffffff0089f7c14: 0abc40b9  ldr	w10, [x0, #0xbc]
0xfffffff0089f7c18: 0bc440b9  ldr	w11, [x0, #0xc4]
0xfffffff0089f7c1c: 0c904179  ldrh	w12, [x0, #0xc8]
0xfffffff0089f7c20: 4a010b8b  add	x10, x10, x11
0xfffffff0089f7c24: 4a0500d1  sub	x10, x10, #1
0xfffffff0089f7c28: 4a09cb9a  udiv	x10, x10, x11
0xfffffff0089f7c2c: 4a010c8b  add	x10, x10, x12
0xfffffff0089f7c30: 4aed7cd3  lsl	x10, x10, #4
0xfffffff0089f7c34: 4a610091  add	x10, x10, #0x18
0xfffffff0089f7c38: 4821099b  madd	x8, x10, x9, x8
0xfffffff0089f7c3c: 100180f9  prfm	pstl1keep, [x8]
0xfffffff0089f7c40: f60301aa  mov	x22, x1
0xfffffff0089f7c44: d78e42f8  ldr	x23, [x22, #0x28]!
0xfffffff0089f7c48: 0b1500b9  str	w11, [x8, #0x14]
0xfffffff0089f7c4c: c95a4179  ldrh	w9, [x22, #0xac]
0xfffffff0089f7c50: 09250079  strh	w9, [x8, #0x12]
0xfffffff0089f7c54: c022c03d  ldr	q0, [x22, #0x80]
0xfffffff0089f7c58: 0001803d  str	q0, [x8]
0xfffffff0089f7c5c: df0217eb  cmp	x22, x23
