; Candidate 2690
; ADRP+ADD at VM 0xfffffff0086e1488 (fileoff 0x16dd488): page=0x1fea50000 add_imm=0xd90

0xfffffff0086e1408: 0a518b52  mov	w10, #0x5a88
0xfffffff0086e140c: 8a6a0a9b  madd	x10, x20, x10, x26
0xfffffff0086e1410: 0b2d8b52  mov	w11, #0x5968
0xfffffff0086e1414: 4a696bb8  ldr	w10, [x10, x11]
0xfffffff0086e1418: 2b050011  add	w11, w9, #1
0xfffffff0086e141c: 5f010b6b  cmp	w10, w11
0xfffffff0086e1420: 68060054  b.hi	#0xfffffff0086e14ec
0xfffffff0086e1424: b5000836  tbz	w21, #1, #0xfffffff0086e1438
0xfffffff0086e1428: 0ad08452  mov	w10, #0x2680
0xfffffff0086e142c: 2a730a9b  madd	x10, x25, x10, x28
0xfffffff0086e1430: 4ad54039  ldrb	w10, [x10, #0x35]
0xfffffff0086e1434: ca030034  cbz	w10, #0xfffffff0086e14ac
0xfffffff0086e1438: b5002836  tbz	w21, #5, #0xfffffff0086e144c
0xfffffff0086e143c: 0ad08452  mov	w10, #0x2680
0xfffffff0086e1440: 2a730a9b  madd	x10, x25, x10, x28
0xfffffff0086e1444: 4ad54039  ldrb	w10, [x10, #0x35]
0xfffffff0086e1448: 6a040034  cbz	w10, #0xfffffff0086e14d4
0xfffffff0086e144c: 0a008052  mov	w10, #0
0xfffffff0086e1450: 2a000014  b	#0xfffffff0086e14f8
0xfffffff0086e1454: 7f0b0071  cmp	w27, #2
0xfffffff0086e1458: 61000054  b.ne	#0xfffffff0086e1464
0xfffffff0086e145c: 3f210071  cmp	w9, #8
0xfffffff0086e1460: c0000054  b.eq	#0xfffffff0086e1478
0xfffffff0086e1464: 7f0f0071  cmp	w27, #3
0xfffffff0086e1468: 41f1ff54  b.ne	#0xfffffff0086e1290
0xfffffff0086e146c: 2a250051  sub	w10, w9, #9
0xfffffff0086e1470: 5f050071  cmp	w10, #1
0xfffffff0086e1474: e8f0ff54  b.hi	#0xfffffff0086e1290
0xfffffff0086e1478: e9ef00a9  stp	x9, x27, [sp, #8]
0xfffffff0086e147c: 6853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086e1480: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086e1484: e80300f9  str	x8, [sp]
0xfffffff0086e1488: 8052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e148c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e1490: e198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e1494: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e1498: 8352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e149c: 63501b91  add	x3, x3, #0x6d4
0xfffffff0086e14a0: 02008052  mov	w2, #0
0xfffffff0086e14a4: 2347f197  bl	#0xfffffff008333130
0xfffffff0086e14a8: d8040014  b	#0xfffffff0086e2808
0xfffffff0086e14ac: ea024039  ldrb	w10, [x23]
0xfffffff0086e14b0: 4afcff34  cbz	w10, #0xfffffff0086e1438
0xfffffff0086e14b4: ca3e0012  and	w10, w22, #0xffff
0xfffffff0086e14b8: eb0f40f9  ldr	x11, [sp, #0x18]
0xfffffff0086e14bc: 6b3d0012  and	w11, w11, #0xffff
0xfffffff0086e14c0: 6a7d0a1b  mul	w10, w11, w10
0xfffffff0086e14c4: 2b050011  add	w11, w9, #1
0xfffffff0086e14c8: 5f010b6b  cmp	w10, w11
0xfffffff0086e14cc: 08010054  b.hi	#0xfffffff0086e14ec
0xfffffff0086e14d0: daffff17  b	#0xfffffff0086e1438
0xfffffff0086e14d4: eb024039  ldrb	w11, [x23]
0xfffffff0086e14d8: 0b010035  cbnz	w11, #0xfffffff0086e14f8
0xfffffff0086e14dc: 29050011  add	w9, w9, #1
0xfffffff0086e14e0: eb2740b9  ldr	w11, [sp, #0x24]
0xfffffff0086e14e4: 7f01096b  cmp	w11, w9
0xfffffff0086e14e8: 89000054  b.ls	#0xfffffff0086e14f8
0xfffffff0086e14ec: 7f030071  cmp	w27, #0
0xfffffff0086e14f0: e9179f1a  cset	w9, eq
0xfffffff0086e14f4: 2a110553  lsl	w10, w9, #0x1b
0xfffffff0086e14f8: 0aff0b29  stp	w10, wzr, [x24, #0x5c]
0xfffffff0086e14fc: 09518b52  mov	w9, #0x5a88
0xfffffff0086e1500: f60314aa  mov	x22, x20
0xfffffff0086e1504: 956a099b  madd	x21, x20, x9, x26
